TimeStamp, FootLeft_x, FootRight_x, FootLeft_y, FootRight_y, WristLeft_x, WristRight_x,WristLeft_z, WristRight_z,KneeLeft_x, KneeRight_x,KneeLeft_y, KneeRight_y,ElbowLeft_x, ElbowRight_x,ElbowLeft_y, ElbowRight_y,Spine_y,AnkleLeft_y, AnkleRight_y
71085079, -0.202157, -0.08671379, -0.2762654, -0.2717201, -0.7377622, 0.4121414, 3.150781, 3.326043, -0.247676, -0.1341827, 0.1192862, 0.1186866, -0.5612738, 0.212303, 0.9166628, 0.9554318, -0.1873528, -0.2287867, -0.2271216
 71085116, -0.2027695, -0.08763655, -0.2736713, -0.2718752, -0.7231209, 0.4152963, 3.149893, 3.325545, -0.2473954, -0.1368952, 0.1196176, 0.1201535, -0.5603881, 0.2165033, 0.8737015, 0.925132, -0.1880635, -0.2261891, -0.2260751
 71085143, -0.2041959, -0.09083382, -0.2716876, -0.2759632, -0.731267, 0.4201447, 3.179109, 3.367664, -0.2471967, -0.1369354, 0.120048, 0.1202272, -0.5625417, 0.2201132, 0.8555667, 0.9017937, -0.1872602, -0.2241504, -0.2261106
 71085176, -0.2064027, -0.09295268, -0.2697833, -0.2813569, -0.7294886, 0.4058288, 3.213324, 3.392519, -0.2481419, -0.1338058, 0.121833, 0.121626, -0.5674829, 0.2153041, 0.8188881, 0.8715071, -0.1875286, -0.2221782, -0.2260776
 71085207, -0.2084731, -0.09434742, -0.2662637, -0.2832923, -0.7557726, 0.3941862, 3.2884, 3.456976, -0.2488678, -0.1330496, 0.1248524, 0.1215072, -0.5680555, 0.2045876, 0.8130858, 0.8505224, -0.1876736, -0.2184217, -0.226136
 71085240, -0.2102771, -0.09813806, -0.2685726, -0.2861155, -0.7665434, 0.3831578, 3.359752, 3.531103, -0.2508425, -0.1328724, 0.1204303, 0.1212337, -0.570825, 0.1972861, 0.8113107, 0.8544225, -0.1876961, -0.2206757, -0.2263809
 71085272, -0.210178, -0.08768472, -0.2701498, -0.2692752, -0.7748742, 0.3857183, 3.394541, 3.588796, -0.25043, -0.1329265, 0.1173571, 0.1210085, -0.5780917, 0.1933355, 0.839352, 0.859744, -0.1874365, -0.2220457, -0.2261331
 71085304, -0.2114518, -0.1366166, -0.2704645, -0.27402, -0.8163443, 0.3818942, 3.422513, 3.624284, -0.2513142, -0.1328525, 0.1215509, 0.1216509, -0.6109179, 0.1934217, 0.8548665, 0.8809195, -0.1874499, -0.2221932, -0.2257487
 71085340, -0.2110567, -0.137306, -0.2711008, -0.2741194, -0.8255349, 0.3913687, 3.460353, 3.662035, -0.2512897, -0.1319077, 0.1224953, 0.1217743, -0.6185403, 0.2074669, 0.8739564, 0.9263525, -0.187857, -0.2227095, -0.2257281
 71085371, -0.2092044, -0.1368129, -0.272314, -0.2724427, -0.8310514, 0.4107724, 3.426314, 3.662485, -0.2479047, -0.1331334, 0.1192696, 0.1214706, -0.6180832, 0.2171987, 0.9291961, 0.9440386, -0.1877535, -0.2238569, -0.2239856
 71085405, -0.2078401, -0.1070726, -0.2729481, -0.2857043, -0.8228531, 0.4215539, 3.424286, 3.63827, -0.2452334, -0.1324451, 0.1209155, 0.1216414, -0.614815, 0.2241556, 0.9548436, 0.9800227, -0.188006, -0.2244779, -0.2244437
 71085441, -0.2079413, -0.1103018, -0.2729433, -0.2874738, -0.8243253, 0.4293373, 3.399676, 3.602697, -0.2475396, -0.1331758, 0.1236815, 0.1218078, -0.6178583, 0.2272342, 0.9698877, 1.011008, -0.1878406, -0.2244478, -0.2243737
 71085476, -0.208807, -0.1105167, -0.2736813, -0.288012, -0.8248824, 0.4560362, 3.345237, 3.563803, -0.2453522, -0.1324634, 0.1187921, 0.1218342, -0.6226456, 0.2339758, 0.9941301, 1.025547, -0.1871164, -0.2251419, -0.2266222
 71085506, -0.2079974, -0.1134572, -0.2738783, -0.2909505, -0.8176159, 0.4596601, 3.324499, 3.510625, -0.2448838, -0.1323801, 0.1197517, 0.1219776, -0.6166811, 0.2371825, 0.996369, 1.03827, -0.1871133, -0.2253892, -0.2265096
 71085543, -0.2072663, -0.1110751, -0.2759047, -0.2912556, -0.7690759, 0.4572542, 3.22132, 3.440651, -0.2468815, -0.1328987, 0.1187721, 0.1207395, -0.5995774, 0.2285643, 0.9963137, 1.043816, -0.1874379, -0.2274949, -0.2267725
 71085574, -0.2046438, -0.1074494, -0.2781031, -0.2883962, -0.772649, 0.4426276, 3.197656, 3.376132, -0.2462993, -0.1367054, 0.1176713, 0.1176682, -0.5720271, 0.2332318, 0.9769557, 1.027898, -0.187003, -0.229954, -0.2274921
 71085605, -0.2046717, -0.1716827, -0.2780866, -0.3016076, -0.7658548, 0.4345803, 3.129152, 3.34084, -0.2462046, -0.1368151, 0.1172118, 0.1175379, -0.5758473, 0.2349671, 0.9531732, 1.012765, -0.1877716, -0.2301701, -0.2277078
 71085645, -0.2040846, -0.1221943, -0.278887, -0.2962063, -0.7693566, 0.4197629, 3.09025, 3.292969, -0.2462146, -0.135963, 0.1153838, 0.1173619, -0.5993342, 0.2310971, 0.9007679, 0.9809812, -0.1879243, -0.2309889, -0.2276975
 71085675, -0.1465197, -0.1207765, -0.2671266, -0.2950662, -0.7100431, 0.4056509, 3.111866, 3.298251, -0.2465879, -0.1343667, 0.1175628, 0.1188028, -0.5609424, 0.2137096, 0.8842474, 0.9299073, -0.1888858, -0.2301426, -0.227495
 71085701, -0.1466836, -0.120201, -0.2674952, -0.294542, -0.7276574, 0.4041697, 3.143368, 3.33226, -0.2464857, -0.1337644, 0.1160374, 0.119239, -0.5570694, 0.2104377, 0.8381909, 0.8993401, -0.1890861, -0.2303647, -0.22779
 71085737, -0.1465797, -0.1162665, -0.2689093, -0.2933541, -0.7151458, 0.4016208, 3.201328, 3.386377, -0.2475536, -0.1343461, 0.1134428, 0.1190283, -0.5473016, 0.2045558, 0.8159353, 0.8534977, -0.1898778, -0.2316184, -0.2277931
 71085769, -0.1460899, -0.1123068, -0.2674212, -0.2901459, -0.7399799, 0.386856, 3.277923, 3.45828, -0.2474708, -0.1344753, 0.117196, 0.1192913, -0.5605116, 0.192682, 0.8106477, 0.8525056, -0.1902153, -0.2306128, -0.2277534
 71085801, -0.1637565, -0.09472427, -0.2875388, -0.2863913, -0.7551222, 0.3840088, 3.340774, 3.528323, -0.25004, -0.1367629, 0.1202271, 0.1199567, -0.5653139, 0.1794378, 0.8138291, 0.8541464, -0.1907103, -0.2295873, -0.2276078
 71085837, -0.1652836, -0.1019178, -0.2888723, -0.2853819, -0.7691147, 0.3778044, 3.368386, 3.572811, -0.249416, -0.136904, 0.117163, 0.1199493, -0.5687593, 0.1865094, 0.8199459, 0.8630082, -0.1909097, -0.2294178, -0.2276233
 71085870, -0.168902, -0.1104484, -0.288045, -0.2935776, -0.8188027, 0.398526, 3.427213, 3.63616, -0.2501014, -0.1370966, 0.1149629, 0.1190777, -0.6147844, 0.2045466, 0.8482037, 0.8882576, -0.1909398, -0.2301119, -0.2281857
