TimeStamp, FootLeft_x, FootRight_x, FootLeft_y, FootRight_y, WristLeft_x, WristRight_x,WristLeft_z, WristRight_z,KneeLeft_x, KneeRight_x,KneeLeft_y, KneeRight_y,ElbowLeft_x, ElbowRight_x,ElbowLeft_y, ElbowRight_y,Spine_y,AnkleLeft_y, AnkleRight_y
71289462, -0.3271655, -0.09830292, -0.7808344, -0.7780559, -0.4904627, 0.1844502, 3.457186, 3.439409, -0.309235, -0.07833792, -0.3273488, -0.3123032, -0.4607403, 0.08107959, 0.3219907, 0.3268685, -0.1901373, -0.6957908, -0.6883816
 71289500, -0.3257965, -0.09778266, -0.7849094, -0.778145, -0.4928996, 0.1842866, 3.460195, 3.439558, -0.3094991, -0.07823719, -0.3280371, -0.3121678, -0.4612344, 0.07810085, 0.3222966, 0.3251105, -0.1896894, -0.6977735, -0.6885366
 71289526, -0.3255893, -0.09657236, -0.7765869, -0.7792247, -0.4960242, 0.1894914, 3.461111, 3.43912, -0.3087158, -0.07715978, -0.3183474, -0.3165435, -0.4610866, 0.07783226, 0.3224052, 0.3241208, -0.1882725, -0.6939548, -0.6896899
 71289574, -0.3079968, -0.09568945, -0.7327688, -0.7794252, -0.4959094, 0.2265497, 3.461833, 3.423431, -0.3078084, -0.07663665, -0.3156461, -0.3186108, -0.4608032, 0.08141188, 0.3237744, 0.3234415, -0.1880291, -0.6890626, -0.6910555
 71289621, -0.301392, -0.09762821, -0.7315652, -0.7853583, -0.4974486, 0.2924272, 3.462987, 3.350839, -0.3076708, -0.07645431, -0.3155824, -0.3236969, -0.4580446, 0.1033858, 0.3311543, 0.3391806, -0.1833932, -0.6879697, -0.6970418
 71289650, -0.3016669, -0.0744122, -0.7294764, -0.7358767, -0.4973429, 0.311556, 3.460302, 3.326859, -0.3067381, -0.07576949, -0.3093675, -0.3237232, -0.4567021, 0.1210574, 0.3335001, 0.3521368, -0.1772738, -0.6858912, -0.6922915
 71289685, -0.3030874, -0.0725908, -0.7289354, -0.7430016, -0.4993552, 0.320117, 3.456686, 3.326125, -0.3046075, -0.07295775, -0.3089144, -0.3245834, -0.4545758, 0.1362379, 0.3380634, 0.3683979, -0.1708218, -0.6853601, -0.6994263
 71289718, -0.3167785, -0.07109822, -0.7834317, -0.7436734, -0.4983901, 0.2932549, 3.453172, 3.334276, -0.2990144, -0.06898681, -0.3023898, -0.3238877, -0.4529477, 0.1357498, 0.3404133, 0.364826, -0.1651072, -0.6891027, -0.7001132
 71289748, -0.3716677, -0.06972469, -0.7835407, -0.7389932, -0.4964325, 0.3029888, 3.452587, 3.313454, -0.2974937, -0.06402182, -0.3265183, -0.3192036, -0.4446669, 0.1896787, 0.3487585, 0.3950618, -0.1558597, -0.7023092, -0.6954364
 71289785, -0.3886011, -0.09497969, -0.7832564, -0.7897553, -0.4960085, 0.2965043, 3.450852, 3.322203, -0.291815, -0.05917579, -0.3229522, -0.319809, -0.4412625, 0.1917854, 0.3476892, 0.392836, -0.1476627, -0.699618, -0.7003699
 71289817, -0.3981459, -0.09430083, -0.7617933, -0.7883838, -0.490635, 0.2265412, 3.463869, 3.346364, -0.2758002, -0.05413553, -0.2877213, -0.3155341, -0.4375828, 0.1939515, 0.3492908, 0.4024914, -0.1355983, -0.6805862, -0.7002836
 71289849, -0.3629951, -0.09703267, -0.7029237, -0.7968258, -0.4888135, 0.2470585, 3.474366, 3.298877, -0.2583691, -0.05278688, -0.2176806, -0.3185898, -0.4209579, 0.2409623, 0.3557834, 0.4717846, -0.1223003, -0.6082681, -0.7155486
 71289885, -0.3585014, -0.09359223, -0.5924559, -0.7940602, -0.488546, 0.2026754, 3.480935, 3.275574, -0.2478997, -0.05296058, -0.1527245, -0.3197305, -0.4178683, 0.2244896, 0.3488834, 0.4942974, -0.113509, -0.5484768, -0.7083375
 71289921, -0.3432329, -0.0965668, -0.5256346, -0.7938395, -0.4949644, 0.1309048, 3.505188, 3.313937, -0.2288039, -0.05908554, -0.08023477, -0.3281039, -0.4090412, 0.2388198, 0.353367, 0.5066206, -0.09704736, -0.4363579, -0.7088717
 71289959, -0.3107073, -0.1165844, -0.4691097, -0.7845666, -0.4776374, 0.1662489, 3.52776, 3.367564, -0.2110384, -0.06381708, -0.02494192, -0.306748, -0.3927881, 0.1842658, 0.3761467, 0.5152416, -0.08116849, -0.3739442, -0.6988931
 71289993, -0.3451511, -0.1484776, -0.3429868, -0.7470415, -0.4739319, 0.1532594, 3.535764, 3.367193, -0.188308, -0.06507736, 0.07380664, -0.3084856, -0.389291, 0.1354547, 0.381353, 0.5141852, -0.07012192, -0.2982188, -0.7022735
 71290023, -0.2714179, -0.1496623, -0.2778616, -0.7511586, -0.4668691, 0.1105508, 3.549783, 3.334078, -0.1441672, -0.06534076, 0.2011816, -0.308477, -0.3867965, 0.1161328, 0.3857818, 0.5185573, -0.06561838, -0.1886227, -0.7061399
 71290057, -0.2273124, -0.1200218, -0.2239418, -0.7818857, -0.4582458, 0.1036757, 3.579312, 3.289629, -0.1202071, -0.06662329, 0.2499159, -0.3010567, -0.3801741, 0.1011492, 0.394115, 0.5147233, -0.06588469, -0.1559884, -0.7025349
 71290089, -0.2110662, -0.1150855, -0.1627351, -0.7816759, -0.450801, 0.1043926, 3.603672, 3.275176, -0.09467496, -0.07111692, 0.1572391, -0.2986417, -0.3812515, 0.07496953, 0.403159, 0.4841559, -0.07113627, -0.1176534, -0.694607
 71290119, -0.2112003, -0.1081367, -0.1615888, -0.7857889, -0.4479385, 0.09822491, 3.620717, 3.268093, -0.08478327, -0.07492213, 0.1649289, -0.2968438, -0.3806857, 0.05723289, 0.4062919, 0.4687845, -0.07182832, -0.1047458, -0.6947682
 71290153, -0.1894128, -0.1195915, -0.1833419, -0.7779865, -0.4460489, 0.09478316, 3.641575, 3.269483, -0.08775342, -0.07269432, 0.2582983, -0.2950662, -0.3502938, 0.05890878, 0.4642973, 0.4681289, -0.07383224, -0.157608, -0.6948456
 71290185, -0.2414671, -0.1224692, -0.2274044, -0.7731706, -0.4356559, 0.0965241, 3.641118, 3.268036, -0.09859253, -0.06739466, 0.2415325, -0.2969379, -0.3457969, 0.06878118, 0.4670877, 0.4574531, -0.0758654, -0.1824319, -0.6959245
 71290216, -0.196511, -0.1180146, -0.3530464, -0.7751163, -0.4339501, 0.009533212, 3.650242, 3.171141, -0.1318253, -0.06322744, 0.121447, -0.3061334, -0.3455395, 0.1004441, 0.4532081, 0.4564626, -0.07728258, -0.2603796, -0.6894946
 71290253, -0.29728, -0.1230768, -0.3908836, -0.7460483, -0.433118, 0.07964362, 3.648346, 3.223853, -0.1692651, -0.06060375, 0.0661678, -0.2988974, -0.3446735, 0.1394142, 0.4519933, 0.4601933, -0.05047546, -0.3459048, -0.6684038
 71290284, -0.2425125, -0.1525436, -0.5033956, -0.7280441, -0.4347215, 0.1284426, 3.645483, 3.238896, -0.2013485, -0.06474129, -0.03193513, -0.3268134, -0.3444149, 0.1522411, 0.4503105, 0.4560269, -0.0495866, -0.4090325, -0.6831756
 71290317, -0.268061, -0.1539438, -0.6261677, -0.7388335, -0.4410792, 0.1326556, 3.639604, 3.225549, -0.2196706, -0.06390332, -0.1235063, -0.337186, -0.3425942, 0.1823102, 0.4486067, 0.4576791, -0.04943056, -0.5293767, -0.6939632
 71290353, -0.3453866, -0.1498681, -0.6208351, -0.7425138, -0.4621714, 0.1570944, 3.594851, 3.226158, -0.2361629, -0.06435675, -0.1737906, -0.3378221, -0.3812956, 0.1989135, 0.3828751, 0.4448372, -0.05060674, -0.5759992, -0.697678
 71290384, -0.2650546, -0.08645324, -0.7263725, -0.778455, -0.4712492, 0.1833239, 3.560688, 3.206438, -0.2496128, -0.06335345, -0.2222684, -0.336348, -0.3747937, 0.2350085, 0.3993331, 0.395842, -0.07365306, -0.6332214, -0.6939361
