TimeStamp, FootLeft_x, FootRight_x, FootLeft_y, FootRight_y, WristLeft_x, WristRight_x,WristLeft_z, WristRight_z,KneeLeft_x, KneeRight_x,KneeLeft_y, KneeRight_y,ElbowLeft_x, ElbowRight_x,ElbowLeft_y, ElbowRight_y,Spine_y,AnkleLeft_y, AnkleRight_y
71827062, -0.1049838, 0.1533503, -0.7401181, -0.7338681, -0.2508758, 0.2816638, 3.462537, 3.472491, -0.09048934, 0.1607608, -0.3001156, -0.2829984, -0.2200245, 0.2528533, 0.4033446, 0.3934302, 0.03805003, -0.661918, -0.6574656
 71827099, -0.1022548, 0.1563409, -0.738456, -0.7333438, -0.2456549, 0.281541, 3.477698, 3.478702, -0.09131785, 0.1603409, -0.2996006, -0.282163, -0.2156313, 0.2513587, 0.4041273, 0.393564, 0.03522381, -0.6613541, -0.6544115
 71827134, -0.1043858, 0.1552567, -0.7451693, -0.7422044, -0.2457444, 0.2812741, 3.48421, 3.4873, -0.09261117, 0.1594611, -0.2990724, -0.285128, -0.2140901, 0.2486322, 0.4020776, 0.3944325, 0.03432291, -0.6634718, -0.6618321
 71827192, -0.1048186, 0.1511522, -0.737572, -0.7503216, -0.2356659, 0.2814643, 3.502267, 3.536503, -0.09351109, 0.1591983, -0.2985931, -0.2894879, -0.2123166, 0.2481611, 0.4059421, 0.395197, 0.03373306, -0.6611217, -0.6693718
 71827218, -0.1045711, 0.1506034, -0.7344911, -0.7531768, -0.2346237, 0.2914041, 3.502637, 3.580877, -0.09459173, 0.1590617, -0.2985663, -0.2906914, -0.2111148, 0.243715, 0.4080296, 0.3743187, 0.03339894, -0.6559469, -0.6715848
 71827245, -0.1035297, 0.1607898, -0.7357249, -0.756318, -0.222438, 0.286137, 3.508707, 3.597615, -0.09674157, 0.1613753, -0.2981433, -0.2931759, -0.2091211, 0.244878, 0.4026273, 0.3819632, 0.03116311, -0.6564329, -0.6738701
 71827283, -0.1034025, 0.155217, -0.7353871, -0.7140746, -0.2182441, 0.3041007, 3.499249, 3.638857, -0.09647697, 0.1584796, -0.2982973, -0.288743, -0.2078979, 0.2418606, 0.405017, 0.3902139, 0.03063406, -0.6555413, -0.6726158
 71827314, -0.1037618, 0.1469471, -0.7349366, -0.7322009, -0.211449, 0.3046729, 3.491153, 3.671408, -0.09605008, 0.1554698, -0.2983891, -0.2832815, -0.2051165, 0.2470935, 0.3975927, 0.3914678, 0.03002762, -0.6550609, -0.669376
 71827345, -0.1023464, 0.1314665, -0.7344802, -0.7348736, -0.2077085, 0.3096052, 3.483948, 3.697401, -0.09522542, 0.1547228, -0.2979032, -0.2833672, -0.2025024, 0.24793, 0.4135942, 0.3898732, 0.03098829, -0.6555313, -0.6694938
 71827381, -0.1073934, 0.1137389, -0.7373884, -0.734948, -0.2056881, 0.3143334, 3.479011, 3.709366, -0.09040117, 0.1533223, -0.3018548, -0.2830871, -0.1960918, 0.2666118, 0.4204901, 0.3852384, 0.03521395, -0.6584874, -0.6741278
 71827413, -0.108028, 0.1092418, -0.7423292, -0.7390107, -0.2014164, 0.353336, 3.474306, 3.77915, -0.07361483, 0.1534107, -0.2939516, -0.2849279, -0.1899851, 0.2710114, 0.4173815, 0.3867412, 0.03805917, -0.6645948, -0.6755235
 71827446, -0.1135274, 0.1111955, -0.7487531, -0.7403343, -0.1968255, 0.3750421, 3.468917, 3.829521, -0.0710389, 0.1549361, -0.3038194, -0.2844712, -0.1760298, 0.2760699, 0.3977807, 0.3880897, 0.04551567, -0.6689357, -0.6742089
 71827482, -0.1147543, 0.1111531, -0.7423481, -0.738683, -0.1974714, 0.4061351, 3.471963, 3.832239, -0.06762771, 0.1598025, -0.2966719, -0.2857044, -0.1656755, 0.3079211, 0.4020227, 0.3870279, 0.05630213, -0.6702191, -0.6709769
 71827514, -0.1144946, 0.1136089, -0.7236321, -0.7383114, -0.1959853, 0.4280385, 3.495116, 3.825471, -0.06339766, 0.1668703, -0.2789067, -0.2854608, -0.1578946, 0.3218691, 0.3998269, 0.390442, 0.06319246, -0.65307, -0.669688
 71827546, -0.1232103, 0.1157823, -0.6797235, -0.7383368, -0.1964068, 0.4965311, 3.533728, 3.800634, -0.06368098, 0.1743705, -0.257957, -0.2845789, -0.1504587, 0.3486658, 0.3803014, 0.3897174, 0.07254328, -0.6206579, -0.6679193
 71827582, -0.124594, 0.117387, -0.6124539, -0.7392215, -0.1987031, 0.5249405, 3.542178, 3.76476, -0.07264075, 0.1778224, -0.1969429, -0.2846792, -0.1473344, 0.3598945, 0.3700874, 0.4040572, 0.07681923, -0.5591454, -0.6679308
 71827616, -0.1508272, 0.1189357, -0.5186965, -0.7447757, -0.1885581, 0.5545475, 3.60608, 3.700302, -0.07653952, 0.1754128, -0.1459854, -0.2859995, -0.1388313, 0.4025953, 0.3727356, 0.3993647, 0.08543748, -0.4910467, -0.6697259
 71827652, -0.1421292, 0.1198362, -0.4963585, -0.7499179, -0.1869468, 0.5847136, 3.616878, 3.633992, -0.07552729, 0.1645587, -0.09356678, -0.2856504, -0.118818, 0.4114555, 0.3943982, 0.4008896, 0.09111219, -0.4095511, -0.6702172
 71827684, -0.1490663, 0.1134262, -0.3655183, -0.7108752, -0.1672619, 0.5882252, 3.680048, 3.553905, -0.0783809, 0.1542601, 0.03259501, -0.2903823, -0.1098395, 0.4299615, 0.4267094, 0.4060975, 0.095308, -0.2597339, -0.6692187
 71827715, -0.1713431, 0.1013572, -0.2114753, -0.7162026, -0.1639283, 0.5875245, 3.679614, 3.495466, -0.07607686, 0.1517973, 0.08980434, -0.2898245, -0.1058427, 0.4297883, 0.4328845, 0.427008, 0.09767593, -0.1319534, -0.6742277
 71827754, -0.1774704, 0.0992786, -0.1002429, -0.7154512, -0.1592582, 0.5885012, 3.665381, 3.406639, -0.06785094, 0.1522235, 0.1662299, -0.2870647, -0.101128, 0.4216653, 0.4491521, 0.4356667, 0.1006171, -0.01523709, -0.6734558
 71827787, -0.1360952, 0.0950764, 0.1116429, -0.7122089, -0.1713063, 0.5485916, 3.627632, 3.379427, -0.04745557, 0.1512412, 0.2396459, -0.2771088, -0.1150205, 0.4198275, 0.4586873, 0.4466435, 0.1172234, 0.153565, -0.6702868
 71827819, -0.1297926, 0.09360562, 0.2172228, -0.7126622, -0.1701278, 0.5238463, 3.615459, 3.460837, -0.03861072, 0.1501001, 0.2911958, -0.2750614, -0.11416, 0.393145, 0.4610968, 0.472984, 0.1205949, 0.2594647, -0.6704203
 71827855, -0.1219745, 0.05469, 0.3233427, -0.6999597, -0.163432, 0.4887781, 3.577642, 3.327838, -0.03301983, 0.1501874, 0.2845444, -0.2743817, -0.1077581, 0.3934752, 0.4553243, 0.4739844, 0.1269584, 0.2733811, -0.6675319
 71827882, -0.1089948, 0.1006288, 0.2332307, -0.7094489, -0.16385, 0.4621068, 3.542033, 3.245315, -0.02726261, 0.1470401, 0.283349, -0.273039, -0.1112291, 0.3905832, 0.4580278, 0.4776178, 0.1269628, 0.2759947, -0.666685
 71827914, -0.115596, 0.09573616, 0.2247347, -0.7073959, -0.1639201, 0.4262401, 3.538944, 3.314787, -0.02862321, 0.1462507, 0.3418126, -0.2730874, -0.1089483, 0.3902651, 0.4583822, 0.4800596, 0.1290043, 0.2676931, -0.6644375
 71827949, -0.1455434, 0.1033243, 0.174741, -0.7091769, -0.1645361, 0.4164063, 3.567092, 3.296376, -0.04507922, 0.1445033, 0.2954746, -0.2719694, -0.109418, 0.3842756, 0.46415, 0.4677503, 0.1290475, 0.1601807, -0.6661719
 71827983, -0.207787, 0.103853, 0.01547415, -0.7085903, -0.1591418, 0.3992188, 3.59705, 3.255734, -0.06476622, 0.1440733, 0.2212345, -0.2735454, -0.1017676, 0.4091834, 0.4696891, 0.4528011, 0.1242834, 0.01339841, -0.6659291
 71828014, -0.19411, 0.1019854, -0.06249954, -0.7086159, -0.1595271, 0.3677556, 3.603819, 3.256117, -0.08019847, 0.144325, 0.1187599, -0.276383, -0.1017615, 0.3666885, 0.4585198, 0.4744235, 0.1062728, -0.1486022, -0.6658225
 71828051, -0.1951663, 0.10344, -0.2464053, -0.7086778, -0.1595763, 0.3306568, 3.608213, 3.283118, -0.08534396, 0.1447657, 0.06836212, -0.2770616, -0.1020031, 0.3530886, 0.4605546, 0.4715094, 0.0990007, -0.2036624, -0.6659348
 71828085, -0.1937345, 0.1064558, -0.3782399, -0.7110913, -0.1589527, 0.3364018, 3.61465, 3.356755, -0.09587746, 0.1474165, -0.04186567, -0.2797602, -0.1008416, 0.3457908, 0.4595461, 0.4666779, 0.0979331, -0.3357831, -0.6686345
 71828115, -0.1782416, 0.1214866, -0.4998019, -0.7432489, -0.1709959, 0.344926, 3.5741, 3.412575, -0.09239737, 0.1482435, -0.1338259, -0.2828911, -0.1110403, 0.3342661, 0.4439563, 0.4469952, 0.09158652, -0.4577168, -0.6632265
 71828154, -0.1579395, 0.1215203, -0.6071482, -0.7376285, -0.1742189, 0.3209564, 3.569806, 3.420324, -0.08305693, 0.1486746, -0.2099261, -0.2849363, -0.1191203, 0.3170205, 0.4337965, 0.4201602, 0.08775721, -0.5655446, -0.662321
 71828186, -0.1280315, 0.1224319, -0.7058688, -0.7357794, -0.1834202, 0.2919005, 3.545928, 3.424201, -0.07660449, 0.150142, -0.2800167, -0.2864987, -0.1291535, 0.3116221, 0.4261603, 0.4123031, 0.08004551, -0.664468, -0.6614888
 71828214, -0.09694503, 0.1249192, -0.6994196, -0.7307714, -0.1933993, 0.2904213, 3.535805, 3.421423, -0.05828265, 0.1523513, -0.2801581, -0.2900864, -0.1575617, 0.3047415, 0.3890693, 0.4028697, 0.07896274, -0.6580982, -0.6576606
 71828249, -0.07511971, 0.1263791, -0.7425336, -0.7312263, -0.2100101, 0.2892003, 3.507617, 3.413634, -0.05104807, 0.1529667, -0.3052615, -0.2911538, -0.1607179, 0.2902279, 0.3944722, 0.3944974, 0.07288277, -0.6766565, -0.6568587
