TimeStamp, FootLeft_x, FootRight_x, FootLeft_y, FootRight_y, WristLeft_x, WristRight_x,WristLeft_z, WristRight_z,KneeLeft_x, KneeRight_x,KneeLeft_y, KneeRight_y,ElbowLeft_x, ElbowRight_x,ElbowLeft_y, ElbowRight_y,Spine_y,AnkleLeft_y, AnkleRight_y
5998467, -0.3882491, -0.1946856, -0.2252946, -0.2282643, -0.4945678, -0.07612236, 2.727543, 2.743932, -0.4012598, -0.1915797, -0.03422355, -0.03894594, -0.5604438, -0.07544335, 0.4474663, 0.4458625, -0.2928317, -0.2851571, -0.2921922
 5998478, 1.047027, 1.12185, -0.3668177, -0.3122155, 0.5626802, 0.7296435, 3.708796, 3.558755, 0.9458512, 1.007494, -0.2213376, -0.2440354, 0.5547432, 0.7569624, -0.05002207, -0.005688541, 0.6815186, -0.338705, -0.3151283
 5998492, -0.3883751, -0.1950244, -0.2242291, -0.2287001, -0.5088378, -0.06461723, 2.743929, 2.774442, -0.4011877, -0.1912464, -0.03430236, -0.03908456, -0.559502, -0.07466295, 0.4473428, 0.4442632, -0.29469, -0.2859439, -0.2925667
 5998502, 1.052588, 1.165536, -0.3633083, -0.3306738, 0.5644227, 0.7226427, 3.709342, 3.543535, 0.9471163, 0.9303482, -0.2214952, -0.209177, 0.5600162, 0.7605161, -0.05175734, -0.08505691, 0.6826048, -0.3365967, -0.2993743
 5998520, -0.3884175, -0.1950137, -0.2240894, -0.2287812, -0.5020275, -0.06705346, 2.732738, 2.774697, -0.4011823, -0.1907317, -0.03423409, -0.03918963, -0.5579239, -0.07401313, 0.4478031, 0.4439426, -0.2921265, -0.2861218, -0.2929911
 5998530, 1.055638, 1.16362, -0.3616438, -0.3268689, 0.5636657, 0.6994953, 3.701069, 3.506246, 0.9474185, 0.9290348, -0.2215587, -0.2126504, 0.5580128, 0.7409495, -0.05991516, -0.0703911, 0.6779595, -0.3358278, -0.2988928
 5998555, -0.3881789, -0.1954913, -0.2242163, -0.2286372, -0.4945214, -0.06253596, 2.729863, 2.765714, -0.401053, -0.1901873, -0.03352899, -0.03913524, -0.5569978, -0.07175325, 0.4480306, 0.4416506, -0.2914883, -0.2857783, -0.2932618
 5998562, 1.138008, 1.164788, -0.3261977, -0.3234434, 0.5647531, 0.7227055, 3.704188, 3.520471, 0.9479368, 0.9346079, -0.2230845, -0.2163522, 0.5638685, 0.7378182, -0.03685666, -0.04679939, 0.6789359, -0.3057162, -0.2988859
 5998585, -0.3881918, -0.1953696, -0.224973, -0.2288893, -0.4942671, -0.08458505, 2.730169, 2.740242, -0.4004554, -0.1898344, -0.03411013, -0.039351, -0.5557092, -0.07062274, 0.4488652, 0.4425836, -0.2906159, -0.2865965, -0.2936787
 5998592, 1.154536, 1.143453, -0.3331783, -0.3378192, 0.553337, 0.7263101, 3.692832, 3.529945, 0.9474573, 0.9354485, -0.2231646, -0.2178473, 0.5630361, 0.7369177, -0.04013159, -0.02596011, 0.6824588, -0.3013275, -0.298138
 5998620, -0.3880186, -0.1946443, -0.2250472, -0.227457, -0.493128, -0.07010505, 2.728535, 2.764981, -0.4002177, -0.1890913, -0.03454623, -0.03939857, -0.5547357, -0.06970384, 0.4487791, 0.4428227, -0.2870073, -0.2870864, -0.293994
 5998627, 1.121047, 1.170168, -0.3279562, -0.3275391, 0.5528206, 0.7312149, 3.692525, 3.519349, 0.9479294, 0.9355519, -0.2234361, -0.2193553, 0.5629061, 0.7358884, -0.03980169, -0.02605678, 0.681269, -0.28962, -0.2980622
 5998651, -0.3884706, -0.1945233, -0.2257512, -0.2270035, -0.4986698, -0.03521425, 2.739294, 2.795945, -0.3997791, -0.1875271, -0.03468877, -0.0389515, -0.5542051, -0.06846683, 0.4490018, 0.4430529, -0.2844251, -0.2868733, -0.2942758
 5998657, 1.123701, 1.175543, -0.3259997, -0.3264348, 0.5526517, 0.7322462, 3.688661, 3.516913, 0.9468162, 0.9357355, -0.2237442, -0.2201352, 0.5615976, 0.7347347, -0.0472409, -0.02995908, 0.6799878, -0.2865627, -0.2975469
 5998681, -0.3879004, -0.1944028, -0.2227992, -0.2267369, -0.5006905, -0.07244799, 2.739961, 2.764646, -0.4014552, -0.1858275, -0.03075309, -0.03881334, -0.5530931, -0.06761128, 0.4495091, 0.4429215, -0.283038, -0.2837476, -0.2943878
 5998688, 1.128426, 1.173231, -0.3240596, -0.3257691, 0.561998, 0.7312679, 3.70081, 3.514773, 0.9470504, 0.9358017, -0.223802, -0.2208688, 0.5621516, 0.733795, -0.05715228, -0.02970631, 0.6822138, -0.2848842, -0.2975236
 5998713, -0.3879406, -0.1931938, -0.2229448, -0.226133, -0.4941482, -0.06910203, 2.727755, 2.763711, -0.4013558, -0.1854316, -0.03115952, -0.03886928, -0.5527147, -0.06656091, 0.4493192, 0.4433849, -0.2832708, -0.2841625, -0.2946377
 5998719, 1.131739, 1.161487, -0.3167566, -0.3090515, 0.5712354, 0.7280022, 3.738485, 3.51444, 0.9338987, 0.9163294, -0.2243918, -0.253898, 0.5367801, 0.7327836, -0.0526226, -0.03291381, 0.6820946, -0.281174, -0.2970682
 5998748, -0.3880542, -0.192214, -0.2233471, -0.2255539, -0.4940302, -0.03987981, 2.727725, 2.795772, -0.4010381, -0.1853463, -0.03127117, -0.03887841, -0.5526919, -0.06588224, 0.4493592, 0.4430311, -0.2826698, -0.2840913, -0.2946728
 5998755, 1.120714, 1.167759, -0.3424189, -0.3253129, 0.5741216, 0.7280618, 3.711949, 3.515548, 0.9385805, 0.9487132, -0.220945, -0.2182268, 0.5690194, 0.7338905, -0.01473221, -0.03035164, 0.6819969, -0.3213417, -0.2974899
 5998781, -0.387447, -0.188309, -0.2223032, -0.2248625, -0.4926973, -0.02802781, 2.728682, 2.812339, -0.4008898, -0.1850772, -0.03111065, -0.03919993, -0.5522952, -0.06323072, 0.4489701, 0.442228, -0.2819684, -0.284301, -0.2952587
 5998788, 1.128354, 1.169064, -0.3111649, -0.3246542, 0.5605327, 0.732551, 3.695802, 3.507366, 0.9399905, 0.9438086, -0.2199355, -0.2200602, 0.5616462, 0.7289321, -0.0562433, -0.0402501, 0.682209, -0.2788875, -0.2974793
 5998813, -0.3873606, -0.1874028, -0.2224956, -0.2245028, -0.4918887, -0.06372582, 2.728527, 2.778278, -0.4007494, -0.1844925, -0.03151804, -0.03937394, -0.5517225, -0.06313008, 0.4484156, 0.4432482, -0.2820996, -0.2848395, -0.2957946
 5998819, 1.127708, 1.174625, -0.3114241, -0.3231824, 0.5745802, 0.730225, 3.701521, 3.506917, 0.943831, 0.9685978, -0.2223497, -0.2323858, 0.5610067, 0.730782, -0.05846862, -0.0376574, 0.6806933, -0.2789068, -0.2963044
 5998848, -0.387673, -0.1880651, -0.2230892, -0.2248868, -0.4914284, -0.05836162, 2.729255, 2.780189, -0.4003585, -0.1841547, -0.03212034, -0.03960824, -0.5511838, -0.06292399, 0.4482787, 0.4433268, -0.2811907, -0.2853664, -0.2964723
 5998855, 1.063042, 1.082904, -0.3232982, -0.3211427, 0.591895, 0.6630762, 3.705358, 3.476902, 0.9439037, 0.9620368, -0.2223087, -0.2310575, 0.5608851, 0.7368419, -0.05480589, -0.08288904, 0.6824009, -0.320237, -0.2965685
 5998880, -0.3871962, -0.1891243, -0.2232512, -0.2254505, -0.502777, -0.04903727, 2.741963, 2.785753, -0.4002039, -0.1840486, -0.03231178, -0.03959106, -0.5511556, -0.06225873, 0.4482808, 0.4446638, -0.2805137, -0.2857389, -0.2967434
 5998888, 1.165096, 1.132322, -0.324146, -0.3315827, 0.6024624, 0.709596, 3.700442, 3.664201, 0.9311033, 0.946508, -0.2200711, -0.2265391, 0.5609929, 0.7444136, -0.05917592, -0.075472, 0.6858461, -0.3076091, -0.2970603
 5998916, -0.3876537, -0.1879317, -0.2232122, -0.2251658, -0.4994144, -0.06034151, 2.737289, 2.783496, -0.3996933, -0.1838543, -0.03300909, -0.0397134, -0.5508466, -0.06257276, 0.4480511, 0.44309, -0.2801468, -0.2870089, -0.2971477
 5998923, 1.13135, 1.170272, -0.311542, -0.3209679, 0.5718661, 0.7043623, 3.700792, 3.673969, 0.9424875, 0.9412489, -0.2238646, -0.2269506, 0.5613789, 0.7393475, -0.06005594, -0.07753011, 0.6866943, -0.2803867, -0.2971309
 5998949, -0.387405, -0.1803832, -0.2234504, -0.2234094, -0.4957615, -0.04301051, 2.734648, 2.789431, -0.3996133, -0.1838483, -0.03319596, -0.03971106, -0.5507784, -0.06251378, 0.4480042, 0.4446921, -0.2793238, -0.28735, -0.297355
 5998956, 1.128774, 1.16854, -0.3143105, -0.3178215, 0.5612044, 0.6935589, 3.708031, 3.663437, 0.9411007, 0.9375857, -0.2226593, -0.221951, 0.5367831, 0.7415791, -0.02947656, -0.07464816, 0.6763315, -0.2759397, -0.2972813
 5998981, -0.387431, -0.1840307, -0.2234895, -0.2248489, -0.4935027, -0.04079974, 2.732346, 2.791583, -0.3996264, -0.1838225, -0.03320088, -0.03980364, -0.5504122, -0.06210311, 0.4475757, 0.4443828, -0.2790106, -0.2875733, -0.2977947
 5998988, 1.083604, 1.149576, -0.3252883, -0.3207774, 0.5719908, 0.6999701, 3.700401, 3.522897, 0.94389, 0.9375259, -0.2232831, -0.222479, 0.5591547, 0.7272053, -0.05402189, -0.07415829, 0.6838207, -0.3035425, -0.3010345
 5999017, -0.3874251, -0.1840666, -0.223739, -0.224588, -0.4934573, -0.04083312, 2.732386, 2.791171, -0.3991623, -0.1837738, -0.03317339, -0.03974717, -0.5501365, -0.06219382, 0.4476098, 0.4445513, -0.2787584, -0.2876492, -0.2979075
 5999024, 1.142148, 1.166459, -0.3297033, -0.3178686, 0.5737936, 0.7347142, 3.700194, 3.477015, 0.9434589, 0.936882, -0.2234963, -0.2209454, 0.5598465, 0.7349895, -0.057391, -0.07284598, 0.6857185, -0.3118182, -0.2970674
 5999048, -0.387481, -0.1849057, -0.2241575, -0.2247616, -0.4940813, -0.06382688, 2.732417, 2.77819, -0.3988073, -0.1838007, -0.0335345, -0.03971279, -0.5499086, -0.06199328, 0.4476155, 0.4448952, -0.2787572, -0.2881467, -0.2980963
 5999057, 1.143389, 1.150244, -0.3327664, -0.3266708, 0.5448833, 0.7195054, 3.691598, 3.47428, 0.943862, 0.932181, -0.2234538, -0.1648846, 0.5598648, 0.7406612, -0.05789714, -0.07353801, 0.6886458, -0.3098093, -0.2845263
 5999081, -0.3876395, -0.1849471, -0.2246533, -0.2250749, -0.4935163, -0.04283676, 2.731775, 2.796744, -0.3988158, -0.1837998, -0.03347169, -0.03970679, -0.5498808, -0.06223235, 0.4480295, 0.4445641, -0.2785189, -0.2879905, -0.2982471
 5999089, 1.133485, 1.15711, -0.3288967, -0.3360643, 0.5378417, 0.7268465, 3.665017, 3.51742, 0.9450759, 0.9430813, -0.2233193, -0.173116, 0.5623878, 0.7277215, -0.05814746, -0.08417109, 0.6888682, -0.3076769, -0.2955117
 5999117, -0.3875447, -0.1875572, -0.2247719, -0.2259275, -0.49259, -0.07283193, 2.730104, 2.776513, -0.398772, -0.1839085, -0.03349648, -0.03966408, -0.5499682, -0.06238823, 0.4481487, 0.4443299, -0.2784616, -0.2882235, -0.298393
 5999126, 1.137607, 1.156021, -0.332665, -0.3366601, 0.5928336, 0.63371, 3.692879, 3.591463, 0.9505017, 0.9455285, -0.2237197, -0.175134, 0.5631709, 0.7475305, -0.05879492, -0.07229234, 0.6884695, -0.3037751, -0.2969026
 5999149, -0.3875858, -0.1894489, -0.2245632, -0.2266979, -0.4925129, -0.08423495, 2.730152, 2.744929, -0.3994201, -0.1842348, -0.03291133, -0.03953042, -0.5499748, -0.06315526, 0.4484611, 0.4448701, -0.2786868, -0.2881067, -0.298487
 5999157, 1.128284, 1.101026, -0.3095449, -0.3562799, 0.5735516, 0.6528277, 3.705868, 3.558507, 0.9535038, 0.9669889, -0.2195955, -0.2238078, 0.5616528, 0.7472509, -0.06003138, -0.06647526, 0.6926268, -0.2788141, -0.3248408
 5999181, -0.3892523, -0.1899246, -0.224229, -0.2271824, -0.4932174, -0.04388355, 2.731291, 2.80519, -0.399707, -0.1844662, -0.03292517, -0.03953874, -0.5501895, -0.06345043, 0.4496072, 0.4446479, -0.2805907, -0.2882384, -0.2986456
 5999189, 1.12828, 1.086867, -0.309541, -0.3048306, 0.5718871, 0.6640755, 3.69667, 3.555746, 0.9547219, 0.9300187, -0.2214959, -0.2536046, 0.5608118, 0.7481722, -0.0632043, -0.06397783, 0.6923709, -0.2788745, -0.2935759
 5999216, -0.3893577, -0.1914658, -0.2244677, -0.2281681, -0.4908233, -0.08715011, 2.728343, 2.727682, -0.3999665, -0.184533, -0.03262904, -0.03958875, -0.5508156, -0.06484614, 0.449571, 0.4450563, -0.2825009, -0.2884115, -0.2989492
 5999225, 1.134318, 1.073884, -0.3278736, -0.3262326, 0.5675683, 0.6773283, 3.691598, 3.541319, 0.9544325, 0.9340872, -0.2218609, -0.2122756, 0.5606883, 0.7467023, -0.06594313, -0.06259065, 0.6935303, -0.3037952, -0.303048
 5999250, -0.3924659, -0.1911746, -0.2254044, -0.2288638, -0.4909028, -0.07065252, 2.72826, 2.777886, -0.4006609, -0.1849943, -0.03254397, -0.04054227, -0.5516439, -0.06528239, 0.4492015, 0.4449015, -0.2827014, -0.288898, -0.3009586
