TimeStamp,FootLeft_x,FootRight_x,FootLeft_y,FootRight_y,WristLeft_x,WristRight_x,WristLeft_z,WristRight_z,KneeLeft_x,KneeRight_x,KneeLeft_y,KneeRight_y,ElbowLeft_x,ElbowRight_x,ElbowLeft_y,ElbowRight_y,Head_y,AnkleLeft_y,AnkleRight_y
8017534, -0.3327059, -0.0641093, -0.8385365, -0.9482591, -0.1868093, 0.2580795, 1.927186, 1.983067, -0.08732978, 0.1798203, -0.6076928, -0.6431567, -0.1991682, 0.2718101, -0.165114, -0.165703, 0.04479279, -0.7973753, -0.905219
 8017601, -0.3274459, -0.06335551, -0.8468993, -0.9499845, -0.1878456, 0.2582529, 1.925567, 1.983656, -0.08703811, 0.1798891, -0.6079382, -0.6432344, -0.1988934, 0.2721095, -0.1651871, -0.1655512, 0.04520011, -0.7973772, -0.9055591
 8017662, -0.332103, -0.06312518, -0.8379772, -0.9494409, -0.1878049, 0.258299, 1.925879, 1.983776, -0.08689225, 0.1801034, -0.6080091, -0.6432668, -0.1987397, 0.2721367, -0.1651392, -0.1658909, 0.04517972, -0.7976373, -0.905161
 8017732, -0.3381897, -0.06324095, -0.8240355, -0.9491077, -0.1879364, 0.2600566, 1.926857, 1.984392, -0.08668546, 0.1802206, -0.6081658, -0.6431913, -0.1984427, 0.2721353, -0.164697, -0.1659532, 0.04521299, -0.7973373, -0.9047377
 8017790, -0.3366143, -0.06341293, -0.8307972, -0.9479063, -0.1879479, 0.2600349, 1.927272, 1.984973, -0.08656091, 0.1808237, -0.6082106, -0.6433158, -0.1981005, 0.2723247, -0.1646323, -0.1661586, 0.04599125, -0.7973416, -0.903878
 8017831, -0.3332396, -0.06370211, -0.8408085, -0.9473438, -0.1825776, 0.2514233, 1.931925, 1.976401, -0.08637086, 0.1809963, -0.6084713, -0.6431565, -0.197372, 0.2723188, -0.1653439, -0.1665744, 0.04574129, -0.7972978, -0.9033489
 8017884, -0.3360734, -0.05783853, -0.8377504, -0.953358, -0.1828094, 0.260206, 1.931863, 1.989011, -0.08632364, 0.1812101, -0.6084537, -0.6431181, -0.1972704, 0.272364, -0.1655216, -0.1674949, 0.04628431, -0.7971331, -0.9066173
 8017929, -0.335356, -0.05785803, -0.8422369, -0.9527036, -0.1865442, 0.2604548, 1.931423, 1.989167, -0.08631144, 0.1813588, -0.6084309, -0.6431785, -0.1970943, 0.2725202, -0.1657851, -0.167562, 0.04639502, -0.7948411, -0.9061123
 8017963, -0.3356901, -0.05865807, -0.8423001, -0.9516542, -0.1816981, 0.2605382, 1.93327, 1.98933, -0.08629701, 0.1816461, -0.6084172, -0.6432335, -0.1964555, 0.2725652, -0.1661106, -0.1675145, 0.04625353, -0.7949381, -0.9054013
 8018027, -0.3364263, -0.05836251, -0.8425357, -0.9513082, -0.1819181, 0.2605193, 1.933414, 1.989487, -0.08630103, 0.1818433, -0.6085927, -0.6433737, -0.1964162, 0.2728021, -0.1660137, -0.1675187, 0.0462818, -0.7954408, -0.9052097
 8018062, -0.3179069, -0.05832281, -0.8492624, -0.9506229, -0.1821524, 0.2585845, 1.933501, 1.983629, -0.08597912, 0.1819631, -0.6085227, -0.6434999, -0.1963597, 0.2731988, -0.165921, -0.1679751, 0.04646862, -0.7963017, -0.9049
 8018097, -0.3369894, -0.05961079, -0.8274002, -0.949145, -0.1844409, 0.2568991, 1.931559, 1.982407, -0.08595389, 0.1820633, -0.6085295, -0.6436121, -0.1965728, 0.2733009, -0.1655723, -0.1684243, 0.04647423, -0.7964702, -0.9039021
 8018153, -0.33983, -0.05674044, -0.8135289, -0.951571, -0.1863806, 0.2596122, 1.930816, 1.990832, -0.08575465, 0.1821748, -0.6085937, -0.6438568, -0.1965857, 0.2729222, -0.1654367, -0.1692821, 0.04664218, -0.7965284, -0.9055372
 8018186, -0.3165764, -0.02367419, -0.8496094, -0.98051, -0.1872679, 0.2599594, 1.930614, 1.991341, -0.0856633, 0.1823487, -0.608565, -0.6439604, -0.1961968, 0.2738795, -0.1655206, -0.1686659, 0.04694076, -0.7965612, -0.9231445
 8018230, -0.331754, -0.02322958, -0.8452806, -0.9804317, -0.183291, 0.2558721, 1.932551, 1.98166, -0.08583856, 0.1822924, -0.6084999, -0.6438818, -0.1960335, 0.2741721, -0.1651931, -0.1691745, 0.04699004, -0.7965981, -0.9233674
 8018294, -0.3316263, -0.02216757, -0.846721, -0.9806252, -0.1842429, 0.2624989, 1.932175, 1.993232, -0.08586685, 0.1824284, -0.6085246, -0.6440147, -0.1961498, 0.2743112, -0.1650639, -0.1690493, 0.04708156, -0.7964026, -0.9237111
 8018326, -0.3332666, -0.08887648, -0.8449052, -0.7240918, -0.1819625, 0.2624952, 1.932425, 1.993105, -0.08607135, 0.1824903, -0.6083894, -0.6440583, -0.196241, 0.274232, -0.1651767, -0.1693437, 0.04799814, -0.7963951, -0.7421105
 8018358, -0.3322058, -0.0928871, -0.8457249, -0.7103418, -0.1849498, 0.2648807, 1.930583, 1.992622, -0.08600813, 0.1827184, -0.6083468, -0.6443551, -0.19636, 0.274054, -0.165261, -0.1699746, 0.04794328, -0.7964115, -0.7308771
 8018392, -0.3318522, -0.09273277, -0.8461607, -0.7103922, -0.1870234, 0.2651978, 1.929458, 1.992489, -0.08588926, 0.1827661, -0.6080689, -0.6446242, -0.1964011, 0.2739941, -0.1653616, -0.1699568, 0.04795749, -0.796324, -0.7309759
 8018434, -0.3320009, -0.09288011, -0.8455623, -0.708468, -0.1832345, 0.2571413, 1.931671, 1.984677, -0.08585102, 0.1827272, -0.608062, -0.6446244, -0.196665, 0.2738208, -0.1653312, -0.1703108, 0.04749689, -0.7964969, -0.7294472
