TimeStamp,FootLeft_x,FootRight_x,FootLeft_y,FootRight_y,WristLeft_x,WristRight_x,WristLeft_z,WristRight_z,KneeLeft_x,KneeRight_x,KneeLeft_y,KneeRight_y,ElbowLeft_x,ElbowRight_x,ElbowLeft_y,ElbowRight_y,Head_y,AnkleLeft_y,AnkleRight_y
802655, 0.2623465, 0.5124457, -0.8050411, -0.8504792, 0.2403875, 0.5648582, 2.971888, 2.968468, 0.3285848, 0.4816602, -0.4123083, -0.4242087, 0.1622652, 0.6845198, 0.2002859, 0.3304677, 0.4134064, -0.767203, -0.7879741
 802685, 0.2613672, 0.504938, -0.8051176, -0.845894, 0.2339378, 0.5558256, 2.957799, 2.97075, 0.3276235, 0.4766063, -0.4164835, -0.4267313, 0.1587948, 0.6692176, 0.1975556, 0.3268054, 0.409915, -0.7673441, -0.7850784
 802721, 0.2611713, 0.4380094, -0.8065776, -0.8239251, 0.2264479, 0.5486326, 2.895921, 2.969851, 0.3260706, 0.4744447, -0.4230189, -0.4285979, 0.1461935, 0.6592233, 0.1843191, 0.3338617, 0.4037786, -0.7687924, -0.78614
 802751, 0.2603291, 0.4369753, -0.8066494, -0.8239228, 0.2262795, 0.5452142, 2.881185, 2.968359, 0.3241029, 0.4767061, -0.4236497, -0.4306227, 0.1449212, 0.6607394, 0.1816412, 0.3350808, 0.4134882, -0.7688831, -0.7861564
 802782, 0.2651786, 0.493148, -0.8070092, -0.8518571, 0.2250385, 0.5378064, 2.888165, 2.934556, 0.3223159, 0.4834349, -0.4238659, -0.4274756, 0.1478047, 0.671379, 0.1818257, 0.324354, 0.4162876, -0.769005, -0.7860491
 802819, 0.2694224, 0.5029063, -0.8009805, -0.8483887, 0.2051382, 0.537975, 2.882311, 2.944038, 0.3156334, 0.4979526, -0.4041679, -0.4130471, 0.1559349, 0.6480067, 0.2048888, 0.342877, 0.4134037, -0.7628192, -0.7806739
 802850, 0.2782868, 0.5277038, -0.8285776, -0.8402264, 0.2204531, 0.5402293, 2.865145, 2.935874, 0.3165599, 0.5179338, -0.4019498, -0.3989609, 0.1590407, 0.6490005, 0.2257912, 0.3808396, 0.4149086, -0.761934, -0.7734683
 802882, 0.2744395, 0.5623587, -0.8328133, -0.8450078, 0.2186612, 0.5401953, 2.842215, 2.934731, 0.3200413, 0.5345918, -0.3847203, -0.3917397, 0.1566897, 0.638417, 0.2680759, 0.3688091, 0.4149503, -0.7612588, -0.7855876
 802918, 0.2724095, 0.6151209, -0.8369954, -0.8477963, 0.2147065, 0.541898, 2.861572, 2.922954, 0.319946, 0.5514008, -0.3822545, -0.394429, 0.1571719, 0.6649038, 0.282737, 0.3703457, 0.4120437, -0.7547365, -0.7876468
 802950, 0.2669104, 0.6487056, -0.8304325, -0.83879, 0.2152918, 0.5359703, 2.869132, 2.898449, 0.3197644, 0.5596697, -0.3748434, -0.3898006, 0.1438051, 0.6716738, 0.3192129, 0.3629829, 0.4069053, -0.75448, -0.7692402
 802982, 0.2599452, 0.6764485, -0.834018, -0.8312366, 0.2206364, 0.5448225, 2.849648, 2.870285, 0.3200421, 0.5756065, -0.3733416, -0.3895236, 0.1662, 0.6784613, 0.2904673, 0.347874, 0.4048808, -0.7649202, -0.7669039
 803018, 0.2555035, 0.705405, -0.8398106, -0.8333421, 0.2134635, 0.5312752, 2.833399, 2.836542, 0.3199466, 0.5866385, -0.3733746, -0.3879613, 0.1623909, 0.7047021, 0.2711686, 0.3204504, 0.3975091, -0.7744049, -0.76231
 803050, 0.2606667, 0.7114713, -0.8185613, -0.8440122, 0.2112692, 0.4830869, 2.826952, 2.809433, 0.3183284, 0.6105622, -0.3777617, -0.4033569, 0.1517342, 0.6449703, 0.2188402, 0.2624229, 0.3934035, -0.7747959, -0.7856128
 803082, 0.2473579, 0.7337585, -0.8494759, -0.8491933, 0.2504217, 0.5113451, 2.768128, 2.805019, 0.3113459, 0.6225075, -0.411546, -0.4181719, 0.1309794, 0.6344142, 0.1385449, 0.2281797, 0.4011059, -0.7802236, -0.7864649
 803119, 0.2539152, 0.737521, -0.8521997, -0.8543859, 0.2246091, 0.5079783, 2.777544, 2.804131, 0.3044724, 0.6294106, -0.4274293, -0.4277195, 0.1230524, 0.6907585, 0.08850541, 0.09695769, 0.4291462, -0.7802967, -0.7859763
 803150, 0.2695224, 0.7370234, -0.8189093, -0.8555373, 0.2029936, 0.5411241, 2.766103, 2.777117, 0.299532, 0.6404073, -0.4802113, -0.4613197, 0.1228911, 0.6908875, 0.06676826, 0.02833324, 0.3166685, -0.7784021, -0.7916024
 803186, 0.274664, 0.7364725, -0.8481151, -0.859605, 0.2513221, 0.494586, 2.762416, 2.730901, 0.2742724, 0.6470177, -0.5398127, -0.4942592, 0.1208761, 0.6288472, -0.02572913, 0.04343243, 0.3309229, -0.7771185, -0.7928399
 803219, 0.2779683, 0.7343143, -0.8408244, -0.860174, 0.2461431, 0.5031412, 2.756676, 2.732653, 0.2381011, 0.6564531, -0.5499507, -0.5463362, 0.120085, 0.6441672, -0.1045297, -0.03560634, 0.3389459, -0.7693377, -0.7930853
 803250, 0.2699264, 0.7374818, -0.8108249, -0.9020594, 0.2850666, 0.5480242, 2.749893, 2.676921, 0.2987916, 0.658668, -0.4810055, -0.5644435, 0.1310745, 0.5433719, -0.1651142, 0.01869981, 0.3189085, -0.7677078, -0.8459078
 803286, 0.2779492, 0.7328731, -0.8132802, -0.8607638, 0.2918341, 0.5196968, 2.726449, 2.647922, 0.293983, 0.6427141, -0.4998874, -0.5190684, 0.1340148, 0.5569469, -0.2072295, -0.02996764, 0.3123268, -0.7677047, -0.7856354
 803318, 0.2737001, 0.7320583, -0.8154057, -0.8610135, 0.2930816, 0.5745827, 2.709128, 2.668801, 0.292846, 0.6439841, -0.5252622, -0.5227925, 0.140806, 0.5576683, -0.2376214, -0.06871324, 0.3218408, -0.7687244, -0.7866786
 803350, 0.2808473, 0.7318548, -0.8353264, -0.8613743, 0.2944396, 0.562007, 2.702389, 2.731724, 0.2974421, 0.6452656, -0.5425341, -0.5265863, 0.1464282, 0.7097255, -0.2395586, -0.2146406, 0.3950046, -0.7708163, -0.7870297
