TimeStamp,FootLeft_x,FootRight_x,FootLeft_y,FootRight_y,WristLeft_x,WristRight_x,WristLeft_z,WristRight_z,KneeLeft_x,KneeRight_x,KneeLeft_y,KneeRight_y,ElbowLeft_x,ElbowRight_x,ElbowLeft_y,ElbowRight_y,Head_y,AnkleLeft_y,AnkleRight_y
81965920, 0.133051, 0.3786277, -0.8826163, -0.9331393, -0.02777552, 0.553228, 2.69011, 2.33625, 0.1949966, 0.3781136, -0.5108277, -0.5445941, 0.05740279, 0.5394636, 0.05957398, 0.04465055, 0.28511, -0.8436543, -0.8941773
 81965954, 0.1302765, 0.3778743, -0.8806631, -0.9320779, -0.04154315, 0.5448056, 2.637182, 2.318257, 0.1799546, 0.3671319, -0.5118666, -0.5422908, 0.05263891, 0.5326968, 0.05454569, 0.04819455, 0.2738018, -0.8420528, -0.8934676
 81965985, 0.1253826, 0.373602, -0.8788707, -0.92998, -0.04001801, 0.5387484, 2.580053, 2.306943, 0.1707174, 0.3592453, -0.5116754, -0.5427208, 0.04420035, 0.5232017, 0.03967834, 0.05414081, 0.2635655, -0.8404357, -0.8915449
 81966018, 0.1258438, 0.3681742, -0.87911, -0.9211316, -0.03852115, 0.5333614, 2.512125, 2.295995, 0.1641442, 0.3469228, -0.5122043, -0.528883, 0.03548403, 0.5131472, 0.03500098, 0.05809353, 0.2503136, -0.8408615, -0.8828831
 81966051, 0.1248843, 0.3570396, -0.8804153, -0.9071915, -0.03181244, 0.528881, 2.433594, 2.29026, 0.1589043, 0.3405016, -0.515351, -0.5163919, 0.03052676, 0.5051266, 0.03144968, 0.06240099, 0.2402127, -0.8417032, -0.8684794
 81966082, 0.1266215, 0.3559617, -0.8806815, -0.8879621, -0.01635123, 0.5271446, 2.344688, 2.286695, 0.1554753, 0.3362067, -0.5177251, -0.5074654, 0.03010862, 0.4985626, 0.0404176, 0.06384015, 0.2342116, -0.8421829, -0.8494635
 81966118, 0.1270733, 0.3403381, -0.8822803, -0.8962738, -0.004981155, 0.5243032, 2.267905, 2.285333, 0.1501961, 0.3344435, -0.5199021, -0.5032234, 0.03023502, 0.4893447, 0.04596532, 0.06448775, 0.2291988, -0.8436679, -0.8576614
 81966151, 0.1289115, 0.3364588, -0.8826871, -0.8871191, 0.01408378, 0.5234845, 2.195754, 2.286018, 0.1459227, 0.3280196, -0.5187737, -0.5017168, 0.02732334, 0.482455, 0.05416162, 0.06750779, 0.2225933, -0.8438689, -0.8483008
 81966182, 0.130229, 0.3348294, -0.8835095, -0.9409223, 0.02373523, 0.5223775, 2.143126, 2.292723, 0.1425571, 0.3257882, -0.5191451, -0.497609, 0.02500697, 0.4810267, 0.05949941, 0.06700849, 0.2193669, -0.8442959, -0.8623902
 81966220, 0.1282273, 0.3189899, -0.8833836, -0.9024917, 0.03960641, 0.5244788, 2.078586, 2.303352, 0.1375619, 0.3199123, -0.5199003, -0.4884178, 0.02593318, 0.4783331, 0.07173827, 0.06715029, 0.2130337, -0.8445804, -0.8636885
