TimeStamp,FootLeft_x,FootRight_x,FootLeft_y,FootRight_y,WristLeft_x,WristRight_x,WristLeft_z,WristRight_z,KneeLeft_x,KneeRight_x,KneeLeft_y,KneeRight_y,ElbowLeft_x,ElbowRight_x,ElbowLeft_y,ElbowRight_y,Head_y,AnkleLeft_y,AnkleRight_y
80477945, -0.3022191, 0.3336053, -0.8802164, -0.8628197, -0.2342791, 0.339353, 2.848228, 2.959193, -0.1653458, 0.2158972, -0.4273403, -0.4138472, -0.3213986, 0.4419017, 0.6778907, 0.6759548, 0.05901404, -0.8126562, -0.8043832
 80477993, -0.2880473, 0.3231111, -0.8683736, -0.849901, -0.2987956, 0.4474853, 2.808459, 2.942526, -0.159625, 0.2160643, -0.409273, -0.4050165, -0.3755432, 0.4599143, 0.6389974, 0.5895068, 0.06084153, -0.7907754, -0.7960901
 80478051, -0.2389593, 0.267199, -0.8605096, -0.8833822, -0.4560017, 0.6177635, 2.721387, 2.905035, -0.1423597, 0.206688, -0.3632488, -0.3873522, -0.3854322, 0.4649094, 0.5475659, 0.4988529, 0.06246865, -0.788947, -0.8027167
 80478092, -0.1948738, 0.2262034, -0.86639, -0.8682197, -0.495548, 0.6220274, 2.695935, 2.883318, -0.1393187, 0.2042034, -0.3623578, -0.3833891, -0.349721, 0.4430636, 0.4811619, 0.4518936, 0.06160436, -0.7950003, -0.7798079
 80478138, -0.09311878, 0.1353876, -0.8741034, -0.8751703, -0.4542815, 0.4983222, 2.734802, 2.859817, -0.09639233, 0.1632711, -0.3795715, -0.3697152, -0.2952091, 0.3523923, 0.3516467, 0.3366208, 0.05819919, -0.7977597, -0.8032025
 80478173, -0.08434249, 0.1178337, -0.8771777, -0.8809505, -0.3846214, 0.4215457, 2.75742, 2.866049, -0.09215515, 0.1543108, -0.3851572, -0.3792709, -0.225543, 0.3088489, 0.2911437, 0.2876475, 0.05727466, -0.8049285, -0.8070939
 80478205, -0.07404859, 0.1083704, -0.8755386, -0.8897297, -0.2863807, 0.3389666, 2.791163, 2.893342, -0.08142421, 0.1421779, -0.4004412, -0.3945094, -0.1835314, 0.282197, 0.2373898, 0.2431962, 0.05775442, -0.8059765, -0.8195714
 80478236, -0.05624571, 0.1081281, -0.8890058, -0.892658, -0.2246542, 0.3050964, 2.814755, 2.904759, -0.07691599, 0.1386288, -0.4149597, -0.4080388, -0.1651361, 0.2740698, 0.1828694, 0.2064942, 0.0602487, -0.8158352, -0.8211336
 80478273, -0.0566719, 0.1114402, -0.8885593, -0.8947929, -0.2297272, 0.3161848, 2.803803, 2.908367, -0.07736751, 0.1325534, -0.4203648, -0.4263313, -0.1616719, 0.2725089, 0.1633098, 0.1777964, 0.06207995, -0.8172859, -0.8214056
 80478305, -0.05892448, 0.1099558, -0.8870298, -0.8913745, -0.2845666, 0.4142051, 2.777113, 2.910398, -0.07743356, 0.1370359, -0.4206574, -0.4304904, -0.1648022, 0.2802844, 0.1613536, 0.1776391, 0.06305441, -0.8144078, -0.8202188
