TimeStamp,FootLeft_x,FootRight_x,FootLeft_y,FootRight_y,WristLeft_x,WristRight_x,WristLeft_z,WristRight_z,KneeLeft_x,KneeRight_x,KneeLeft_y,KneeRight_y,ElbowLeft_x,ElbowRight_x,ElbowLeft_y,ElbowRight_y,Head_y,AnkleLeft_y,AnkleRight_y
81317258, 0.2596375, 0.4031912, -0.8222472, -0.8201275, -0.3536392, 0.9549167, 3.141256, 3.302292, 0.2284332, 0.4126783, -0.386054, -0.3801422, -0.1268942, 0.7340949, 0.5046123, 0.4711739, 0.337529, -0.7780064, -0.7758868
 81317286, 0.2377484, 0.4267272, -0.8588887, -0.8727955, -0.3567804, 0.9618994, 3.159741, 3.297463, 0.2093767, 0.4140382, -0.3872005, -0.3827875, -0.1456743, 0.7350097, 0.5413826, 0.520563, 0.3328923, -0.7776623, -0.7954575
 81317315, 0.2246063, 0.4014574, -0.8219073, -0.8284623, -0.3424125, 0.9889746, 3.157444, 3.291642, 0.201616, 0.4149986, -0.3795475, -0.3785627, -0.1493082, 0.7759864, 0.6006738, 0.5594793, 0.3250051, -0.7776104, -0.7841654
 81317349, 0.1885709, 0.4032268, -0.8529331, -0.825775, -0.3311383, 0.9922369, 3.146736, 3.253755, 0.2002583, 0.4150684, -0.3786603, -0.3871604, -0.1465487, 0.7801304, 0.6345655, 0.5761166, 0.3262513, -0.7765193, -0.7815514
 81317381, 0.1814585, 0.4006355, -0.8413396, -0.8259451, -0.3346195, 0.9726559, 3.123551, 3.245985, 0.2002917, 0.4124707, -0.3787192, -0.395437, -0.1488463, 0.7845124, 0.6338844, 0.6244601, 0.3256005, -0.7611021, -0.7819618
 81317414, 0.1813667, 0.388277, -0.8427908, -0.8228235, -0.3328086, 0.9562562, 3.111762, 3.205041, 0.2004999, 0.4086042, -0.3789783, -0.3946685, -0.1391139, 0.7695621, 0.6307598, 0.6043033, 0.3203189, -0.7627959, -0.7792794
 81317449, 0.1887031, 0.3827751, -0.8634762, -0.8242401, -0.3199675, 0.938388, 3.106234, 3.189897, 0.2018478, 0.3971857, -0.3817084, -0.4122113, -0.129898, 0.7553483, 0.6118953, 0.5803874, 0.3178124, -0.7844551, -0.7812348
 81317480, 0.1911568, 0.4098869, -0.8596056, -0.8795961, -0.3295332, 0.9573026, 3.103693, 3.164127, 0.2021337, 0.3939562, -0.3834835, -0.4131586, -0.1474549, 0.7492358, 0.5710873, 0.5721023, 0.3124014, -0.7794027, -0.7834501
 81317513, 0.1862203, 0.4067785, -0.8648168, -0.878813, -0.3922564, 0.944024, 3.104744, 3.159587, 0.2025499, 0.3853971, -0.3974867, -0.4162482, -0.1572777, 0.7308671, 0.5497843, 0.5181679, 0.3040961, -0.7851951, -0.7830167
 81317548, 0.1869411, 0.4065769, -0.863647, -0.8790528, -0.3822134, 0.9452314, 3.162024, 3.185645, 0.2032031, 0.3806659, -0.3976724, -0.4145658, -0.1609146, 0.7256175, 0.5064271, 0.4890101, 0.2998963, -0.7840185, -0.781896
 81317579, 0.1862547, 0.4078417, -0.8618554, -0.8815981, -0.4309607, 0.9401647, 3.223446, 3.253759, 0.2039874, 0.3789612, -0.3976425, -0.4151212, -0.1626823, 0.7158513, 0.4944687, 0.4704636, 0.2952411, -0.7826002, -0.7839171
 81317614, 0.1855581, 0.407625, -0.8568322, -0.8835037, -0.4407204, 0.9700377, 3.302468, 3.300101, 0.210495, 0.3782364, -0.3984927, -0.4139806, -0.1674754, 0.7461979, 0.4873497, 0.4540845, 0.2888461, -0.7784859, -0.7844707
 81317646, 0.1876046, 0.3800803, -0.8490084, -0.8681188, -0.4482078, 0.9609474, 3.359422, 3.359434, 0.2108282, 0.3767829, -0.4013534, -0.4117751, -0.1715379, 0.7378856, 0.4942961, 0.4592125, 0.2860645, -0.7719381, -0.7842204
