TimeStamp,FootLeft_x,FootRight_x,FootLeft_y,FootRight_y,WristLeft_x,WristRight_x,WristLeft_z,WristRight_z,KneeLeft_x,KneeRight_x,KneeLeft_y,KneeRight_y,ElbowLeft_x,ElbowRight_x,ElbowLeft_y,ElbowRight_y,Head_y,AnkleLeft_y,AnkleRight_y
83138189, 0.123644, 0.2853974, -0.8294093, -0.786315, -0.1143885, 0.1626199, 3.040074, 3.127147, 0.07855548, 0.2217725, -0.436906, -0.4283433, -0.1144132, 0.2909976, 0.1506914, 0.09835318, 0.0950588, -0.7904726, -0.7473782
 83138220, 0.1171834, 0.2538553, -0.8244195, -0.8278728, -0.101868, 0.1665768, 3.058177, 3.144547, 0.05823199, 0.2102929, -0.4212697, -0.4312819, -0.1221858, 0.2949544, 0.1801139, 0.1734674, 0.09395149, -0.785192, -0.7479918
 83138256, 0.1056995, 0.2516519, -0.8189601, -0.8553823, -0.09582493, 0.1547348, 3.052576, 3.134852, 0.03695361, 0.1889316, -0.4259872, -0.4335653, -0.1172637, 0.2831124, 0.192592, 0.2254135, 0.08862999, -0.779912, -0.7887247
 83138288, 0.09405577, 0.2033199, -0.8401048, -0.8432226, -0.0616539, 0.1482195, 3.095205, 3.174078, 0.02357414, 0.1721977, -0.3976896, -0.4033689, -0.1212294, 0.2765971, 0.2234719, 0.273206, 0.08491281, -0.7796621, -0.7912599
 83138320, 0.04499711, 0.1378092, -0.831164, -0.8390423, -0.04574122, 0.1537554, 3.106025, 3.179218, 0.008761466, 0.1360235, -0.3821964, -0.3917558, -0.1785065, 0.2851296, 0.3259705, 0.3248495, 0.08173651, -0.7593489, -0.7924635
 83138356, 0.0120076, 0.1054375, -0.8248222, -0.8163405, -0.02911798, 0.1491531, 3.117944, 3.185419, -0.0176668, 0.1198487, -0.3697685, -0.3739731, -0.1794844, 0.2775307, 0.3283791, 0.3315022, 0.07710843, -0.7611544, -0.7577955
 83138388, -0.04136959, 0.06145676, -0.8198613, -0.8058838, -0.03257981, 0.1418396, 3.13327, 3.256153, -0.04139373, 0.1075692, -0.364428, -0.3685306, -0.1805843, 0.2702172, 0.3285471, 0.3125147, 0.07058609, -0.7662026, -0.7441752
 83138420, -0.08962029, 0.004722678, -0.8290241, -0.8140656, -0.03701197, 0.1105481, 3.1515, 3.204025, -0.06753216, 0.08798839, -0.3641312, -0.3673511, -0.1823991, 0.2389257, 0.3269206, 0.314018, 0.05275935, -0.7639372, -0.7501513
 83138456, -0.1516713, -0.02592187, -0.8327229, -0.8203077, -0.02432649, 0.08502372, 3.176083, 3.057964, -0.09337559, 0.07196348, -0.3647804, -0.3656791, -0.1824361, 0.2134013, 0.312426, 0.3504856, 0.03222303, -0.7705133, -0.7590778
 83138488, -0.2266541, -0.004025076, -0.8299778, -0.797529, -0.02916199, 0.07840692, 3.192979, 3.087468, -0.1107655, 0.05961951, -0.4135351, -0.3959996, -0.1863342, 0.2094712, 0.2601589, 0.3086156, 0.01395037, -0.7735645, -0.7587204
 83138520, -0.233964, 0.007212821, -0.8288958, -0.788975, -0.02675878, 0.07954103, 3.207443, 3.127419, -0.1282114, 0.05292204, -0.4260527, -0.3992719, -0.1844512, 0.2079186, 0.194415, 0.2717111, 0.01933989, -0.7673227, -0.7504143
 83138556, -0.2509331, -0.003574466, -0.8314013, -0.7881779, -0.02801271, 0.07375079, 3.219072, 3.133298, -0.1378448, 0.05234218, -0.426727, -0.401017, -0.1858849, 0.2021284, 0.1686954, 0.1987612, 0.01365759, -0.7640604, -0.748929
 83138588, -0.2464176, -0.0001931582, -0.8345798, -0.7824011, -0.03172527, 0.0547641, 3.249842, 3.122127, -0.140848, 0.0499995, -0.4312983, -0.4098159, -0.1894169, 0.1831417, 0.1075162, 0.1614957, 0.01703159, -0.766093, -0.7430738
 83138624, -0.2451722, -0.0008340981, -0.8395067, -0.7826501, -0.03960632, 0.04886322, 3.260487, 3.145399, -0.1429389, 0.04375605, -0.4422747, -0.4217031, -0.1972978, 0.1772408, 0.1073992, 0.1238899, 0.0123043, -0.7706369, -0.7428088
 83138656, -0.245137, -0.007125546, -0.8391173, -0.7820901, -0.04657146, 0.232279, 3.267175, 3.31408, -0.1441476, 0.04277078, -0.4436989, -0.4219695, -0.2042628, 0.1839301, 0.1173552, 0.1468953, 0.01018359, -0.76986, -0.7423279
 83138688, -0.2423279, -0.01735058, -0.8385553, -0.7850132, -0.0542904, 0.2301392, 3.287547, 3.297174, -0.1482454, 0.04219682, -0.4351734, -0.4119448, -0.2119813, 0.1795961, 0.1769218, 0.1740238, 0.000279855, -0.7695143, -0.7455116
 83138724, -0.2320596, -0.01869144, -0.8355403, -0.7790444, -0.06402592, 0.2148516, 3.282257, 3.304992, -0.1477858, 0.03788842, -0.4180227, -0.3952117, -0.2217164, 0.1897094, 0.2125258, 0.2641549, -0.01826348, -0.7658477, -0.7400371
 83138756, -0.2241547, -0.02107365, -0.8327785, -0.7856655, -0.1448691, 0.2021012, 3.245221, 3.268641, -0.1348567, 0.03711002, -0.4132655, -0.389039, -0.2310051, 0.1801723, 0.2672494, 0.2998914, -0.01819159, -0.7758731, -0.7464032
 83138788, -0.1945919, -0.04288667, -0.8230773, -0.8243746, -0.1491058, 0.1925495, 3.263324, 3.282062, -0.1292868, 0.03470256, -0.3891752, -0.389399, -0.2365084, 0.1785756, 0.3166402, 0.3188774, -0.03186379, -0.7749174, -0.7534722
 83138826, -0.1226088, -0.01521916, -0.8285573, -0.8241367, -0.1486181, 0.2488042, 3.26389, 3.269032, -0.1193707, 0.03749505, -0.3739896, -0.3733018, -0.2351431, 0.2366262, 0.3199784, 0.3659187, -0.03988951, -0.770936, -0.745507
 83138868, -0.08269306, 0.03076989, -0.8220931, -0.8117947, -0.1674713, 0.2638451, 3.265532, 3.317067, -0.1080171, 0.04639239, -0.3667413, -0.3665782, -0.2334583, 0.2499001, 0.3458746, 0.3788307, -0.03309706, -0.7578884, -0.733597
 83138890, -0.07957004, 0.05046395, -0.8015704, -0.7989882, -0.1708062, 0.264503, 3.270779, 3.317432, -0.09906922, 0.06245619, -0.3634944, -0.3640775, -0.2380364, 0.250558, 0.3521965, 0.3756822, -0.03013504, -0.7337554, -0.7260072
 83138925, -0.05257094, 0.0839301, -0.8059438, -0.8131594, -0.1647689, 0.14726, 3.277422, 3.348969, -0.08723925, 0.06989644, -0.3630012, -0.3635349, -0.2291038, 0.2499986, 0.3489432, 0.3226037, -0.02727551, -0.7299843, -0.7411457
 83138957, -0.06895129, 0.1311583, -0.7962016, -0.8307112, -0.2086993, 0.1289546, 3.305112, 3.344492, -0.07272728, 0.08912312, -0.3746631, -0.3780582, -0.2268259, 0.2454785, 0.3456686, 0.302943, -0.0106234, -0.757794, -0.7685682
 83138988, -0.0113005, 0.1381916, -0.8279632, -0.7850935, -0.2169382, 0.1022679, 3.314029, 3.332996, -0.07089161, 0.0983725, -0.4052921, -0.4045078, -0.2264418, 0.2170269, 0.3007232, 0.2220363, -0.01770917, -0.7641165, -0.7468513
 83139024, -0.01057628, 0.1598608, -0.8277778, -0.7543014, -0.2146768, 0.1132899, 3.387841, 3.372933, -0.06635366, 0.1026291, -0.4080812, -0.4090449, -0.2256607, 0.228049, 0.2521773, 0.2121702, -0.008503226, -0.7675692, -0.7163484
 83139056, -0.04108635, 0.1694882, -0.8047076, -0.7641104, -0.2415418, 0.08797746, 3.38644, 3.349733, -0.05055713, 0.1055011, -0.4134287, -0.4135069, -0.2194391, 0.2027365, 0.1878731, 0.1792405, -0.01319916, -0.7659795, -0.7253824
 83139088, -0.02994868, 0.169209, -0.8116571, -0.7632716, -0.2340024, 0.09226635, 3.407765, 3.35039, -0.04555165, 0.107117, -0.4207835, -0.415932, -0.2247359, 0.2070254, 0.1607991, 0.1222469, -0.01115896, -0.7729189, -0.7245335
 83139124, 0.001838528, 0.1614613, -0.8347654, -0.7671129, -0.240189, 0.08406529, 3.376143, 3.347188, -0.0334574, 0.1077248, -0.434275, -0.4175869, -0.2118724, 0.1988243, 0.1224745, 0.1196835, -0.009581383, -0.77365, -0.7282841
 83139156, 0.001907406, 0.1618775, -0.8341931, -0.7704464, -0.2424218, 0.07492723, 3.35464, 3.348502, -0.03476716, 0.1095793, -0.4312274, -0.4226267, -0.209625, 0.1896863, 0.1307582, 0.1317672, -0.0008931402, -0.7733908, -0.7318156
 83139188, 0.00115176, 0.1597246, -0.8322194, -0.7713754, -0.2526419, 0.07532403, 3.34118, 3.372677, -0.05758467, 0.105869, -0.4181617, -0.4063701, -0.2148253, 0.1900831, 0.1894557, 0.2042798, -0.001026466, -0.7621416, -0.7325658
 83139224, -0.03890194, 0.1398919, -0.8013751, -0.776737, -0.2530213, 0.06143534, 3.293188, 3.356345, -0.08274113, 0.09276064, -0.4088622, -0.3990873, -0.2154321, 0.1761944, 0.2013512, 0.2208163, -0.003502265, -0.7630883, -0.7384503
 83139256, -0.03262359, 0.1303583, -0.8034806, -0.8200125, -0.2370887, 0.0514854, 3.290232, 3.368755, -0.1009254, 0.06115744, -0.3857236, -0.4003522, -0.2233403, 0.1662444, 0.2451755, 0.2919074, -0.008803055, -0.7294815, -0.7591814
 83139288, -0.07373857, 0.04727823, -0.8075848, -0.8179458, -0.1846166, 0.05311174, 3.326931, 3.38242, -0.1138484, 0.04307428, -0.3840792, -0.3939622, -0.2365078, 0.1678708, 0.2608168, 0.2937585, -0.009327638, -0.733758, -0.7690579
 83139324, -0.110815, 0.03603666, -0.81148, -0.8136452, -0.2129891, 0.04962946, 3.378807, 3.400237, -0.1268042, 0.01524702, -0.3684955, -0.3774589, -0.2950361, 0.1668092, 0.3519136, 0.3400068, -0.01506137, -0.7364496, -0.7643151
 83139356, -0.1796882, -0.02398014, -0.8140504, -0.8134601, -0.2148308, 0.04901968, 3.380771, 3.416427, -0.1513835, 0.00408159, -0.3609209, -0.3665249, -0.2947442, 0.1640907, 0.3526561, 0.3552648, -0.03416782, -0.7472288, -0.7573837
 83139388, -0.2123816, -0.0881222, -0.8213546, -0.8218961, -0.2027787, 0.04063239, 3.376322, 3.421977, -0.1763935, -0.01136885, -0.3591397, -0.3626324, -0.2833503, 0.1578823, 0.3207715, 0.3587859, -0.04447522, -0.7673801, -0.7559598
 83139423, -0.3029405, -0.09136301, -0.8188905, -0.7776026, -0.2030211, 0.03219175, 3.37613, 3.453793, -0.2116013, -0.02520209, -0.361151, -0.3657905, -0.2823209, 0.1469508, 0.3053111, 0.3568251, -0.05740999, -0.7581368, -0.7394041
 83139456, -0.3222795, -0.1006746, -0.8143008, -0.7764254, -0.1998109, 0.02007241, 3.372955, 3.460341, -0.2257269, -0.04379265, -0.3938293, -0.3735888, -0.277956, 0.1348314, 0.2484864, 0.3273044, -0.07034984, -0.753249, -0.7378937
 83139488, -0.3176036, -0.1156335, -0.7755216, -0.7601689, -0.2067674, 0.02541762, 3.372636, 3.473855, -0.2308075, -0.04441356, -0.3891624, -0.3588972, -0.2849125, 0.1412598, 0.2193754, 0.3115346, -0.09499967, -0.736941, -0.7215883
 83139524, -0.3479543, -0.118311, -0.7584015, -0.7574763, -0.2202453, 0.01141113, 3.353091, 3.482067, -0.2394959, -0.04752615, -0.3979257, -0.3654284, -0.2983904, 0.1266537, 0.1805389, 0.2525983, -0.09977625, -0.7199129, -0.7189878
