TimeStamp,FootLeft_x,FootRight_x,FootLeft_y,FootRight_y,WristLeft_x,WristRight_x,WristLeft_z,WristRight_z,KneeLeft_x,KneeRight_x,KneeLeft_y,KneeRight_y,ElbowLeft_x,ElbowRight_x,ElbowLeft_y,ElbowRight_y,Head_y,AnkleLeft_y,AnkleRight_y
83470339, 0.07528834, 0.269066, -0.7761639, -0.7995315, -0.3346024, 0.6287119, 3.146229, 3.250679, 0.06399518, 0.2532911, -0.4036298, -0.417689, -0.2031753, 0.48138, 0.291205, 0.2897563, 0.1264507, -0.7391846, -0.7625521
 83470371, 0.06208337, 0.2708037, -0.8031616, -0.7928715, -0.312868, 0.6134008, 3.20021, 3.264623, 0.06348112, 0.2583781, -0.4020993, -0.410758, -0.2008154, 0.4781282, 0.2834426, 0.2840204, 0.1239349, -0.7383002, -0.7559354
 83470402, 0.06055149, 0.2737343, -0.8017882, -0.7966096, -0.334693, 0.620038, 3.160633, 3.255994, 0.06074118, 0.264691, -0.4011673, -0.4155386, -0.2008338, 0.479482, 0.275971, 0.2740704, 0.1219967, -0.7364607, -0.7596143
 83470438, 0.05987712, 0.2746451, -0.8020425, -0.8007113, -0.3351034, 0.6224399, 3.159993, 3.278053, 0.05904108, 0.2656586, -0.398275, -0.417922, -0.200995, 0.4807926, 0.2655414, 0.2698146, 0.1199097, -0.7364708, -0.7634706
 83470470, 0.05790876, 0.276744, -0.8194464, -0.8053696, -0.3398063, 0.6240409, 3.164026, 3.281266, 0.05769069, 0.2678088, -0.4011726, -0.4182779, -0.2062482, 0.4801052, 0.2522063, 0.2682556, 0.1196043, -0.7431185, -0.7677681
 83470502, 0.05850754, 0.2759121, -0.8207242, -0.8370956, -0.3407657, 0.6223598, 3.164404, 3.283849, 0.0570792, 0.2702127, -0.4002933, -0.4153746, -0.2070515, 0.490009, 0.2482604, 0.253994, 0.119738, -0.7442502, -0.7697765
 83470538, 0.05832602, 0.2856733, -0.8209882, -0.8413045, -0.3424139, 0.6231099, 3.148401, 3.283861, 0.05671838, 0.2742181, -0.4031599, -0.4149225, -0.206035, 0.4963289, 0.245007, 0.2497086, 0.1193065, -0.7500745, -0.7722651
 83470570, 0.07549155, 0.285005, -0.7892476, -0.8530536, -0.3419137, 0.6187231, 3.128965, 3.282317, 0.05711205, 0.2757012, -0.403916, -0.414983, -0.2019727, 0.4907411, 0.2370049, 0.2602121, 0.1265025, -0.749657, -0.7868419
 83470602, 0.07891108, 0.2986194, -0.7891281, -0.7954039, -0.3341523, 0.6134517, 3.104259, 3.256611, 0.0580719, 0.2769962, -0.4040785, -0.4131235, -0.1922033, 0.4903809, 0.2355098, 0.2642481, 0.1320229, -0.7477027, -0.7539786
 83470638, 0.05406563, 0.2872128, -0.8180467, -0.8297464, -0.2802785, 0.6055816, 3.13698, 3.245667, 0.06619722, 0.2783157, -0.4088569, -0.4091395, -0.1869795, 0.4872512, 0.2320427, 0.2695057, 0.1386651, -0.7484807, -0.7534567
