TimeStamp, FootLeft_x, FootRight_x, FootLeft_y, FootRight_y, WristLeft_x, WristRight_x,WristLeft_z, WristRight_z,KneeLeft_x, KneeRight_x,KneeLeft_y, KneeRight_y,ElbowLeft_x, ElbowRight_x,ElbowLeft_y, ElbowRight_y,Spine_y,AnkleLeft_y, AnkleRight_y
71653884, -0.3986526, -0.2107901, -0.7295563, -0.7465851, -0.5652575, -0.08267961, 3.308347, 3.394869, -0.3948916, -0.2240087, -0.3316211, -0.3253575, -0.5782685, -0.1159537, 0.2804451, 0.2690259, -0.3247794, -0.6668619, -0.6717929
 71653937, -0.3988839, -0.2103363, -0.7297795, -0.7464027, -0.5642469, -0.08231688, 3.309139, 3.396068, -0.3948464, -0.2235872, -0.3319505, -0.3249642, -0.5781947, -0.1158622, 0.2798562, 0.2695462, -0.3247706, -0.6667827, -0.6716968
 71653966, -0.3981949, -0.2082713, -0.7294057, -0.7453949, -0.5640458, -0.08248266, 3.309921, 3.396195, -0.3948074, -0.2231282, -0.332707, -0.3243535, -0.5783362, -0.1155457, 0.2799338, 0.2695898, -0.3245195, -0.6696454, -0.6710572
 71654001, -0.3978083, -0.2094121, -0.7289631, -0.741169, -0.5639873, -0.08212083, 3.311922, 3.397073, -0.3951969, -0.2231239, -0.3327537, -0.3243716, -0.5781955, -0.1150544, 0.2823915, 0.269947, -0.3244458, -0.6675545, -0.6698034
 71654033, -0.3986506, -0.2103948, -0.7292291, -0.7402527, -0.563135, -0.08196788, 3.312876, 3.396691, -0.3940763, -0.2231226, -0.3320852, -0.3243495, -0.5783191, -0.1148901, 0.2810429, 0.2697863, -0.3242525, -0.6666998, -0.6689305
 71654064, -0.3981155, -0.2103257, -0.728839, -0.7402532, -0.5610909, -0.08210091, 3.313724, 3.397071, -0.3942789, -0.2230342, -0.3327418, -0.3244265, -0.5779008, -0.112858, 0.2807011, 0.2694015, -0.3238906, -0.6658434, -0.6686031
 71654101, -0.3996243, -0.2107279, -0.7298867, -0.7400844, -0.5617702, -0.08163488, 3.315778, 3.39768, -0.3936865, -0.2203699, -0.3331376, -0.3236136, -0.5775236, -0.1131995, 0.2805102, 0.2699129, -0.3239425, -0.6672304, -0.6697053
 71654133, -0.3995402, -0.2068082, -0.7298642, -0.7417905, -0.5625131, -0.081639, 3.319951, 3.397663, -0.3938317, -0.2202432, -0.3344981, -0.3248088, -0.5772124, -0.1119946, 0.2800685, 0.269079, -0.3234458, -0.670166, -0.6705159
 71654165, -0.4010984, -0.2059456, -0.7303354, -0.7424012, -0.5622201, -0.08054695, 3.322046, 3.398534, -0.3935484, -0.2199922, -0.3343952, -0.3248383, -0.5764337, -0.110872, 0.2790906, 0.2698222, -0.3224411, -0.6718224, -0.6704742
 71654200, -0.4016177, -0.2074911, -0.7303993, -0.7422048, -0.5617086, -0.08038475, 3.322654, 3.39913, -0.3935139, -0.2194533, -0.3346043, -0.3231961, -0.5762659, -0.1101459, 0.2790975, 0.2693807, -0.3221638, -0.6722929, -0.6704639
