TimeStamp, FootLeft_x, FootRight_x, FootLeft_y, FootRight_y, WristLeft_x, WristRight_x,WristLeft_z, WristRight_z,KneeLeft_x, KneeRight_x,KneeLeft_y, KneeRight_y,ElbowLeft_x, ElbowRight_x,ElbowLeft_y, ElbowRight_y,Spine_y,AnkleLeft_y, AnkleRight_y
71515401, -0.2561249, 0.02360536, -1.186287, -1.174659, -0.4486748, 0.1176469, 3.118884, 3.190696, -0.3125445, 0.003847241, -0.8412888, -0.8323154, -0.4267868, 0.08499095, -0.2889099, -0.2630557, -0.167744, -1.14868, -1.137052
 71515434, -0.2595357, 0.005633021, -1.190925, -1.324229, -0.4498697, 0.1280587, 3.109121, 3.17924, -0.3195807, 0.001616849, -0.8592471, -0.7829983, -0.4262976, 0.08493415, -0.3005594, -0.2919331, -0.1676779, -1.151062, -1.284365
 71515459, -0.2635273, -0.03041655, -1.191499, -1.346589, -0.4616399, 0.1366135, 3.080087, 3.162765, -0.3465009, 0.0101727, -0.9074631, -0.7874506, -0.4212765, 0.0864871, -0.3594758, -0.3489546, -0.1700814, -1.148474, -1.303564
 71515493, -0.2731814, 0.02462461, -1.193967, -1.170771, -0.4751558, 0.1584953, 3.051756, 3.119305, -0.3416427, 0.05078952, -0.8520761, -0.9074981, -0.4206253, 0.08980515, -0.4161989, -0.4055394, -0.1670535, -1.147669, -1.124473
 71515525, -0.2892268, 0.02413124, -1.186979, -1.170153, -0.4853939, 0.1591819, 3.047012, 3.126919, -0.345406, 0.02713931, -0.864838, -0.8241127, -0.4168971, 0.09316733, -0.451493, -0.4204189, -0.1684238, -1.137648, -1.120822
 71515551, -0.2926925, 0.02134001, -1.188561, -1.172954, -0.4762205, 0.1704269, 3.058445, 3.106611, -0.3481107, 0.03277309, -0.8656023, -0.8278286, -0.4175333, 0.1044481, -0.4663002, -0.4616025, -0.1669771, -1.135291, -1.119684
 71515586, -0.2968356, 0.01848438, -1.177722, -1.172292, -0.483513, 0.168732, 3.059277, 3.105333, -0.3513085, 0.03994197, -0.8647298, -0.8296773, -0.4203287, 0.09788287, -0.4947178, -0.5012274, -0.1632716, -1.124168, -1.118738
 71515618, -0.2943572, 0.02098466, -1.179277, -1.163941, -0.480787, 0.166282, 3.066835, 3.10897, -0.3541479, 0.04120325, -0.86198, -0.8610697, -0.4220334, 0.09813054, -0.5144467, -0.5018321, -0.1660389, -1.126507, -1.111171
 71515650, -0.2915167, 0.02187007, -1.176641, -1.152827, -0.4835439, 0.1668638, 3.070965, 3.110977, -0.3502163, 0.04311661, -0.8592809, -0.860034, -0.4183043, 0.09825657, -0.5256998, -0.5045569, -0.1634093, -1.124504, -1.10069
 71515685, -0.2889345, 0.02127151, -1.175688, -1.149567, -0.4875659, 0.1794362, 3.085368, 3.104855, -0.3478495, 0.04460111, -0.8586746, -0.8587919, -0.4135955, 0.09687266, -0.5231189, -0.5037838, -0.1574668, -1.126188, -1.100067
