TimeStamp,FootLeft_x,FootRight_x,FootLeft_y,FootRight_y,WristLeft_x,WristRight_x,WristLeft_z,WristRight_z,KneeLeft_x,KneeRight_x,KneeLeft_y,KneeRight_y,ElbowLeft_x,ElbowRight_x,ElbowLeft_y,ElbowRight_y,Spine_y,AnkleLeft_y,AnkleRight_y
75295572, -0.3238178, -0.1409492, -0.7887369, -0.7602908, -0.5217905, 0.02744796, 3.339799, 3.38871, -0.3275161, -0.1405367, -0.3983526, -0.3956023, -0.496955, -0.02532931, 0.1727708, 0.1914132, -0.2426646, -0.7123529, -0.7248754
 75295610, -0.3253672, -0.1485784, -0.7842793, -0.8049239, -0.5385269, 0.02853437, 3.356673, 3.389102, -0.3311991, -0.1410905, -0.3849917, -0.3957902, -0.4992081, -0.02407008, 0.173013, 0.1906343, -0.244409, -0.7112086, -0.7346232
 75295637, -0.3248134, -0.1529534, -0.7836825, -0.789339, -0.538557, 0.03475681, 3.364348, 3.387048, -0.3311244, -0.1399845, -0.3850011, -0.3866454, -0.5107699, -0.02114508, 0.1973326, 0.1899546, -0.2409729, -0.7075941, -0.7197123
 75295671, -0.3238373, -0.151552, -0.7826645, -0.7837511, -0.5408044, 0.04271576, 3.368734, 3.390274, -0.3297068, -0.1385714, -0.383179, -0.3851237, -0.510699, -0.01733956, 0.1972666, 0.1916374, -0.2425983, -0.711439, -0.7129815
 75295705, -0.3267905, -0.151878, -0.7913825, -0.7847989, -0.5473151, 0.04473789, 3.389158, 3.389936, -0.3297439, -0.1397414, -0.3874115, -0.3838477, -0.5131502, -0.01410709, 0.1952854, 0.1941977, -0.2415204, -0.7132636, -0.7141178
 75295734, -0.3229935, -0.1472697, -0.8016642, -0.8098097, -0.5524759, 0.0348987, 3.402745, 3.399215, -0.3306783, -0.1415684, -0.3968041, -0.3876988, -0.5128012, -0.0107286, 0.2009184, 0.2084586, -0.2385763, -0.7157791, -0.741597
 75295768, -0.3226524, -0.1507113, -0.8023669, -0.8055255, -0.5522873, 0.02398326, 3.412169, 3.416712, -0.3305356, -0.1414096, -0.3965214, -0.3863021, -0.5136369, -0.008456634, 0.2063733, 0.211326, -0.2348271, -0.7164923, -0.7404857
 75295801, -0.3237382, -0.1511947, -0.7817054, -0.8042473, -0.5417793, 0.01347981, 3.432788, 3.431979, -0.3366184, -0.1408359, -0.3807268, -0.3868824, -0.5148742, -0.009596553, 0.1988741, 0.2113084, -0.2308718, -0.7146341, -0.7374635
 75295833, -0.3228596, -0.1468947, -0.7807912, -0.8026367, -0.5350143, 0.008228645, 3.431689, 3.444898, -0.3349831, -0.1344007, -0.3778916, -0.3902443, -0.5145925, -0.005918487, 0.190688, 0.2073537, -0.2285824, -0.7099069, -0.7366951
 75295862, -0.3236922, -0.14177, -0.7815185, -0.8126223, -0.5241735, 0.001786219, 3.428408, 3.457198, -0.3368313, -0.129739, -0.3807243, -0.388056, -0.5135469, -0.005992685, 0.1500948, 0.1566978, -0.2206081, -0.7079201, -0.7387087
 75295896, -0.3215011, -0.1420208, -0.7870009, -0.8127368, -0.5201576, 0.01034294, 3.43482, 3.436758, -0.3399895, -0.123106, -0.3953136, -0.3964688, -0.5104905, 0.004615643, 0.1004196, 0.1292194, -0.2215512, -0.7146778, -0.7396425
 75295928, -0.3166917, -0.142903, -0.7765363, -0.8179818, -0.5121967, 0.02349962, 3.409123, 3.425068, -0.3371407, -0.1126251, -0.421532, -0.4127379, -0.5108694, 0.01341415, 0.05466281, 0.07669665, -0.2168096, -0.7216648, -0.743778
 75295961, -0.3096858, -0.1476939, -0.7790748, -0.8193108, -0.5137556, 0.04954172, 3.388614, 3.372349, -0.3360545, -0.1044965, -0.4618845, -0.4524113, -0.50122, 0.03023694, 0.0006557372, 0.005757391, -0.2068178, -0.7226046, -0.7446797
 75295997, -0.3176569, -0.1653963, -0.807861, -0.8039143, -0.5222278, 0.06157641, 3.327408, 3.325283, -0.3367304, -0.1051608, -0.4743761, -0.4621274, -0.4934421, 0.03165682, -0.04674885, -0.01394169, -0.2083248, -0.7562994, -0.7458853
 75296032, -0.3185754, -0.1526438, -0.8114539, -0.8138053, -0.5392125, 0.09052741, 3.249147, 3.223711, -0.331101, -0.1049094, -0.4902872, -0.4793995, -0.5170985, 0.05851401, -0.06147793, -0.04139398, -0.2042356, -0.7674457, -0.7575076
 75296067, -0.3027871, -0.1568912, -0.8336521, -0.8105886, -0.5445396, 0.1122884, 3.147236, 3.113014, -0.3296098, -0.1038101, -0.5029949, -0.4840868, -0.5243076, 0.08227548, -0.04939482, -0.01523217, -0.2013057, -0.7793196, -0.7596722
 75296103, -0.300851, -0.1500535, -0.8216134, -0.8084116, -0.5700182, 0.1298595, 3.048414, 3.035359, -0.3202692, -0.1048171, -0.4939435, -0.4820162, -0.5419889, 0.110449, 0.01750068, 0.03972793, -0.1935015, -0.7707733, -0.7575715
 75296134, -0.2995135, -0.151997, -0.7767347, -0.778681, -0.5909103, 0.1275615, 2.999783, 3.014071, -0.3176106, -0.1093934, -0.4554781, -0.4478248, -0.5328044, 0.1380119, 0.1014038, 0.1171345, -0.1866138, -0.7303708, -0.7323171
 75296167, -0.3014568, -0.1489601, -0.7804706, -0.7827778, -0.5986995, 0.1143823, 3.022776, 3.020651, -0.3130706, -0.105728, -0.4042227, -0.4136744, -0.5483171, 0.126189, 0.1812268, 0.198133, -0.1958962, -0.7360988, -0.738406
 75296199, -0.3080806, -0.1419052, -0.7812679, -0.782153, -0.6151749, 0.1072191, 3.031526, 2.999351, -0.3189216, -0.1054733, -0.3834751, -0.371787, -0.5381259, 0.1382476, 0.2733107, 0.3221322, -0.1925847, -0.7377924, -0.7386774
 75296232, -0.3396227, -0.120405, -0.7847396, -0.7636512, -0.6205794, 0.1705862, 3.087105, 3.024268, -0.3249502, -0.1165915, -0.3332728, -0.3486916, -0.5433146, 0.1320852, 0.3855968, 0.437116, -0.1899708, -0.7143482, -0.720936
 75296263, -0.331115, -0.1186319, -0.7592875, -0.7115858, -0.6220629, 0.1362386, 3.169436, 3.121443, -0.326687, -0.1188065, -0.2763082, -0.2759147, -0.5453609, 0.153421, 0.4800294, 0.5318013, -0.1866511, -0.6773835, -0.6694262
 75296296, -0.3339415, -0.156183, -0.6984868, -0.7143088, -0.6263757, 0.105479, 3.210166, 3.253829, -0.3214184, -0.1126425, -0.2214704, -0.2215648, -0.5539136, 0.1575169, 0.5380753, 0.6170177, -0.1779989, -0.6323646, -0.6289706
 75296328, -0.2398957, -0.1960409, -0.5881999, -0.6207569, -0.6397501, 0.1400232, 3.308523, 3.314323, -0.3115118, -0.09937972, -0.1354313, -0.1503483, -0.5508172, 0.1024034, 0.5417067, 0.6104447, -0.1698463, -0.4979138, -0.5204616
 75296364, -0.2642873, -0.2249104, -0.4155109, -0.4506716, -0.6375881, 0.1462781, 3.367895, 3.40637, -0.3023868, -0.08847724, 0.009078248, -0.02185951, -0.5442002, 0.07596506, 0.5345007, 0.6105934, -0.162479, -0.316072, -0.351117
 75296394, -0.2719001, -0.1836349, -0.2451278, -0.2617459, -0.6174435, 0.1298879, 3.432773, 3.506803, -0.2988282, -0.08157258, 0.0867871, 0.07405141, -0.5336218, 0.0469568, 0.5235226, 0.5776363, -0.1580922, -0.1869907, -0.2036088
 75296426, -0.2242507, -0.1942745, -0.1292467, -0.1368475, -0.60453, 0.1032299, 3.455963, 3.584706, -0.2544856, -0.1105764, 0.1373683, 0.1238177, -0.5186849, 0.04826718, 0.5135217, 0.5584069, -0.1444559, -0.06226975, -0.06372571
 75296463, -0.2347863, -0.133022, -0.09862276, -0.1169473, -0.5793104, 0.07916979, 3.474669, 3.607409, -0.209839, -0.09150563, 0.1503835, 0.1567266, -0.5051648, 0.05347044, 0.4868531, 0.5306007, -0.140522, -0.02600542, -0.0518612
 75296494, -0.2090146, -0.1743098, -0.3249524, -0.2926048, -0.5598768, 0.06790701, 3.495832, 3.634735, -0.2547684, -0.07762269, 0.0051727, 0.01484925, -0.4946542, 0.04734769, 0.4839793, 0.5157012, -0.1291489, -0.2641489, -0.2318013
 75296526, -0.2311389, -0.1797584, -0.1618322, -0.1605649, -0.5218277, 0.05142932, 3.548016, 3.680304, -0.2737482, -0.08868215, 0.02112809, 0.03909487, -0.4870247, 0.04255838, 0.475028, 0.4860637, -0.1339404, -0.2617344, -0.2348675
 75296561, -0.2096307, -0.1467879, -0.2798202, -0.2627105, -0.4965141, 0.009592799, 3.515528, 3.719168, -0.2925341, -0.07931051, 0.05469656, 0.10039, -0.46697, 0.03931947, 0.4726056, 0.4857401, -0.1305579, -0.2364323, -0.1791006
 75296594, -0.240779, -0.1277942, -0.4060439, -0.3957756, -0.4812298, 0.01464513, 3.525306, 3.721038, -0.2921162, -0.0833348, 0.01942721, 0.02691673, -0.4442749, 0.0394443, 0.460995, 0.4860986, -0.1253984, -0.33601, -0.3114551
 75296628, -0.2651296, -0.08692123, -0.5218737, -0.5246582, -0.4608825, -0.0323489, 3.559256, 3.702893, -0.2910982, -0.07587305, -0.08389215, -0.0885471, -0.444086, 0.0375793, 0.4619613, 0.4888981, -0.1236326, -0.4562833, -0.4483584
 75296664, -0.2694852, -0.06936657, -0.6532905, -0.6486566, -0.4583971, -0.01542511, 3.55619, 3.668434, -0.2897097, -0.08282589, -0.2019812, -0.2102618, -0.4474803, 0.06266063, 0.4563628, 0.4844913, -0.123418, -0.5921375, -0.5875036
 75296694, -0.2723594, -0.06292696, -0.7512257, -0.7239131, -0.4474225, -0.01420018, 3.525033, 3.665211, -0.2972133, -0.08603194, -0.2735717, -0.2988964, -0.4313906, 0.06387311, 0.4549924, 0.4747778, -0.1173267, -0.663431, -0.6672676
 75296726, -0.2801298, -0.06286921, -0.7548556, -0.7495521, -0.4441196, -0.00991228, 3.549743, 3.66168, -0.2968752, -0.08948185, -0.3285457, -0.3395609, -0.425719, 0.0195663, 0.4533836, 0.3785778, -0.1068828, -0.7036173, -0.6983138
 75296764, -0.2904961, -0.08501194, -0.7994421, -0.7936691, -0.4308517, 0.01411827, 3.559906, 3.680831, -0.3052182, -0.09081644, -0.3778631, -0.3699665, -0.4280314, 0.01866917, 0.2808903, 0.2951981, -0.1060126, -0.7272531, -0.7292845
 75296794, -0.2748863, -0.07303811, -0.780109, -0.7781293, -0.4429236, 0.02752081, 3.543034, 3.636774, -0.2871814, -0.07870484, -0.4041548, -0.3920816, -0.4409119, 0.03779945, 0.1952852, 0.180176, -0.1047104, -0.731627, -0.7296472
 75296827, -0.2731285, -0.07363717, -0.7807176, -0.7745389, -0.4656903, 0.05028474, 3.531041, 3.591401, -0.275031, -0.08593856, -0.4199941, -0.4113208, -0.4409754, 0.03510376, 0.1362295, 0.1072313, -0.104105, -0.7326251, -0.7264465
 75296862, -0.2739508, -0.07527944, -0.7821469, -0.7751467, -0.4869934, 0.05476762, 3.438857, 3.478433, -0.2738951, -0.08760412, -0.4197669, -0.4135671, -0.4363038, 0.03532647, 0.07752344, 0.04832897, -0.1056965, -0.7337803, -0.7267802
 75296893, -0.2740768, -0.07594108, -0.7840612, -0.7750533, -0.4528494, 0.05567945, 3.290137, 3.364173, -0.2716072, -0.08849722, -0.4208851, -0.4102824, -0.4470468, 0.04659316, 0.08420441, 0.05659735, -0.1067109, -0.7354193, -0.7264114
 75296926, -0.2764897, -0.07782602, -0.7843975, -0.7743589, -0.4338983, 0.04329671, 3.222397, 3.278279, -0.2795139, -0.09329568, -0.4073972, -0.3992243, -0.4628321, 0.06351755, 0.13391, 0.09530604, -0.1103418, -0.7347667, -0.7247281
 75296963, -0.2794782, -0.08221224, -0.7860416, -0.7719992, -0.4135414, 0.03736055, 3.140598, 3.240155, -0.2862189, -0.09875165, -0.4076594, -0.3954599, -0.4580493, 0.07283784, 0.1597789, 0.1549985, -0.123306, -0.736131, -0.7220886
 75296994, -0.2810982, -0.08407756, -0.7863795, -0.7684276, -0.404535, 0.03866227, 3.115922, 3.186649, -0.288691, -0.0993195, -0.3978868, -0.3926802, -0.455355, 0.06183266, 0.2108442, 0.1773497, -0.1241926, -0.7367144, -0.7187625
 75297025, -0.2801707, -0.08974476, -0.782998, -0.7776502, -0.3995659, 0.03485534, 3.102152, 3.177687, -0.2941798, -0.1008466, -0.3925809, -0.3875718, -0.4484824, 0.05767461, 0.2158084, 0.192681, -0.1324074, -0.7338408, -0.7284931
 75297063, -0.2839151, -0.1117557, -0.7851912, -0.7743945, -0.3997579, 0.03328066, 3.09085, 3.175666, -0.293925, -0.1026207, -0.3898841, -0.3846333, -0.4313579, 0.05372006, 0.2089141, 0.1956237, -0.1407158, -0.7370304, -0.7262338
