TimeStamp, FootLeft_x, FootRight_x, FootLeft_y, FootRight_y, WristLeft_x, WristRight_x,WristLeft_z, WristRight_z,KneeLeft_x, KneeRight_x,KneeLeft_y, KneeRight_y,ElbowLeft_x, ElbowRight_x,ElbowLeft_y, ElbowRight_y,Spine_y,AnkleLeft_y, AnkleRight_y
71944386, -0.5366581, -0.3563007, -0.7184417, -0.7319962, -0.7173018, -0.1798349, 3.553758, 3.582999, -0.545585, -0.3743423, -0.3232692, -0.3110626, -0.7250172, -0.2323938, 0.2952983, 0.3038285, -0.4788592, -0.6474715, -0.6432289
 71944415, -0.5340984, -0.3559783, -0.7192693, -0.7315828, -0.7227942, -0.1808001, 3.559129, 3.58261, -0.5455582, -0.3746992, -0.3229567, -0.3120093, -0.7250978, -0.2321833, 0.295106, 0.303736, -0.4783756, -0.6474955, -0.6421108
 71944442, -0.5348113, -0.3664178, -0.7189053, -0.6840577, -0.7232265, -0.1811933, 3.560133, 3.586281, -0.5457486, -0.3746309, -0.3218307, -0.3127604, -0.7260066, -0.2320233, 0.2958811, 0.3047705, -0.4780469, -0.6473711, -0.644325
 71944475, -0.5339719, -0.3656154, -0.7184696, -0.6819518, -0.7212425, -0.1815561, 3.556235, 3.586994, -0.5454059, -0.3760235, -0.3216777, -0.3101895, -0.7274167, -0.2321735, 0.3003487, 0.3044855, -0.4777857, -0.6466288, -0.6421752
 71944505, -0.5559066, -0.4019989, -0.7391667, -0.7147663, -0.7217095, -0.1820222, 3.557218, 3.586982, -0.5440394, -0.3780481, -0.3234676, -0.3086738, -0.7289404, -0.2321735, 0.2999877, 0.3043253, -0.4781351, -0.6473851, -0.6421494
 71944537, -0.5453988, -0.3546686, -0.7246516, -0.7344413, -0.7221212, -0.1822387, 3.559253, 3.58929, -0.5440277, -0.3739791, -0.3266518, -0.312356, -0.7298895, -0.2319133, 0.2988177, 0.3032138, -0.4779721, -0.648952, -0.6505972
 71944570, -0.5467474, -0.3710645, -0.7292223, -0.7270938, -0.7214757, -0.1831716, 3.559187, 3.597296, -0.5441993, -0.3734891, -0.327049, -0.3126202, -0.7300234, -0.2320214, 0.2992157, 0.3037197, -0.4777962, -0.6524669, -0.6506275
 71944602, -0.5390474, -0.3793576, -0.7265875, -0.7318501, -0.7213911, -0.1831413, 3.559479, 3.596489, -0.5441364, -0.3723078, -0.3262789, -0.3149454, -0.7303109, -0.2323057, 0.2989017, 0.3033231, -0.4774258, -0.6512554, -0.6636275
 71944638, -0.5380434, -0.3792464, -0.7183149, -0.7315919, -0.7231853, -0.1829842, 3.565015, 3.597459, -0.5440778, -0.3711772, -0.3258845, -0.3145817, -0.7298983, -0.2322845, 0.2986649, 0.3026714, -0.4768849, -0.6437874, -0.6632427
 71944671, -0.5375767, -0.3806632, -0.7161433, -0.7296138, -0.7227221, -0.1830444, 3.564785, 3.597705, -0.5437127, -0.3712478, -0.3252965, -0.3157195, -0.7298957, -0.2323181, 0.2972383, 0.3026231, -0.4767819, -0.6424369, -0.6623262
