TimeStamp,FootLeft_x,FootRight_x,FootLeft_y,FootRight_y,WristLeft_x,WristRight_x,WristLeft_z,WristRight_z,KneeLeft_x,KneeRight_x,KneeLeft_y,KneeRight_y,ElbowLeft_x,ElbowRight_x,ElbowLeft_y,ElbowRight_y,Head_y,AnkleLeft_y,AnkleRight_y
85045286, -0.4283737, -0.3258998, -0.9416294, -0.9224491, -0.7044631, -0.006312309, 3.493246, 3.518075, -0.4194204, -0.2457675, -0.442513, -0.4603891, -0.6000218, -0.09570217, 0.2576849, 0.2500667, -0.2391026, -0.854486, -0.8431548
 85045316, -0.4290412, -0.3232994, -0.9435037, -0.925059, -0.7090952, 0.003008967, 3.479996, 3.527, -0.4192802, -0.2560955, -0.4441289, -0.462114, -0.5979124, -0.08629124, 0.2587948, 0.2440727, -0.241238, -0.859339, -0.8418329
 85045347, -0.4362461, -0.3239791, -0.9405712, -0.9245868, -0.7067186, -0.0004745983, 3.479436, 3.546564, -0.4209409, -0.2666984, -0.4449012, -0.4583685, -0.5946994, -0.07627606, 0.2577634, 0.2376537, -0.2424391, -0.8633607, -0.8365431
 85045378, -0.449216, -0.296633, -0.9351522, -0.8853671, -0.6921866, -0.0006274842, 3.47159, 3.543161, -0.4184377, -0.2691444, -0.4438612, -0.4596943, -0.5891534, -0.07305091, 0.2591665, 0.2371864, -0.23848, -0.8641095, -0.835884
 85045414, -0.4567377, -0.2979701, -0.9376199, -0.8856546, -0.6731749, -0.003734412, 3.446223, 3.547886, -0.4187842, -0.2720019, -0.4414155, -0.4591709, -0.5868463, -0.06715254, 0.2640916, 0.2460354, -0.2337089, -0.8681747, -0.8360735
 85045447, -0.4719688, -0.2969309, -0.9288364, -0.8866475, -0.6468172, -0.03240547, 3.436992, 3.582886, -0.4180323, -0.2728483, -0.4467576, -0.4602191, -0.584033, -0.06695312, 0.2659032, 0.2535456, -0.2343196, -0.8523126, -0.8371749
 85045479, -0.4791404, -0.2994891, -0.9226878, -0.8855134, -0.6281012, -0.03272221, 3.427706, 3.584194, -0.4211394, -0.2749906, -0.4481028, -0.4586222, -0.5870138, -0.06784154, 0.2697284, 0.2601883, -0.2311791, -0.8176639, -0.8361499
 85045513, -0.4979104, -0.2975785, -0.9186342, -0.8841591, -0.6039616, -0.03826511, 3.432603, 3.588692, -0.4264174, -0.2760361, -0.4488384, -0.457306, -0.591091, -0.08199026, 0.2761294, 0.2517233, -0.2243773, -0.8228043, -0.8341077
 85045547, -0.4951525, -0.2972886, -0.9251866, -0.8853168, -0.5935814, -0.0538806, 3.439322, 3.638288, -0.4435708, -0.2795751, -0.4521724, -0.4585346, -0.5938386, -0.09872963, 0.2782994, 0.2632826, -0.2211879, -0.822916, -0.8347242
 85045577, -0.49585, -0.2974581, -0.9338478, -0.8855044, -0.5821996, -0.07356288, 3.446186, 3.655792, -0.4645922, -0.2799495, -0.4546884, -0.4574651, -0.5929247, -0.1016076, 0.2788201, 0.2643823, -0.2123155, -0.8297399, -0.8339244
 85045613, -0.4987938, -0.2958221, -0.9323155, -0.8859948, -0.5555426, -0.09345119, 3.441781, 3.648581, -0.4757165, -0.2845816, -0.4534225, -0.4457206, -0.5922469, -0.1070991, 0.2806789, 0.2642372, -0.2074186, -0.8329726, -0.8340055
 85045647, -0.4720793, -0.3335515, -0.8830857, -0.9213424, -0.554942, -0.105745, 3.440061, 3.666061, -0.4888139, -0.291005, -0.4514889, -0.4531559, -0.5845872, -0.1181276, 0.2759185, 0.2680446, -0.2008205, -0.8297465, -0.8381629
 85045678, -0.5060924, -0.333338, -0.9308212, -0.9211817, -0.5492974, -0.1176259, 3.457362, 3.6777, -0.4916142, -0.2917701, -0.4545339, -0.4531248, -0.5815741, -0.1194858, 0.2692365, 0.2689863, -0.1855075, -0.8262292, -0.8381366
 85045713, -0.5056497, -0.3295385, -0.9395082, -0.9226864, -0.5472096, -0.1325726, 3.460589, 3.695458, -0.4928335, -0.2942757, -0.4562137, -0.4580299, -0.5777602, -0.1168443, 0.2626343, 0.2768895, -0.1815607, -0.8359681, -0.8381994
 85045747, -0.4948677, -0.328568, -0.9495129, -0.9236375, -0.5427478, -0.1435311, 3.485348, 3.711405, -0.4938135, -0.2969853, -0.4575653, -0.4601125, -0.5680008, -0.1169862, 0.2662948, 0.2743783, -0.1750099, -0.8519411, -0.8384054
 85045777, -0.494172, -0.3283217, -0.9514476, -0.9237747, -0.5382636, -0.1574503, 3.487815, 3.716766, -0.4809734, -0.297353, -0.4829583, -0.4671198, -0.5551692, -0.1095567, 0.249345, 0.2661625, -0.1779028, -0.8588386, -0.8383446
 85045812, -0.4997529, -0.3285819, -0.9477979, -0.9235827, -0.5302896, -0.1289359, 3.498164, 3.723413, -0.4816792, -0.2971374, -0.4922401, -0.4692624, -0.5492521, -0.1299993, 0.2394094, 0.1686537, -0.1771562, -0.8539796, -0.8396467
 85045847, -0.4986119, -0.3300743, -0.9443595, -0.9274566, -0.5201491, -0.0911653, 3.4704, 3.736742, -0.4735409, -0.2957398, -0.495112, -0.4955343, -0.5273848, -0.1181164, 0.1558894, 0.1660914, -0.1756669, -0.8596293, -0.8412412
 85045877, -0.4993547, -0.3310406, -0.9443494, -0.9296128, -0.5221124, -0.03786717, 3.454413, 3.769843, -0.4576134, -0.2945491, -0.4972792, -0.4952694, -0.529459, -0.07909141, 0.148497, 0.1860828, -0.1781609, -0.8495892, -0.8464048
 85045913, -0.4994915, -0.3061759, -0.9444667, -0.9041865, -0.5191281, 0.003726304, 3.456465, 3.751828, -0.4576247, -0.2899462, -0.5006818, -0.4954411, -0.5160118, -0.06402129, 0.1685175, 0.1978647, -0.1807954, -0.8463027, -0.8505076
