TimeStamp,FootLeft_x,FootRight_x,FootLeft_y,FootRight_y,WristLeft_x,WristRight_x,WristLeft_z,WristRight_z,KneeLeft_x,KneeRight_x,KneeLeft_y,KneeRight_y,ElbowLeft_x,ElbowRight_x,ElbowLeft_y,ElbowRight_y,Head_y,AnkleLeft_y,AnkleRight_y
64433980, 0.08796778, 0.2598104, -0.5879682, -0.5898009, -0.164172, 0.5529487, 3.168903, 2.96947, 0.1022606, 0.2956299, -0.1920462, -0.1870142, -0.06674561, 0.5119542, 0.465562, 0.4452706, 0.2153686, -0.5418376, -0.5436703
 64434007, 0.09561569, 0.2635995, -0.5977921, -0.59066, -0.1387421, 0.5279188, 3.173882, 2.99505, 0.1043754, 0.2936496, -0.1950511, -0.1883227, -0.05776453, 0.5038286, 0.4629605, 0.4455192, 0.2097478, -0.5508626, -0.5437305
 64434044, 0.09390353, 0.2617453, -0.598825, -0.5915446, -0.1075534, 0.499977, 3.19155, 3.013629, 0.1098281, 0.2920696, -0.1940462, -0.187307, -0.04336881, 0.4979073, 0.4624318, 0.4432776, 0.20646, -0.5508133, -0.5435329
 64434075, 0.09175913, 0.2600641, -0.6118166, -0.592683, -0.08663203, 0.4803402, 3.19745, 3.032378, 0.11358, 0.2880147, -0.1942092, -0.1895283, -0.03640603, 0.493166, 0.4660285, 0.4404476, 0.1998708, -0.5633695, -0.5442359
 64434109, 0.09820127, 0.2589121, -0.6305926, -0.5965463, -0.07703947, 0.4641644, 3.201375, 3.082212, 0.1141422, 0.2847796, -0.2006305, -0.1917526, -0.02590065, 0.487007, 0.4783019, 0.4334106, 0.1852427, -0.5637584, -0.5457307
 64434142, 0.09951214, 0.2449522, -0.6300667, -0.6283726, -0.0654211, 0.4671947, 3.213084, 3.098446, 0.1146466, 0.2784766, -0.1993614, -0.1915106, -0.0239516, 0.4750504, 0.4783885, 0.4366385, 0.1793066, -0.5627475, -0.5548435
 64434176, 0.0995392, 0.2476439, -0.6301202, -0.6091465, -0.0489553, 0.4583974, 3.249796, 3.121599, 0.1146993, 0.2744012, -0.1989733, -0.1923184, -0.01672398, 0.4490195, 0.4699074, 0.4324095, 0.1701155, -0.5627227, -0.555037
 64434207, 0.09996381, 0.2469046, -0.6305322, -0.6090205, -0.0493552, 0.4553686, 3.261741, 3.116792, 0.1141399, 0.2676025, -0.2023987, -0.1938504, -0.008211754, 0.4458355, 0.4464868, 0.417446, 0.1672598, -0.5625078, -0.552321
 64434240, 0.1010223, 0.2397029, -0.6301091, -0.6155527, -0.04465132, 0.4427527, 3.269185, 3.1203, 0.1037144, 0.2558203, -0.2077629, -0.2049251, -0.003319651, 0.4208305, 0.3960781, 0.3672556, 0.1604749, -0.5593523, -0.5553555
 64434282, 0.09999307, 0.2404064, -0.6284103, -0.6186363, -0.04266363, 0.4286332, 3.277223, 3.120968, 0.09136917, 0.2488494, -0.2354372, -0.2135815, 0.0006389227, 0.4173982, 0.3639955, 0.327917, 0.1605403, -0.5553148, -0.5569847
