TimeStamp,FootLeft_x,FootRight_x,FootLeft_y,FootRight_y,WristLeft_x,WristRight_x,WristLeft_z,WristRight_z,KneeLeft_x,KneeRight_x,KneeLeft_y,KneeRight_y,ElbowLeft_x,ElbowRight_x,ElbowLeft_y,ElbowRight_y,Head_y,AnkleLeft_y,AnkleRight_y
321616, 0.0705929, 0.6299931, -0.8376399, -0.8181289, -0.1528048, 0.8922066, 3.165682, 3.045058, 0.2187844, 0.5292465, -0.388452, -0.4033032, -0.02283407, 0.7706017, 0.5615432, 0.5562233, 0.3680839, -0.7489777, -0.7768759
 321647, 0.108686, 0.6205443, -0.8227403, -0.8318377, -0.2137842, 0.9206771, 3.179256, 3.064049, 0.2235183, 0.5264592, -0.3849779, -0.3968896, -0.04232395, 0.7727849, 0.5134651, 0.5174044, 0.3728801, -0.744147, -0.7717983
 321682, 0.1636154, 0.5897422, -0.8119107, -0.8171309, -0.2230281, 0.9352456, 3.220442, 3.062939, 0.2330532, 0.5123987, -0.3806822, -0.3854863, -0.02757509, 0.7765055, 0.4378544, 0.4713061, 0.3672473, -0.7425975, -0.7493567
 321713, 0.188932, 0.524101, -0.8148631, -0.8140142, -0.1763228, 0.8855291, 3.242172, 3.09926, 0.2461873, 0.5011007, -0.380605, -0.3773762, 0.01778138, 0.7319235, 0.3636314, 0.4065165, 0.3690265, -0.749682, -0.7496192
 321745, 0.2404457, 0.4929597, -0.8113091, -0.8152363, -0.07372082, 0.8076992, 3.27957, 3.135205, 0.2637178, 0.4898672, -0.3839477, -0.3796004, 0.09226105, 0.6906141, 0.302815, 0.3592561, 0.3704718, -0.7575584, -0.74725
 321781, 0.2829351, 0.4643312, -0.8154095, -0.8353605, 0.06270713, 0.7667475, 3.291439, 3.166762, 0.274709, 0.4626899, -0.3917637, -0.3968758, 0.1471727, 0.6518318, 0.2680648, 0.294579, 0.3696856, -0.7454223, -0.7654195
 321813, 0.2958814, 0.4309033, -0.8176345, -0.8138222, 0.1586693, 0.6601678, 3.301709, 3.184851, 0.2939389, 0.4593897, -0.4006603, -0.400454, 0.1921551, 0.6030061, 0.2343816, 0.2275468, 0.3696047, -0.7446874, -0.7721233
 321845, 0.2967859, 0.4246894, -0.8052038, -0.8191409, 0.1874784, 0.6111605, 3.334645, 3.208104, 0.3393634, 0.4358091, -0.419385, -0.4137998, 0.193545, 0.5909426, 0.1959435, 0.177953, 0.3598217, -0.7638476, -0.7777847
 321881, 0.2935971, 0.4150619, -0.80892, -0.8162911, 0.1467272, 0.618088, 3.366095, 3.209672, 0.3433053, 0.4299778, -0.4207479, -0.4398835, 0.1828453, 0.5852413, 0.1546182, 0.1419321, 0.3623824, -0.7677054, -0.7750766
 321913, 0.2968192, 0.4143768, -0.8115076, -0.8151485, 0.05740586, 0.6803071, 3.372281, 3.194019, 0.3483421, 0.4215922, -0.4224781, -0.4392569, 0.1534831, 0.5990388, 0.1494671, 0.1228518, 0.3648368, -0.77032, -0.7739608
 321945, 0.2976568, 0.4129072, -0.844121, -0.8235888, -0.04049859, 0.77036, 3.383783, 3.159602, 0.3486289, 0.42105, -0.4211334, -0.4377173, 0.1036226, 0.6453993, 0.1691229, 0.1426701, 0.3635771, -0.7698267, -0.7823938
 321981, 0.3003588, 0.413834, -0.842563, -0.8239061, -0.1270815, 0.8254098, 3.370142, 3.122847, 0.3308136, 0.4331238, -0.4234941, -0.4307697, 0.05361633, 0.6920806, 0.2161828, 0.1940973, 0.361643, -0.7671361, -0.7826748
 322013, 0.2859276, 0.4307533, -0.7930356, -0.8213354, -0.1919532, 0.8432989, 3.338123, 3.115514, 0.305127, 0.4516156, -0.4068372, -0.4193527, 0.01344198, 0.708956, 0.3053391, 0.2810631, 0.364701, -0.7517021, -0.780002
 322046, 0.271494, 0.4508666, -0.7911584, -0.8446798, -0.2552586, 0.9016858, 3.314404, 3.091376, 0.2969375, 0.4677041, -0.3989545, -0.4013447, -0.01328042, 0.7376775, 0.39208, 0.3577281, 0.3665896, -0.7497426, -0.7758152
 322081, 0.2599805, 0.4977947, -0.8239182, -0.8345348, -0.2606218, 0.9138291, 3.290083, 3.067499, 0.2811823, 0.4756601, -0.3770654, -0.3981144, -0.03181969, 0.7489899, 0.4784458, 0.4341853, 0.3639117, -0.7509764, -0.7759867
 322113, 0.2063747, 0.5508829, -0.8039956, -0.8317267, -0.2261909, 0.9115933, 3.277798, 3.076093, 0.2702807, 0.4945168, -0.3723246, -0.387254, -0.03517465, 0.7503828, 0.5535118, 0.5034009, 0.3662451, -0.735013, -0.7715554
 322146, 0.1612937, 0.6164519, -0.7999235, -0.8316511, -0.2353063, 0.9465157, 3.252805, 3.048358, 0.2576656, 0.5074214, -0.3731624, -0.3832789, -0.0255966, 0.7809988, 0.6190973, 0.5703932, 0.3696995, -0.7345089, -0.7674745
 322182, 0.1267062, 0.6305673, -0.8034782, -0.8275251, -0.1606091, 0.8802699, 3.23009, 3.06542, 0.2456852, 0.5204241, -0.3747273, -0.3812258, 0.003757477, 0.7720066, 0.6798254, 0.6159006, 0.3702067, -0.7382494, -0.7569054
 322214, 0.08085155, 0.6653763, -0.8089714, -0.8324847, -0.0616575, 0.8063965, 3.222868, 3.099155, 0.2298291, 0.5295769, -0.3723347, -0.3811252, 0.03388061, 0.7497951, 0.7179613, 0.6690056, 0.3726759, -0.7394978, -0.7539414
 322246, 0.0841601, 0.6619313, -0.7760737, -0.7859935, -0.002987951, 0.7168654, 3.216954, 3.168851, 0.2179076, 0.5315776, -0.3746925, -0.3803329, 0.06105761, 0.7164489, 0.7335441, 0.7040753, 0.3719664, -0.7347136, -0.7446333
 322282, 0.08240492, 0.6684539, -0.7764887, -0.7870159, 0.1973035, 0.6002858, 3.236059, 3.216248, 0.2127952, 0.5298184, -0.3931811, -0.3862675, 0.1112781, 0.680305, 0.7246267, 0.7124826, 0.3783451, -0.7351058, -0.745633
 322314, 0.08207539, 0.6576847, -0.7758096, -0.7900422, 0.2633514, 0.5009866, 3.241764, 3.272209, 0.2117782, 0.5197374, -0.4031519, -0.3919733, 0.140233, 0.6349441, 0.6952667, 0.674338, 0.377378, -0.7340778, -0.7483103
 322346, 0.086672, 0.6595197, -0.7762819, -0.7955858, 0.2707236, 0.5188528, 3.253792, 3.242308, 0.2133943, 0.5111434, -0.4045498, -0.4035587, 0.1513368, 0.6240142, 0.6843187, 0.6478185, 0.3967703, -0.7341877, -0.7534916
 322382, 0.08631006, 0.6525717, -0.7758554, -0.7942048, 0.2584085, 0.5228527, 3.260957, 3.239747, 0.2105475, 0.5109425, -0.4230473, -0.4064945, 0.1505251, 0.6272998, 0.6814212, 0.6452876, 0.3948144, -0.7339159, -0.7522653
 322413, 0.0852697, 0.6542243, -0.7754539, -0.7870599, 0.1726013, 0.6271437, 3.244686, 3.219418, 0.2057016, 0.5124869, -0.4153502, -0.4068475, 0.1132945, 0.6756071, 0.6796843, 0.6419278, 0.3824699, -0.7337106, -0.7453166
 322446, 0.08414756, 0.6542011, -0.7744346, -0.7846407, 0.05639062, 0.7363305, 3.223863, 3.178755, 0.2065884, 0.5287087, -0.3787538, -0.4085525, 0.04991439, 0.706754, 0.693979, 0.6424358, 0.3928035, -0.7329289, -0.743135
 322481, 0.08380941, 0.6797835, -0.7963385, -0.8338987, -0.0837081, 0.8495877, 3.203111, 3.110172, 0.2058867, 0.5336462, -0.3786874, -0.3830523, 0.02262656, 0.7817686, 0.685074, 0.6509159, 0.3906125, -0.7549158, -0.7477427
 322514, 0.1039787, 0.639681, -0.8126916, -0.8130887, -0.177724, 0.9486438, 3.19215, 3.116191, 0.2141259, 0.5339515, -0.3705012, -0.3658963, -0.01710047, 0.7902007, 0.6317317, 0.6161283, 0.3946084, -0.7497935, -0.733589
