TimeStamp,FootLeft_x,FootRight_x,FootLeft_y,FootRight_y,WristLeft_x,WristRight_x,WristLeft_z,WristRight_z,KneeLeft_x,KneeRight_x,KneeLeft_y,KneeRight_y,ElbowLeft_x,ElbowRight_x,ElbowLeft_y,ElbowRight_y,Head_y,AnkleLeft_y,AnkleRight_y
82241153, 0.1939689, 0.4291529, -0.9654909, -0.9730253, -0.2725482, 0.9252762, 2.611093, 2.911556, 0.1961984, 0.4483634, -0.4889821, -0.4909959, -0.0994018, 0.7198119, 0.3024274, 0.3464398, 0.3379958, -0.8905768, -0.8961909
 82241182, 0.2018209, 0.4268575, -0.9665129, -0.9299605, -0.2520305, 0.8835334, 2.600277, 2.907173, 0.2123821, 0.43367, -0.4989005, -0.4887291, -0.06528626, 0.6878635, 0.2387884, 0.2902419, 0.3375705, -0.8902034, -0.8928046
 82241207, 0.2185422, 0.4147806, -0.9276733, -0.9212785, -0.1916818, 0.8425413, 2.622384, 2.901757, 0.2224216, 0.4118111, -0.5046681, -0.5142757, -0.02757826, 0.6682955, 0.163752, 0.2260982, 0.3429861, -0.8903245, -0.8839297
 82241242, 0.2228313, 0.4069536, -0.9205787, -0.9239745, -0.1311963, 0.8028885, 2.64439, 2.881016, 0.2306799, 0.4073898, -0.5245802, -0.5235307, 0.002814114, 0.6335151, 0.08842975, 0.1356206, 0.353729, -0.8828206, -0.8862164
 82241272, 0.2271425, 0.4021716, -0.9190122, -0.9209005, -0.04169699, 0.7623371, 2.688729, 2.867911, 0.2396573, 0.4003011, -0.5481623, -0.5448813, 0.05491393, 0.6267437, 0.03632125, 0.05362369, 0.3521372, -0.8811522, -0.8830404
 82241303, 0.2287533, 0.4034616, -0.9194061, -0.9191374, 0.01971123, 0.7084193, 2.724124, 2.872691, 0.2411762, 0.4001476, -0.549945, -0.5473738, 0.09673665, 0.5826716, 0.01430997, 0.01535806, 0.3516943, -0.8814497, -0.881181
 82241339, 0.2294502, 0.4061075, -0.9196927, -0.9042362, 0.03261513, 0.6647151, 2.748245, 2.900239, 0.2416388, 0.4021545, -0.5511102, -0.5474403, 0.1031112, 0.5626206, 0.009344548, 0.008944035, 0.3510461, -0.8816538, -0.8661973
 82241371, 0.2297575, 0.408699, -0.9129575, -0.9103371, 0.004711007, 0.6616609, 2.793061, 2.939296, 0.2436119, 0.4060683, -0.5184939, -0.5450203, 0.1009054, 0.5588914, 0.01601318, 0.02108464, 0.3512967, -0.8744998, -0.8718794
 82241404, 0.2334943, 0.4081868, -0.9182309, -0.9149278, -0.07257691, 0.6828114, 2.820884, 2.99129, 0.2438912, 0.4099678, -0.5338673, -0.5412859, 0.06753737, 0.5625442, 0.04737738, 0.06022538, 0.3498855, -0.8796014, -0.8762983
 82241440, 0.2335819, 0.4039333, -0.9202999, -0.9284338, -0.1485005, 0.727899, 2.834945, 3.029952, 0.2517216, 0.4099157, -0.5233014, -0.5468357, 0.02609001, 0.5855269, 0.08188984, 0.08132987, 0.3523974, -0.8818585, -0.8899924
