TimeStamp,FootLeft_x,FootRight_x,FootLeft_y,FootRight_y,WristLeft_x,WristRight_x,WristLeft_z,WristRight_z,KneeLeft_x,KneeRight_x,KneeLeft_y,KneeRight_y,ElbowLeft_x,ElbowRight_x,ElbowLeft_y,ElbowRight_y,Head_y,AnkleLeft_y,AnkleRight_y
79824251, 0.001644051, 0.1265924, -0.8820786, -0.8921245, -0.6650082, 0.7277284, 3.237229, 3.221971, -0.0485336, 0.1525234, -0.4127201, -0.4211926, -0.4140146, 0.5019707, 0.4776537, 0.4305211, 0.03625907, -0.7978984, -0.8071406
 79824281, 0.007984218, 0.1267468, -0.8812895, -0.8915057, -0.6746663, 0.7238104, 3.211923, 3.193839, -0.04845647, 0.1541212, -0.4125189, -0.4198998, -0.4578867, 0.5008537, 0.4880872, 0.4327882, 0.03694819, -0.7928674, -0.8044164
 79824316, 0.009942043, 0.1263974, -0.8816553, -0.891569, -0.6284418, 0.7098691, 3.189065, 3.146685, -0.04841131, 0.1541811, -0.411849, -0.4199776, -0.4205379, 0.5000204, 0.4836414, 0.434445, 0.03759859, -0.7912942, -0.8042824
 79824349, 0.0108262, 0.1263181, -0.8818264, -0.8913524, -0.622494, 0.7008184, 3.18018, 3.133444, -0.04812028, 0.1554529, -0.4112881, -0.4193667, -0.4187101, 0.4946725, 0.4831372, 0.437729, 0.03803194, -0.7909437, -0.8041145
 79824380, 0.002996885, 0.1249066, -0.8831077, -0.8909063, -0.583654, 0.680913, 3.134476, 3.107445, -0.04812674, 0.1558837, -0.4104152, -0.4191016, -0.4096912, 0.4887143, 0.4801766, 0.4429557, 0.03856461, -0.7916188, -0.8020598
 79824416, 0.002161613, 0.1242507, -0.8829442, -0.8902585, -0.5725957, 0.664471, 3.121819, 3.093438, -0.0479771, 0.1565781, -0.4101971, -0.4189171, -0.4098304, 0.4814211, 0.4787268, 0.448578, 0.03825526, -0.7918931, -0.7996314
 79824448, 0.001909897, 0.1240446, -0.8825193, -0.8897501, -0.5483074, 0.6279966, 3.098387, 3.071324, -0.04933158, 0.1574463, -0.409368, -0.4189696, -0.40911, 0.4740186, 0.46719, 0.455573, 0.03791823, -0.7928107, -0.7988614
 79824480, 0.0006130614, 0.1238747, -0.8826078, -0.890111, -0.5085099, 0.6116263, 3.074645, 3.078856, -0.04937477, 0.1574195, -0.4093654, -0.4180865, -0.417644, 0.4702759, 0.4626977, 0.4651459, 0.03582028, -0.7929468, -0.7983566
 79824516, -0.002555975, 0.1244714, -0.8802671, -0.8901435, -0.4700882, 0.5859435, 3.076148, 3.057225, -0.05142586, 0.155444, -0.4087104, -0.4149951, -0.4185289, 0.46617, 0.4727448, 0.4787525, 0.03576731, -0.7914453, -0.7980478
 79824548, -0.005958208, 0.1243603, -0.8842449, -0.8908517, -0.4309527, 0.5356598, 3.075188, 3.086149, -0.05220868, 0.1554054, -0.4080389, -0.4149394, -0.413473, 0.4568038, 0.474954, 0.4707849, 0.03477927, -0.7985786, -0.8031391
 79824580, -0.005079188, 0.1241919, -0.8821769, -0.8907233, -0.3977717, 0.4822473, 3.086054, 3.098956, -0.05503347, 0.1554126, -0.4051979, -0.4148886, -0.4223753, 0.4527874, 0.4908766, 0.480977, 0.03487402, -0.7910849, -0.8033953
 79824617, -0.006232162, 0.1242932, -0.8821505, -0.8906274, -0.3387817, 0.4197074, 3.103755, 3.123915, -0.05824714, 0.1556471, -0.4036852, -0.4145662, -0.431238, 0.4554685, 0.5047597, 0.5232889, 0.03461419, -0.7897598, -0.803189
 79824649, -0.006447516, 0.1240857, -0.8817459, -0.8905941, -0.2867622, 0.3545988, 3.125922, 3.130775, -0.05938625, 0.1548451, -0.403047, -0.4135016, -0.3850597, 0.4350826, 0.5808392, 0.6237627, 0.03170389, -0.7886478, -0.80503
 79824681, -0.007307395, 0.1239995, -0.8816775, -0.8911654, -0.2628704, 0.2764959, 3.149584, 3.151547, -0.06339615, 0.1516643, -0.3988301, -0.4130398, -0.368201, 0.4204834, 0.6236066, 0.6610541, 0.02960728, -0.7892022, -0.8071947
 79824717, -0.009182958, 0.1254108, -0.8823702, -0.8920631, -0.238165, 0.2492221, 3.154716, 3.161756, -0.06591906, 0.1491726, -0.3969001, -0.4024408, -0.3482, 0.3841769, 0.6573066, 0.7164778, 0.06047193, -0.7888505, -0.8158246
 79824749, -0.01902086, 0.1268983, -0.8828844, -0.8903259, -0.2215268, 0.2011802, 3.135829, 3.160928, -0.06900966, 0.1471157, -0.3931048, -0.3997255, -0.3200333, 0.340991, 0.6611496, 0.7564373, 0.05968361, -0.7889585, -0.8105878
 79824781, -0.01886709, 0.1287454, -0.881177, -0.8838711, -0.1961145, 0.1514571, 3.101423, 3.1862, -0.0728777, 0.1330501, -0.391191, -0.3902683, -0.2866751, 0.3230055, 0.6568346, 0.7770798, 0.04387239, -0.7861373, -0.8065669
 79824819, -0.02010868, 0.1340598, -0.8813301, -0.8718262, -0.1356879, 0.1152216, 3.17159, 3.214819, -0.07784075, 0.1258825, -0.3819107, -0.3737082, -0.2585563, 0.3168688, 0.6500721, 0.8043133, 0.04912386, -0.783439, -0.7898707
 79824854, -0.02441227, 0.1427074, -0.8826575, -0.8555676, -0.03735872, 0.0816291, 2.896729, 3.21518, -0.08434728, 0.1255665, -0.3699884, -0.3540261, -0.2238988, 0.2975858, 0.6429083, 0.826416, 0.01954553, -0.7831546, -0.7723817
 79824885, -0.02901576, 0.1263137, -0.883826, -0.7974347, -0.03706567, 0.09969398, 2.787221, 3.212725, -0.0847967, 0.1173354, -0.3688298, -0.3090195, -0.1881564, 0.3258267, 0.6396857, 0.8461103, 0.03769159, -0.7831029, -0.7159375
 79824920, 0.02205743, 0.1338396, -0.8269543, -0.7582162, 0.04547921, 0.117353, 2.853412, 3.216093, -0.08559155, 0.118064, -0.3625452, -0.295348, -0.1752221, 0.3429883, 0.6327571, 0.8602336, 0.03786848, -0.7819279, -0.660612
 79824950, 0.02662617, 0.1398388, -0.827485, -0.6967542, 0.05639808, 0.1169517, 2.79429, 3.225222, -0.08519368, 0.1118657, -0.3616284, -0.267678, -0.1434368, 0.3400315, 0.6192127, 0.8731034, 0.0686322, -0.7823372, -0.6252939
 79824986, -0.02756864, 0.1299359, -0.8699996, -0.6387813, -0.009168535, 0.1015874, 2.753512, 3.235855, -0.0844852, 0.1041036, -0.3653105, -0.2404902, -0.116131, 0.3247542, 0.5772623, 0.8666766, 0.07440795, -0.7846186, -0.5818992
