TimeStamp,FootLeft_x,FootRight_x,FootLeft_y,FootRight_y,WristLeft_x,WristRight_x,WristLeft_z,WristRight_z,KneeLeft_x,KneeRight_x,KneeLeft_y,KneeRight_y,ElbowLeft_x,ElbowRight_x,ElbowLeft_y,ElbowRight_y,Head_y,AnkleLeft_y,AnkleRight_y
83167721, -0.03011296, 0.1535208, -0.8770832, -0.8269717, -0.07155117, 0.2514977, 2.911732, 2.768833, 0.03939631, 0.2034472, -0.411731, -0.4165192, -0.0558156, 0.3782106, 0.3247331, 0.2595089, 0.1599277, -0.8153739, -0.7881508
 83167752, -0.09199987, 0.1513981, -0.8299686, -0.8262549, -0.05232017, 0.2562323, 2.863604, 2.759747, 0.01858306, 0.2009854, -0.4206724, -0.4201687, -0.04122996, 0.3764285, 0.2985818, 0.2137884, 0.1591403, -0.7665582, -0.7873054
 83167787, -0.1406778, 0.1507916, -0.8399884, -0.8264379, -0.03598076, 0.2879946, 2.877773, 2.772675, 0.004898115, 0.1990944, -0.4300807, -0.4201355, -0.03334539, 0.3833591, 0.2096147, 0.1859546, 0.1574782, -0.7782496, -0.7872148
 83167820, -0.1755671, 0.1489164, -0.8438133, -0.8211263, -0.04559631, 0.2925569, 2.882253, 2.76741, -0.008875586, 0.1991517, -0.4383365, -0.4227374, -0.016043, 0.3793234, 0.1569762, 0.1584694, 0.162971, -0.7788596, -0.781822
 83167852, -0.149646, 0.1483931, -0.8076928, -0.8186449, -0.05378409, 0.2860436, 2.86086, 2.75822, -0.01252609, 0.1990358, -0.4398606, -0.4305658, -0.007238316, 0.3838135, 0.09067326, 0.1046524, 0.1594026, -0.7685477, -0.7794998
 83167888, -0.162391, 0.1471157, -0.8073903, -0.8141695, -0.06526359, 0.2773927, 2.867867, 2.738113, -0.01276241, 0.1997968, -0.4403703, -0.435185, -0.003988137, 0.3832058, 0.08257056, 0.1028574, 0.1588681, -0.7680525, -0.7748317
 83167920, -0.165221, 0.147305, -0.808964, -0.8144804, -0.06741438, 0.2731484, 2.863672, 2.751603, -0.01268534, 0.200443, -0.4424472, -0.439837, 0.0004218558, 0.3823902, 0.08163714, 0.09583659, 0.1598787, -0.7693216, -0.774838
 83167952, -0.1710117, 0.1477787, -0.8365222, -0.8200926, -0.06964394, 0.2733651, 2.866009, 2.751929, -0.009322927, 0.2002944, -0.4430231, -0.4398846, 4.603993E-05, 0.3790409, 0.08181051, 0.09940766, 0.1581086, -0.7668386, -0.780411
 83167988, -0.1238746, 0.1451055, -0.8397915, -0.8231019, -0.05700996, 0.2511779, 2.886311, 2.758013, -0.005712152, 0.1965587, -0.4448851, -0.4359316, -0.003454436, 0.3770808, 0.1345886, 0.129845, 0.1540286, -0.778681, -0.7831743
 83168020, -0.08216065, 0.141268, -0.8540695, -0.8241265, -0.05298969, 0.2493907, 2.885956, 2.755203, 0.002575854, 0.1954675, -0.4431844, -0.4290112, -0.009061012, 0.3783118, 0.1519951, 0.1440867, 0.1412675, -0.7992477, -0.7838825
 83168052, -0.01590308, 0.1349482, -0.8572606, -0.8244448, -0.07182851, 0.2392091, 2.888329, 2.740932, 0.019576, 0.1972673, -0.4357158, -0.4331978, -0.01338076, 0.392347, 0.1728762, 0.1904928, 0.1358923, -0.7869063, -0.7844386
