TimeStamp,FootLeft_x,FootRight_x,FootLeft_y,FootRight_y,WristLeft_x,WristRight_x,WristLeft_z,WristRight_z,KneeLeft_x,KneeRight_x,KneeLeft_y,KneeRight_y,ElbowLeft_x,ElbowRight_x,ElbowLeft_y,ElbowRight_y,Head_y,AnkleLeft_y,AnkleRight_y
82929473, 0.03706601, 0.4092707, -0.7894213, -0.7420813, -0.1153267, 0.4846587, 2.355639, 2.471896, 0.06785251, 0.312199, -0.2744244, -0.2771105, -0.0741268, 0.4987104, 0.7451072, 0.7472681, 0.1856858, -0.7212322, -0.6662605
 82929509, 0.03006794, 0.3963411, -0.7647452, -0.7089126, -0.1180348, 0.4956663, 2.387123, 2.474333, 0.06511483, 0.3128179, -0.2659518, -0.263376, -0.06231449, 0.4763955, 0.7832451, 0.7908303, 0.1870347, -0.6852388, -0.6432002
 82929547, 0.02984311, 0.3866094, -0.7604488, -0.6913109, -0.1155091, 0.4978372, 2.395137, 2.472879, 0.06176878, 0.3107487, -0.2390426, -0.2383931, -0.06653059, 0.4749607, 0.7993653, 0.8084353, 0.1918893, -0.6771586, -0.6237726
 82929574, 0.02480526, 0.3771881, -0.7492664, -0.6917228, -0.118544, 0.4979181, 2.398977, 2.478237, 0.06205215, 0.3102347, -0.2316262, -0.2320557, -0.07013983, 0.4770216, 0.8061724, 0.8136545, 0.1939809, -0.6698711, -0.6201959
 82929604, 0.02128395, 0.3764097, -0.7463552, -0.7019837, -0.1209223, 0.4978947, 2.406109, 2.48371, 0.06177631, 0.3090077, -0.2262022, -0.2275175, -0.07995945, 0.4805379, 0.8060136, 0.8117728, 0.193507, -0.6682203, -0.6308491
 82929640, -0.004350629, 0.3711794, -0.7501158, -0.7111292, -0.1105925, 0.4893009, 2.420414, 2.507041, 0.05649808, 0.3060907, -0.2254196, -0.2279218, -0.1052291, 0.5018858, 0.7806258, 0.7724792, 0.1935046, -0.6734054, -0.6462202
 82929672, -0.02087546, 0.375234, -0.7808623, -0.762561, -0.106599, 0.4820402, 2.436802, 2.51524, 0.05059137, 0.3025496, -0.2439424, -0.2469926, -0.1254885, 0.5117553, 0.7457083, 0.7463369, 0.1926731, -0.7125924, -0.6965705
 82929704, -0.01234649, 0.3700124, -0.8074812, -0.7862669, -0.09862008, 0.4638175, 2.437083, 2.523451, 0.0461366, 0.3018273, -0.2730357, -0.2763911, -0.138813, 0.5317287, 0.6825505, 0.6751819, 0.1847998, -0.7680304, -0.7245123
 82929740, -0.01579922, 0.3608657, -0.8278089, -0.8392283, -0.06965238, 0.4297023, 2.434338, 2.517068, 0.03855223, 0.3000054, -0.3241079, -0.3289474, -0.1473552, 0.5419539, 0.6334696, 0.6116775, 0.1854601, -0.78823, -0.7852166
 82929771, -0.01751584, 0.3620371, -0.8399403, -0.8698232, -0.04134389, 0.4369757, 2.439602, 2.513638, 0.03292029, 0.2976311, -0.3648551, -0.3711647, -0.1476351, 0.5269173, 0.568041, 0.5161643, 0.1819987, -0.799997, -0.8148738
 82929803, -0.01452563, 0.3306872, -0.8420702, -0.8630641, -0.03842813, 0.4239586, 2.443708, 2.503753, 0.02621471, 0.3026078, -0.4084556, -0.4217972, -0.1479689, 0.5290874, 0.4578159, 0.4001516, 0.1777264, -0.7998167, -0.8208106
 82929839, -0.0165104, 0.3269012, -0.8489626, -0.8593856, -0.03274199, 0.4184926, 2.42793, 2.494995, 0.01676849, 0.3047469, -0.4459425, -0.4371611, -0.1277738, 0.5184271, 0.4069963, 0.2647517, 0.1770012, -0.8054615, -0.8158845
 82929870, -0.01487825, 0.3234653, -0.8387255, -0.8559122, -0.0897263, 0.3891214, 2.433644, 2.472428, 0.01756614, 0.3067551, -0.4478806, -0.4567239, -0.1582384, 0.492994, 0.2064461, 0.1742725, 0.179354, -0.7938916, -0.8110783
 82929902, -0.0108916, 0.3230567, -0.8407851, -0.8563669, -0.08000708, 0.3465688, 2.398319, 2.463917, 0.01008184, 0.3158093, -0.4923767, -0.5014528, -0.1729713, 0.4987932, 0.1018602, 0.07036495, 0.1776517, -0.7931594, -0.8087412
 82929939, -0.007537357, 0.3256665, -0.8438223, -0.8597909, -0.07227122, 0.3474247, 2.426028, 2.456537, 0.00562039, 0.3284016, -0.5257691, -0.5370466, -0.1678809, 0.5026351, 0.00669388, -0.003789, 0.1719325, -0.7932882, -0.8092567
 82929971, -0.01248114, 0.3285837, -0.8781068, -0.861757, -0.1006037, 0.403905, 2.492779, 2.53501, 0.006835319, 0.3461648, -0.5524219, -0.5593668, -0.1615553, 0.4966795, -0.05452279, -0.06516017, 0.1735791, -0.8251874, -0.8088377
 82930006, -0.0174764, 0.3283281, -0.9022071, -0.866882, -0.09963812, 0.4079588, 2.541063, 2.577275, -0.003182665, 0.3634045, -0.5734218, -0.5741603, -0.1537687, 0.4991865, -0.1273191, -0.129674, 0.172455, -0.8456939, -0.8103688
 82930038, -0.04106108, 0.3375705, -0.8780811, -0.8853619, -0.08725948, 0.4247295, 2.571698, 2.622096, -0.02089973, 0.3818952, -0.5547779, -0.5701184, -0.1541581, 0.5070092, -0.1867041, -0.1798397, 0.175496, -0.8320383, -0.8139191
 82930070, -0.01229113, 0.3374213, -0.8486535, -0.8850721, -0.085246, 0.4533296, 2.602282, 2.671144, -0.02742647, 0.3923626, -0.5458163, -0.5674446, -0.1509791, 0.5083516, -0.2127224, -0.190184, 0.1796934, -0.7864037, -0.8131419
 82930106, -0.01313506, 0.3398704, -0.8525305, -0.8856468, -0.075398, 0.4450682, 2.613218, 2.6752, -0.03335879, 0.4150964, -0.543668, -0.5783284, -0.1579882, 0.5105278, -0.248997, -0.2287949, 0.1796234, -0.787653, -0.8154113
 82930138, -0.04241235, 0.3396066, -0.8881207, -0.8856379, -0.08630878, 0.447392, 2.639299, 2.69056, -0.0451818, 0.4249177, -0.5519383, -0.5743472, -0.1589338, 0.5097336, -0.2593259, -0.2344693, 0.1793443, -0.806287, -0.8161343
 82930169, -0.04499961, 0.3434645, -0.8804262, -0.8962134, -0.08932532, 0.4387076, 2.641701, 2.689451, -0.04988569, 0.449046, -0.5694103, -0.579703, -0.1640195, 0.5109195, -0.2738789, -0.254762, 0.1771367, -0.8376796, -0.8325366
 82930206, -0.04389723, 0.3473369, -0.8979136, -0.9002643, -0.08139798, 0.382733, 2.637587, 2.658191, -0.06327748, 0.4559862, -0.5650596, -0.5847068, -0.1676719, 0.5118423, -0.2781355, -0.2636653, 0.1792371, -0.8339202, -0.8400415
 82930237, -0.04286802, 0.3472747, -0.897815, -0.9020097, -0.08123748, 0.380827, 2.640268, 2.65576, -0.06456928, 0.4534107, -0.5653445, -0.5862571, -0.1714781, 0.5152896, -0.2843745, -0.271165, 0.1772151, -0.8333174, -0.8429234
 82930270, -0.03907193, 0.3524711, -0.8968214, -0.9030287, -0.08068124, 0.3781156, 2.643964, 2.651386, -0.0533542, 0.4055605, -0.5617697, -0.5760005, -0.1750526, 0.5169579, -0.2861348, -0.2874188, 0.1776473, -0.8313298, -0.8486864
 82930305, -0.04046668, 0.3518094, -0.9002458, -0.8991022, -0.1194355, 0.3909077, 2.67733, 2.661596, -0.05102941, 0.3980902, -0.6231243, -0.6167117, -0.1769032, 0.5167037, -0.288476, -0.2936254, 0.177481, -0.8800871, -0.8826382
 82930337, -0.02786677, 0.3522677, -0.900022, -0.8962224, -0.1144005, 0.3907493, 2.673609, 2.660825, -0.07731482, 0.3596025, -0.6237027, -0.583165, -0.1785359, 0.5181239, -0.2892045, -0.2940644, 0.1790894, -0.880834, -0.8421216
 82930369, -0.03443897, 0.3497538, -0.8946133, -0.8951563, -0.09310537, 0.3745429, 2.666641, 2.646369, -0.07191497, 0.4406632, -0.6235663, -0.6475425, -0.1778099, 0.5191167, -0.2929516, -0.2948197, 0.1793664, -0.8811454, -0.8464495
 82930405, -0.03467483, 0.3481779, -0.8895742, -0.8931439, -0.1028792, 0.3702432, 2.658571, 2.643669, -0.07183788, 0.4217313, -0.5655277, -0.620276, -0.178206, 0.5194019, -0.2895783, -0.2964554, 0.1813828, -0.8147759, -0.84419
 82930437, -0.03961793, 0.3491015, -0.8923616, -0.8946857, -0.1069023, 0.3996043, 2.658281, 2.662339, -0.07131296, 0.4197955, -0.5663478, -0.6068156, -0.176461, 0.5157796, -0.2850014, -0.2929454, 0.181056, -0.8159269, -0.8461274
 82930469, -0.01008967, 0.3446482, -0.875151, -0.8907452, -0.07524735, 0.4055405, 2.613096, 2.655578, -0.05807857, 0.4000263, -0.5661675, -0.5854428, -0.1699182, 0.5072232, -0.274224, -0.2773241, 0.1851884, -0.8077898, -0.8240974
 82930506, -0.01163966, 0.3442574, -0.8665167, -0.890569, -0.07127293, 0.3735597, 2.571931, 2.57684, -0.04201576, 0.3890401, -0.5580539, -0.5886253, -0.1605817, 0.5021147, -0.2551207, -0.2542568, 0.1834676, -0.8033457, -0.8259554
 82930538, -0.03914705, 0.3442266, -0.8805913, -0.8904617, -0.08976027, 0.3662345, 2.508312, 2.484735, -0.03010367, 0.3696467, -0.5616168, -0.5894879, -0.1556606, 0.5005839, -0.2020168, -0.2054897, 0.1831213, -0.8384567, -0.8274105
