TimeStamp, FootLeft_x, FootRight_x, FootLeft_y, FootRight_y, WristLeft_x, WristRight_x,WristLeft_z, WristRight_z,KneeLeft_x, KneeRight_x,KneeLeft_y, KneeRight_y,ElbowLeft_x, ElbowRight_x,ElbowLeft_y, ElbowRight_y,Spine_y,AnkleLeft_y, AnkleRight_y
71697917, -0.140751, -0.02445775, -0.715593, -0.7534096, -0.5969273, 0.2991792, 3.26659, 3.340702, -0.1716036, -0.01147898, -0.2266015, -0.2201154, -0.4699922, 0.2515501, 0.5353653, 0.6101284, -0.07679473, -0.6466454, -0.6883456
 71697946, -0.103012, 0.06028912, -0.6828405, -0.737721, -0.5482776, 0.3312991, 3.298086, 3.382962, -0.1241076, 0.05638667, -0.2260143, -0.2237867, -0.4610896, 0.2618117, 0.5267943, 0.5847971, -0.05210169, -0.6262283, -0.6676142
 71697978, -0.02826348, 0.1654853, -0.7060147, -0.7364787, -0.4950468, 0.3739861, 3.302621, 3.405627, -0.08374111, 0.1135492, -0.2404338, -0.2396673, -0.4113494, 0.286234, 0.4908335, 0.5218301, -0.01273918, -0.624374, -0.6695208
 71698017, 0.06379005, 0.2896597, -0.6921915, -0.7224799, -0.4513209, 0.405661, 3.303198, 3.403957, -0.03232695, 0.1642806, -0.2546918, -0.2553289, -0.366387, 0.3100386, 0.4513088, 0.4578696, 0.01276847, -0.6469494, -0.6551291
 71698045, 0.108499, 0.3306452, -0.7263523, -0.6940122, -0.4032139, 0.4496784, 3.296129, 3.426782, 0.004259293, 0.208405, -0.2797062, -0.2864015, -0.3308659, 0.3303227, 0.3950476, 0.3853734, 0.04413396, -0.6596599, -0.6488145
 71698078, 0.1547148, 0.3815604, -0.7180472, -0.6965854, -0.344299, 0.4585465, 3.274384, 3.4154, 0.05303237, 0.2486929, -0.3017251, -0.2934634, -0.283674, 0.3336399, 0.3200351, 0.3070718, 0.076147, -0.670546, -0.6490842
 71698112, 0.1622641, 0.444646, -0.7192534, -0.7216883, -0.2903514, 0.4680064, 3.255816, 3.429086, 0.09237495, 0.2698812, -0.3117392, -0.3142551, -0.2413609, 0.3653452, 0.2325967, 0.2226912, 0.1085983, -0.6689068, -0.6713417
 71698144, 0.1826099, 0.4440859, -0.7199625, -0.7235628, -0.2438619, 0.4740895, 3.245711, 3.454489, 0.1280919, 0.3225246, -0.3512177, -0.3605101, -0.2028347, 0.3755884, 0.1431039, 0.1391984, 0.1364836, -0.6677333, -0.6713336
 71698176, 0.1989984, 0.4448342, -0.7174187, -0.7229843, -0.1879639, 0.4870597, 3.238435, 3.455172, 0.151401, 0.342557, -0.3940038, -0.3762158, -0.1528763, 0.394591, 0.06821975, 0.08760265, 0.1707613, -0.6649047, -0.6704702
 71698213, 0.2038621, 0.4397835, -0.7622513, -0.7217678, -0.1094525, 0.495083, 3.219423, 3.458978, 0.1787034, 0.3532523, -0.4265586, -0.4107915, -0.101205, 0.4136859, 0.01355513, 0.03003417, 0.1855738, -0.7074878, -0.6670043
