TimeStamp, FootLeft_x, FootRight_x, FootLeft_y, FootRight_y, WristLeft_x, WristRight_x,WristLeft_z, WristRight_z,KneeLeft_x, KneeRight_x,KneeLeft_y, KneeRight_y,ElbowLeft_x, ElbowRight_x,ElbowLeft_y, ElbowRight_y,Spine_y,AnkleLeft_y, AnkleRight_y
71987187, -0.6216835, -0.4061979, -0.7222219, -0.7320086, -0.7911534, -0.2381597, 3.178475, 3.371019, -0.6491464, -0.4281496, -0.2683931, -0.2588781, -0.856577, -0.2798343, 0.4603537, 0.4711752, -0.5676864, -0.6482431, -0.6576257
 71987216, -0.602316, -0.4071884, -0.7239105, -0.7145929, -0.7980793, -0.2058679, 3.177261, 3.308923, -0.6443793, -0.4178515, -0.2833171, -0.2726674, -0.8448825, -0.2632054, 0.41324, 0.420754, -0.564253, -0.65501, -0.6501619
 71987246, -0.5892525, -0.406251, -0.7408164, -0.7212897, -0.8004863, -0.1807184, 3.186075, 3.275066, -0.6384963, -0.4124729, -0.2964064, -0.2862169, -0.8398545, -0.2486947, 0.3482787, 0.3743038, -0.5564829, -0.6666182, -0.652244
 71987282, -0.5722972, -0.4074238, -0.7218754, -0.7356741, -0.7955486, -0.1533541, 3.185468, 3.251294, -0.6303856, -0.4071853, -0.3078496, -0.2957709, -0.8376777, -0.2409279, 0.2874768, 0.3142678, -0.5525028, -0.668115, -0.6598045
 71987314, -0.5763473, -0.4089695, -0.7203256, -0.7448532, -0.7978991, -0.1449709, 3.200737, 3.225553, -0.615371, -0.4054013, -0.3279886, -0.318914, -0.8272931, -0.2244391, 0.2124374, 0.2328772, -0.5505539, -0.6669471, -0.6671289
 71987346, -0.600226, -0.4251852, -0.7340034, -0.7310466, -0.8030745, -0.148214, 3.197593, 3.236727, -0.5979176, -0.4042656, -0.3590516, -0.3418183, -0.8084375, -0.2258403, 0.1081572, 0.177387, -0.5381836, -0.6688215, -0.6775119
 71987382, -0.5952677, -0.4308356, -0.7309171, -0.7308458, -0.8033406, -0.1841583, 3.196257, 3.250805, -0.5965077, -0.4005967, -0.3654351, -0.3524931, -0.795199, -0.2146112, 0.1059891, 0.1535759, -0.5342574, -0.6668751, -0.6782305
 71987417, -0.5971429, -0.4327413, -0.7323142, -0.7311285, -0.7813551, -0.2164551, 3.178491, 3.286977, -0.5995274, -0.4015178, -0.3601975, -0.3412191, -0.7912127, -0.2243641, 0.1271947, 0.1879653, -0.5320366, -0.666344, -0.6799899
 71987452, -0.6074837, -0.4297307, -0.7590109, -0.7332603, -0.7579829, -0.244605, 3.169577, 3.331093, -0.6086666, -0.3982566, -0.3306472, -0.3267502, -0.7968068, -0.2279861, 0.2187789, 0.2642626, -0.5292003, -0.6857862, -0.6850181
 71987484, -0.5787477, -0.4127052, -0.7269092, -0.7169327, -0.7481582, -0.2591406, 3.168991, 3.366689, -0.6125417, -0.3944052, -0.3086499, -0.2961711, -0.8048844, -0.2421012, 0.3528725, 0.3744299, -0.5275966, -0.6799684, -0.6699919
 71987515, -0.5878302, -0.3954506, -0.7168278, -0.6892593, -0.7562931, -0.28924, 3.173525, 3.406418, -0.6174056, -0.4042602, -0.2613982, -0.2503203, -0.8221501, -0.2514263, 0.4606378, 0.4772763, -0.5338799, -0.6706538, -0.6430852
 71987551, -0.557468, -0.4062705, -0.7114175, -0.6855149, -0.7404729, -0.2997888, 3.169249, 3.430119, -0.6166325, -0.4104731, -0.197657, -0.1886586, -0.8413808, -0.2608369, 0.5439258, 0.5919164, -0.5387577, -0.6381758, -0.6400411
 71987583, -0.5739508, -0.4355382, -0.6513112, -0.6241339, -0.745811, -0.2984248, 3.176207, 3.484319, -0.616607, -0.4058734, -0.1527856, -0.1524555, -0.8890054, -0.2607579, 0.6252109, 0.6383886, -0.5405068, -0.572508, -0.5577248
 71987616, -0.5932661, -0.4659068, -0.4307986, -0.5321379, -0.7635072, -0.2955576, 3.166475, 3.485745, -0.6065872, -0.3996827, -0.06383069, -0.07544779, -0.8991492, -0.2650115, 0.6531903, 0.6369834, -0.5412928, -0.3813393, -0.4551693
 71987650, -0.6133479, -0.4889779, -0.2571132, -0.3638051, -0.7625831, -0.2766803, 3.138492, 3.489164, -0.6001101, -0.3968543, 0.05084333, 0.03091701, -0.8772059, -0.28032, 0.6214551, 0.5740192, -0.5424836, -0.2043933, -0.2893571
 71987682, -0.6033288, -0.5018422, -0.1633739, -0.2563687, -0.7720986, -0.2704938, 3.079603, 3.424564, -0.5881491, -0.4002028, 0.09989855, 0.07404938, -0.8610082, -0.2820788, 0.5911208, 0.5450109, -0.5417124, -0.1056801, -0.1789979
 71987714, -0.6044815, -0.4874476, -0.1303674, -0.130195, -0.8008798, -0.2804622, 3.035015, 3.407629, -0.5753462, -0.3856207, 0.1254481, 0.1181793, -0.8450959, -0.2919458, 0.548678, 0.4998628, -0.5413407, -0.06604038, -0.05142031
 71987751, -0.599717, -0.4717554, -0.2319275, -0.249582, -0.8153008, -0.2907644, 2.992026, 3.388657, -0.5766822, -0.4244104, 0.1144582, 0.06475478, -0.841981, -0.2957782, 0.4829074, 0.4662964, -0.542567, -0.1640811, -0.1817355
 71987782, -0.5993201, -0.4847977, -0.2133075, -0.2787159, -0.8122935, -0.3047206, 3.000263, 3.383745, -0.6070222, -0.4161693, 0.1236319, 0.06535476, -0.8226244, -0.2968649, 0.4553911, 0.444572, -0.5458009, -0.1495811, -0.2097692
 71987815, -0.5977499, -0.5600138, -0.3150294, -0.2905041, -0.8192317, -0.3108561, 3.041787, 3.395451, -0.613709, -0.4403233, 0.02957293, 0.01860389, -0.8148788, -0.3010212, 0.4265184, 0.4328319, -0.548723, -0.2688586, -0.2723896
 71987851, -0.5833579, -0.4800375, -0.4230668, -0.4333253, -0.8061684, -0.3318751, 3.091635, 3.431761, -0.617565, -0.4268705, -0.03015077, 0.003926307, -0.8104216, -0.3133336, 0.3873065, 0.4221954, -0.542775, -0.3436193, -0.3672374
 71987883, -0.5957124, -0.4599538, -0.5354569, -0.5397017, -0.8051589, -0.3440951, 3.192278, 3.460916, -0.6166925, -0.4225895, -0.1101685, -0.09296601, -0.8080264, -0.3334361, 0.3677697, 0.4130883, -0.5448663, -0.4678953, -0.466549
 71987919, -0.5914719, -0.4475042, -0.6536487, -0.6613596, -0.7960104, -0.3469036, 3.269778, 3.496429, -0.618369, -0.4233022, -0.228851, -0.2112654, -0.795129, -0.3325504, 0.3396959, 0.3933573, -0.5411803, -0.5866098, -0.5951141
 71987951, -0.5952559, -0.4649004, -0.7169212, -0.7452688, -0.801009, -0.3477629, 3.292136, 3.511486, -0.6216521, -0.431234, -0.2973293, -0.3085984, -0.7844673, -0.3434751, 0.3149174, 0.3512033, -0.5379729, -0.6602027, -0.67203
