TimeStamp,FootLeft_x,FootRight_x,FootLeft_y,FootRight_y,WristLeft_x,WristRight_x,WristLeft_z,WristRight_z,KneeLeft_x,KneeRight_x,KneeLeft_y,KneeRight_y,ElbowLeft_x,ElbowRight_x,ElbowLeft_y,ElbowRight_y,Spine_y,AnkleLeft_y,AnkleRight_y
63932050, -0.3361019, -0.1411417, -0.7322701, -0.7271214, -0.7590125, 0.4840982, 3.212588, 3.27024, -0.291568, -0.08243754, -0.2518421, -0.2567187, -0.5924998, 0.2422176, 0.5441062, 0.5506757, -0.1448312, -0.6431075, -0.6328241
 63932078, -0.3366588, -0.1415831, -0.7325571, -0.728923, -0.7455647, 0.4797822, 3.264865, 3.306255, -0.2905322, -0.0830088, -0.2563101, -0.2606158, -0.5878626, 0.2402191, 0.4987412, 0.5141118, -0.1457644, -0.6432544, -0.6344298
 63932114, -0.3360777, -0.1429308, -0.7322901, -0.7322713, -0.754606, 0.4868424, 3.328728, 3.357899, -0.2938539, -0.08375502, -0.2581804, -0.2620096, -0.5811023, 0.239523, 0.4722847, 0.4936918, -0.1486596, -0.6429842, -0.6383846
 63932147, -0.3367875, -0.1403545, -0.732147, -0.7295586, -0.7769064, 0.4802099, 3.368858, 3.437284, -0.2965218, -0.08289435, -0.2651053, -0.2621152, -0.5761768, 0.2394031, 0.4665179, 0.4894337, -0.1539381, -0.6459275, -0.6355395
 63932179, -0.3377665, -0.1415808, -0.7339555, -0.7284535, -0.7988738, 0.4747988, 3.425059, 3.478679, -0.2963682, -0.08300386, -0.2637026, -0.2640445, -0.5894846, 0.2495122, 0.464954, 0.4955691, -0.1567959, -0.6466084, -0.6354861
 63932214, -0.3346443, -0.1516363, -0.7336378, -0.7272521, -0.8171115, 0.4921108, 3.479723, 3.556901, -0.2962314, -0.08212329, -0.2617716, -0.2625217, -0.6119123, 0.2572786, 0.4893328, 0.5038534, -0.1617269, -0.6461992, -0.63465
 63932247, -0.3370519, -0.151758, -0.7345214, -0.7268748, -0.8584963, 0.4933242, 3.490639, 3.572272, -0.2964053, -0.0821167, -0.2606029, -0.2624398, -0.6277324, 0.2670738, 0.5172946, 0.5466539, -0.1728295, -0.6462826, -0.6322755
 63932278, -0.3382921, -0.1453626, -0.7342532, -0.7258468, -0.8709611, 0.5100268, 3.49526, 3.585391, -0.2964645, -0.08197321, -0.2603044, -0.2626158, -0.629504, 0.276414, 0.5569772, 0.5648969, -0.1724313, -0.6462811, -0.6331028
 63932318, -0.3385266, -0.1445401, -0.7340178, -0.7269046, -0.9074451, 0.5150381, 3.487925, 3.578019, -0.2962582, -0.0822613, -0.2582312, -0.2622448, -0.6420235, 0.2864078, 0.5929032, 0.6064258, -0.1734825, -0.646351, -0.6346309
 63932349, -0.3384096, -0.1467676, -0.7342129, -0.7283753, -0.9067154, 0.5171951, 3.495192, 3.569278, -0.2961944, -0.08246664, -0.2575456, -0.2622913, -0.6771863, 0.2898522, 0.6287757, 0.6138155, -0.1742253, -0.6459836, -0.6350188
 63932383, -0.3379836, -0.1469503, -0.7346218, -0.7289693, -0.8868956, 0.5158979, 3.480834, 3.553572, -0.2964111, -0.08232376, -0.2588578, -0.2614319, -0.6651027, 0.2894314, 0.6508185, 0.6350374, -0.1745736, -0.6472427, -0.6360423
 63932417, -0.3382378, -0.149298, -0.7342035, -0.7301055, -0.8832766, 0.5079045, 3.473442, 3.525997, -0.2957696, -0.08242175, -0.2582023, -0.2611512, -0.6619582, 0.2885609, 0.6604865, 0.6468372, -0.1739112, -0.6469232, -0.6348878
 63932451, -0.3393532, -0.1484817, -0.7345295, -0.7307234, -0.8863659, 0.5013135, 3.442931, 3.459662, -0.2959657, -0.08252043, -0.2576539, -0.2608152, -0.6695241, 0.2864396, 0.6758833, 0.6539668, -0.1720845, -0.6469573, -0.6357901
 63932483, -0.3387905, -0.1469228, -0.733009, -0.7296271, -0.8752989, 0.5043863, 3.418605, 3.44936, -0.2959857, -0.08392446, -0.2578708, -0.2618475, -0.6616164, 0.2850882, 0.672332, 0.65366, -0.1687939, -0.6475074, -0.6363783
 63932517, -0.338794, -0.147027, -0.7331101, -0.730318, -0.8793567, 0.5239744, 3.368161, 3.390234, -0.2972183, -0.08418263, -0.25969, -0.2615867, -0.6714679, 0.2815447, 0.6650096, 0.6450145, -0.167573, -0.6482943, -0.6374149
 63932551, -0.3392011, -0.147255, -0.7300046, -0.7292448, -0.8718115, 0.4892926, 3.319433, 3.34951, -0.2991642, -0.08726044, -0.2580412, -0.2618805, -0.6478162, 0.2765605, 0.6423901, 0.6106665, -0.1666207, -0.6455976, -0.6365784
 63932583, -0.3395686, -0.1526621, -0.7306171, -0.7274086, -0.8288509, 0.4799835, 3.329876, 3.32904, -0.2996843, -0.08879688, -0.2578302, -0.2609288, -0.6370173, 0.2711719, 0.5989959, 0.5919371, -0.1606208, -0.6454515, -0.6356027
 63932618, -0.3388223, -0.151651, -0.7320695, -0.7279299, -0.8224213, 0.4889987, 3.323952, 3.325514, -0.3005268, -0.08975656, -0.2587965, -0.2614833, -0.6216784, 0.2871448, 0.5652635, 0.5530792, -0.1602464, -0.6473666, -0.6357411
 63932649, -0.3393611, -0.1517151, -0.7282385, -0.7273024, -0.8336446, 0.4843096, 3.348692, 3.364136, -0.3023347, -0.09087941, -0.2574504, -0.2619542, -0.6148337, 0.2318746, 0.546866, 0.549366, -0.1549437, -0.6420033, -0.63604
 63932682, -0.3398801, -0.1503196, -0.7274964, -0.7270042, -0.8353225, 0.4877099, 3.378254, 3.421293, -0.3084035, -0.09151684, -0.2588604, -0.2618855, -0.6260281, 0.2588345, 0.5267582, 0.5170606, -0.1551173, -0.6413291, -0.6360244
 63932717, -0.340198, -0.1488973, -0.7276126, -0.7287171, -0.8522708, 0.4910051, 3.439388, 3.476121, -0.3129547, -0.09412829, -0.2602539, -0.2607337, -0.6266892, 0.2565407, 0.5228675, 0.5174757, -0.1548711, -0.6412532, -0.6379703
 63932751, -0.3411661, -0.1488964, -0.7301466, -0.7287632, -0.8686835, 0.4895718, 3.485305, 3.53539, -0.3129255, -0.09460947, -0.2596233, -0.26065, -0.6385931, 0.260276, 0.5219137, 0.5191255, -0.1555365, -0.6418759, -0.638005
 63932790, -0.3411369, -0.1494425, -0.729825, -0.7305695, -0.8774462, 0.494173, 3.503878, 3.555982, -0.3141944, -0.09507859, -0.2606019, -0.2603193, -0.6413836, 0.2536359, 0.5444133, 0.543829, -0.155699, -0.6417954, -0.6396447
 63932820, -0.3413477, -0.1530957, -0.7301236, -0.7286904, -0.8848786, 0.4866922, 3.533891, 3.579891, -0.3143872, -0.09854122, -0.2605363, -0.2588406, -0.6466772, 0.2595069, 0.5651509, 0.5512271, -0.162194, -0.643261, -0.6358193
 63932850, -0.3410619, -0.1529522, -0.7294961, -0.7262928, -0.914004, 0.4991977, 3.530381, 3.614753, -0.3152739, -0.09913983, -0.2615347, -0.2592034, -0.6582974, 0.2735737, 0.6039206, 0.5855137, -0.1628025, -0.6427919, -0.6357111
 63932882, -0.3410534, -0.1542794, -0.7293153, -0.7256567, -0.9324937, 0.5021346, 3.538823, 3.620648, -0.3160234, -0.09943563, -0.2615668, -0.2583542, -0.6851828, 0.2782234, 0.6502061, 0.6108854, -0.1623228, -0.6425147, -0.6342649
 63932918, -0.3413623, -0.1538486, -0.7294034, -0.7265578, -0.9168373, 0.5120401, 3.525473, 3.591797, -0.316167, -0.0993027, -0.261033, -0.2593738, -0.6823334, 0.2845573, 0.6662222, 0.6326133, -0.1639689, -0.6421496, -0.6349027
 63932951, -0.3416881, -0.1473031, -0.7283672, -0.7273266, -0.912416, 0.5134222, 3.510884, 3.583189, -0.3161862, -0.09946289, -0.2609612, -0.261428, -0.6828235, 0.2911566, 0.6911634, 0.6512257, -0.1650045, -0.6406273, -0.6363983
 63932982, -0.3411973, -0.1473989, -0.7306539, -0.7271135, -0.9178787, 0.5127948, 3.479046, 3.578182, -0.3165808, -0.09953604, -0.262224, -0.2616121, -0.7008272, 0.2782956, 0.7144331, 0.6696446, -0.1652983, -0.6462147, -0.636651
 63933017, -0.3413056, -0.1474335, -0.7302271, -0.7266113, -0.9093485, 0.4992152, 3.466726, 3.525488, -0.3167531, -0.09906955, -0.261972, -0.2619757, -0.691713, 0.2768635, 0.7120123, 0.6765999, -0.1659463, -0.6452968, -0.6365666
 63933050, -0.3404968, -0.147559, -0.7303452, -0.7269424, -0.9030249, 0.4995348, 3.450071, 3.484088, -0.3168924, -0.09969963, -0.2628855, -0.2645999, -0.6867788, 0.2856161, 0.7102108, 0.6766287, -0.1656682, -0.645723, -0.6366062
 63933080, -0.3407969, -0.1481552, -0.7277926, -0.7260707, -0.8998158, 0.4965822, 3.394866, 3.433634, -0.3172523, -0.1009202, -0.2633103, -0.2649527, -0.6904705, 0.2831904, 0.7057209, 0.6635186, -0.165028, -0.6419395, -0.6360701
 63933120, -0.3410775, -0.1488908, -0.7272661, -0.7269205, -0.90393, 0.4960156, 3.348674, 3.388834, -0.3182648, -0.1008728, -0.2637973, -0.2651983, -0.7009629, 0.2735511, 0.6661925, 0.6414661, -0.1649705, -0.6417596, -0.6362786
 63933152, -0.3420616, -0.1490889, -0.7282743, -0.7277803, -0.8795516, 0.4844779, 3.333346, 3.349667, -0.3184293, -0.1018511, -0.2645639, -0.2648741, -0.6599422, 0.2735814, 0.6316642, 0.6070912, -0.163312, -0.6419144, -0.6376659
 63933181, -0.3415619, -0.1482033, -0.7240545, -0.7295004, -0.8530556, 0.4752774, 3.342283, 3.347771, -0.3182048, -0.1028322, -0.2655455, -0.26517, -0.6435794, 0.2635248, 0.5973256, 0.5795474, -0.1623014, -0.6379373, -0.6384413
 63933214, -0.3415747, -0.147937, -0.7246493, -0.7297547, -0.8515242, 0.4738783, 3.36526, 3.357882, -0.3185827, -0.1036119, -0.265614, -0.2653058, -0.6401654, 0.2324468, 0.5608975, 0.5457845, -0.1615736, -0.6390357, -0.6384858
 63933246, -0.3419048, -0.1510355, -0.7243943, -0.7297229, -0.8512007, 0.4739635, 3.401691, 3.406824, -0.3194236, -0.1033754, -0.2656457, -0.2635373, -0.6389906, 0.2382472, 0.5413637, 0.5301376, -0.1618116, -0.6402343, -0.6370709
 63933279, -0.3419698, -0.1492202, -0.7251623, -0.7284835, -0.8670767, 0.471684, 3.450029, 3.438442, -0.3191575, -0.1034274, -0.2672929, -0.2632644, -0.639538, 0.2286245, 0.5289811, 0.5207137, -0.1622462, -0.6405516, -0.6366991
 63933315, -0.341051, -0.1486413, -0.7279277, -0.7277244, -0.8767351, 0.479794, 3.485895, 3.502039, -0.3218796, -0.104107, -0.2689275, -0.2621324, -0.6472874, 0.2316518, 0.5291256, 0.5146401, -0.1629957, -0.6435269, -0.6368209
 63933347, -0.340673, -0.1488217, -0.7294939, -0.7279991, -0.8874592, 0.4762194, 3.536589, 3.555742, -0.32278, -0.1043791, -0.2685987, -0.2616855, -0.6481182, 0.2412858, 0.5453832, 0.5177639, -0.1653872, -0.6449389, -0.6367756
 63933382, -0.3359643, -0.1479729, -0.7302003, -0.728805, -0.8895725, 0.4863521, 3.555465, 3.570217, -0.3232403, -0.1044058, -0.2686611, -0.2616084, -0.6538271, 0.2434459, 0.563853, 0.5305406, -0.1671728, -0.6451936, -0.6363993
 63933415, -0.3361447, -0.1460514, -0.7300089, -0.7274172, -0.9246214, 0.4915971, 3.548264, 3.590642, -0.3234984, -0.1046279, -0.2669159, -0.2615748, -0.6515356, 0.2632805, 0.5989721, 0.572808, -0.1719032, -0.6448619, -0.6361732
 63933446, -0.3380351, -0.1458871, -0.7280599, -0.7274635, -0.9305212, 0.4993936, 3.550774, 3.589229, -0.3235686, -0.1051256, -0.2668721, -0.2615629, -0.6995448, 0.2685173, 0.6282592, 0.5927168, -0.1728968, -0.64421, -0.6365004
 63933482, -0.3387888, -0.1461079, -0.728868, -0.7278489, -0.9409036, 0.5008109, 3.528521, 3.579439, -0.3240353, -0.1051849, -0.2671629, -0.2616756, -0.6979117, 0.2718655, 0.6576009, 0.6139174, -0.1737607, -0.6445435, -0.6367636
 63933515, -0.3388358, -0.1458711, -0.729748, -0.7291445, -0.9204991, 0.4984555, 3.502028, 3.563864, -0.3244, -0.1052366, -0.2680521, -0.2616094, -0.677925, 0.2698482, 0.6722104, 0.6247492, -0.1753293, -0.6452079, -0.6384886
 63933547, -0.3400103, -0.1454269, -0.7310864, -0.728863, -0.9137692, 0.506534, 3.492184, 3.551361, -0.3241469, -0.1055644, -0.2677171, -0.2616675, -0.6733934, 0.2681368, 0.6805736, 0.6638913, -0.1749835, -0.6456353, -0.6382972
 63933582, -0.3410637, -0.1453317, -0.7326625, -0.7250981, -0.8704731, 0.4992223, 3.476572, 3.510428, -0.3244938, -0.1056239, -0.2665684, -0.261258, -0.6573786, 0.270499, 0.6900064, 0.6758878, -0.176597, -0.6455598, -0.635564
 63933614, -0.3399651, -0.1454234, -0.7319076, -0.7248812, -0.8923295, 0.4897044, 3.458162, 3.450565, -0.3249538, -0.1052618, -0.2676001, -0.2611938, -0.6755818, 0.2766986, 0.6967401, 0.6800112, -0.1772, -0.647593, -0.6355038
 63933647, -0.338697, -0.1452438, -0.7311339, -0.7251476, -0.8887236, 0.4882818, 3.406401, 3.42863, -0.3242792, -0.105342, -0.2663926, -0.2567259, -0.6835735, 0.2800083, 0.6945202, 0.6816118, -0.1767079, -0.6470311, -0.6358928
 63933682, -0.3389913, -0.1451631, -0.7322727, -0.7271627, -0.8703836, 0.4905077, 3.382405, 3.398928, -0.3240288, -0.1059714, -0.2664828, -0.2568157, -0.6674504, 0.2727058, 0.6818428, 0.673157, -0.1742451, -0.6475526, -0.6361787
 63933715, -0.3392634, -0.1453483, -0.7323789, -0.7262939, -0.8896192, 0.4835515, 3.353629, 3.355337, -0.3237916, -0.1066051, -0.2662582, -0.2588859, -0.6888626, 0.2530384, 0.6464129, 0.6438011, -0.1739413, -0.64762, -0.6358265
 63933751, -0.3394714, -0.1452622, -0.7329062, -0.7275268, -0.8824131, 0.4756062, 3.352298, 3.346801, -0.3236703, -0.1064324, -0.2642005, -0.2589608, -0.6658055, 0.2591623, 0.6095455, 0.6175801, -0.1738515, -0.6478029, -0.6370554
 63933788, -0.3380401, -0.1450024, -0.7323728, -0.7278489, -0.8682202, 0.4803815, 3.365869, 3.362555, -0.3213902, -0.1065016, -0.2625014, -0.2589146, -0.6516103, 0.2499481, 0.5978667, 0.5972543, -0.1720204, -0.6477821, -0.6369513
 63933820, -0.3388034, -0.1449499, -0.732997, -0.7283418, -0.8732091, 0.4799652, 3.41976, 3.409393, -0.3212372, -0.1063179, -0.262798, -0.2590773, -0.6495872, 0.2411179, 0.5762626, 0.5634409, -0.1723824, -0.6470478, -0.6372599
 63933857, -0.3390066, -0.145432, -0.7337298, -0.7266472, -0.8674126, 0.4859093, 3.46027, 3.431401, -0.3212295, -0.105602, -0.2636754, -0.2595769, -0.645398, 0.2432809, 0.5688327, 0.5579139, -0.1714438, -0.6485488, -0.6373898
 63933887, -0.3392342, -0.1455437, -0.7336511, -0.7265406, -0.8615173, 0.4850371, 3.484169, 3.511827, -0.319933, -0.1046205, -0.2638165, -0.2609281, -0.6533999, 0.2417347, 0.5603794, 0.553781, -0.1714923, -0.6483425, -0.6371962
 63933920, -0.3391744, -0.1462581, -0.7339857, -0.726062, -0.8716137, 0.4904889, 3.547349, 3.557331, -0.3207968, -0.1034992, -0.2676493, -0.2611414, -0.6549566, 0.2496301, 0.5649816, 0.5487648, -0.1713948, -0.6495997, -0.636764
 63933951, -0.3390827, -0.1473468, -0.7357008, -0.7263448, -0.8895423, 0.4899708, 3.571386, 3.559015, -0.3208234, -0.1026225, -0.2693325, -0.2615044, -0.6569842, 0.2498661, 0.5757487, 0.556776, -0.1717726, -0.6516698, -0.6372375
 63933986, -0.3408496, -0.1470383, -0.7369135, -0.7258802, -0.9083062, 0.4883127, 3.580861, 3.608759, -0.3190043, -0.1021108, -0.269287, -0.2616889, -0.6602669, 0.2589527, 0.6065581, 0.5768129, -0.1718612, -0.6516564, -0.6371903
 63934016, -0.3393596, -0.1471615, -0.7373156, -0.7273422, -0.91836, 0.5066594, 3.570873, 3.614029, -0.3188918, -0.09974013, -0.2695529, -0.260267, -0.6663842, 0.2760183, 0.616514, 0.6084899, -0.1741468, -0.6529455, -0.6390891
 63934046, -0.3395336, -0.148094, -0.7381659, -0.7265639, -0.9357296, 0.505312, 3.561249, 3.603724, -0.3186932, -0.09809443, -0.2696449, -0.2593032, -0.6986113, 0.2765888, 0.6487787, 0.6166857, -0.1738145, -0.6531434, -0.6391323
 63934085, -0.3390262, -0.1492067, -0.7362133, -0.726596, -0.9287499, 0.5006499, 3.54136, 3.601299, -0.3184046, -0.09677424, -0.270178, -0.2616185, -0.6716592, 0.2693544, 0.6775979, 0.6526061, -0.1727264, -0.6507199, -0.6390479
 63934117, -0.3393516, -0.1485361, -0.7359793, -0.7274829, -0.8961689, 0.5135382, 3.534166, 3.603293, -0.3179943, -0.09614483, -0.269613, -0.2618223, -0.6735001, 0.2752444, 0.682981, 0.6666775, -0.1738869, -0.6506672, -0.6396288
 63934149, -0.3404556, -0.1482285, -0.7376408, -0.7296389, -0.9071445, 0.5099285, 3.486376, 3.584599, -0.3168471, -0.09620376, -0.2668315, -0.2632385, -0.6721117, 0.2762871, 0.6857648, 0.681663, -0.1745763, -0.6507677, -0.6406305
 63934184, -0.3345298, -0.148238, -0.7367169, -0.7294063, -0.8741602, 0.5152042, 3.478994, 3.565284, -0.3165787, -0.09585494, -0.2653179, -0.2629333, -0.6536613, 0.2794748, 0.6898554, 0.6873059, -0.1712434, -0.6494359, -0.6405311
 63934215, -0.3359607, -0.1484267, -0.7373646, -0.7299864, -0.9052718, 0.515941, 3.437664, 3.536725, -0.3163508, -0.09356381, -0.2658207, -0.2605708, -0.6514153, 0.2798538, 0.6890761, 0.6857902, -0.1709416, -0.651349, -0.6406842
 63934249, -0.3386043, -0.1476942, -0.7370295, -0.7285614, -0.8874332, 0.5123071, 3.403169, 3.463426, -0.3152159, -0.09320353, -0.2629356, -0.2609224, -0.6475544, 0.2808167, 0.6844044, 0.6840016, -0.1688142, -0.6512179, -0.6400763
 63934286, -0.3385818, -0.1488131, -0.7372083, -0.7259132, -0.887513, 0.5179079, 3.372812, 3.454222, -0.3148937, -0.09192514, -0.2640935, -0.2607235, -0.6457986, 0.2906674, 0.6695748, 0.6523257, -0.1673855, -0.6516752, -0.6375525
 63934316, -0.3369712, -0.1488167, -0.7353317, -0.7262177, -0.8764301, 0.5019159, 3.369062, 3.418494, -0.3148103, -0.09208222, -0.263408, -0.2608532, -0.6641622, 0.2874752, 0.6459362, 0.6338109, -0.1625717, -0.6497216, -0.6374123
 63934350, -0.3371331, -0.1475249, -0.7364154, -0.7302553, -0.8508223, 0.502521, 3.389099, 3.423481, -0.3117256, -0.09217197, -0.2641099, -0.2613764, -0.6448446, 0.2818725, 0.6140822, 0.614886, -0.1588519, -0.6529738, -0.6402068
 63934385, -0.3371937, -0.1486278, -0.7362955, -0.7308407, -0.8556174, 0.495979, 3.403651, 3.440474, -0.3096423, -0.09230693, -0.2641628, -0.2616529, -0.6346856, 0.2751259, 0.6061921, 0.5991408, -0.1583972, -0.6531354, -0.6391641
 63934416, -0.3396384, -0.1480137, -0.7386965, -0.7309477, -0.8622068, 0.4930979, 3.44904, 3.445992, -0.3087512, -0.09349982, -0.2629363, -0.2644051, -0.6292244, 0.2716099, 0.5989721, 0.5843716, -0.1573585, -0.6528765, -0.6390969
 63934449, -0.3397566, -0.1483428, -0.7378447, -0.7306496, -0.8677524, 0.4940321, 3.462766, 3.497346, -0.3085474, -0.09279148, -0.2615585, -0.2642157, -0.6245847, 0.2697354, 0.5905094, 0.5766108, -0.1565396, -0.6518949, -0.6397879
 63934485, -0.3396309, -0.1492325, -0.7389119, -0.7339476, -0.8771951, 0.5033265, 3.494853, 3.54873, -0.3052664, -0.09133515, -0.2606602, -0.2636296, -0.626134, 0.2602393, 0.5926707, 0.5747944, -0.1561009, -0.6515802, -0.6423767
 63934516, -0.3347779, -0.146752, -0.7376425, -0.7321845, -0.872031, 0.5023319, 3.534316, 3.562973, -0.3041629, -0.08863229, -0.2586255, -0.2638925, -0.6410243, 0.2702922, 0.5990227, 0.5772123, -0.1561015, -0.6503138, -0.6418567
 63934550, -0.3354397, -0.1465731, -0.7411926, -0.7311619, -0.9119846, 0.5051937, 3.550949, 3.567744, -0.2987469, -0.08693749, -0.2588826, -0.2640224, -0.6451563, 0.2752776, 0.6148692, 0.5866258, -0.1562509, -0.6521775, -0.6409541
 63934585, -0.3311785, -0.1465307, -0.7420721, -0.7309242, -0.8982219, 0.5138437, 3.567905, 3.587607, -0.295757, -0.08463521, -0.259956, -0.2627272, -0.6467109, 0.2828534, 0.6231085, 0.6014972, -0.1552654, -0.6528555, -0.6406054
 63934618, -0.33354, -0.1453307, -0.7402478, -0.7308413, -0.9154249, 0.5132852, 3.562163, 3.584601, -0.2935523, -0.08383736, -0.2586296, -0.2628955, -0.6520532, 0.284695, 0.6513133, 0.6096749, -0.155609, -0.6530111, -0.6403645
 63934651, -0.334941, -0.1472757, -0.7434536, -0.7337618, -0.8837201, 0.5174439, 3.556751, 3.582899, -0.2909609, -0.08370532, -0.2607228, -0.2629209, -0.6495038, 0.2861846, 0.6670679, 0.6444997, -0.154657, -0.6584843, -0.6421884
 63934682, -0.3298984, -0.1476518, -0.7429734, -0.7329298, -0.8838972, 0.5291166, 3.554963, 3.576311, -0.2887891, -0.08271485, -0.2616037, -0.2639148, -0.6527714, 0.2898747, 0.6823521, 0.6599274, -0.1533632, -0.6583024, -0.642305
 63934716, -0.2832423, -0.1493233, -0.7390724, -0.7312903, -0.878263, 0.528431, 3.541164, 3.567864, -0.2861, -0.08268113, -0.2629893, -0.2642099, -0.6532047, 0.2965392, 0.6926067, 0.680759, -0.1530873, -0.661383, -0.6422148
 63934750, -0.2768679, -0.1483038, -0.7416931, -0.7311956, -0.8752922, 0.5243636, 3.500699, 3.52763, -0.2826231, -0.08265097, -0.2607942, -0.2642633, -0.6589803, 0.3019943, 0.7015269, 0.687168, -0.1538868, -0.6603634, -0.642198
