TimeStamp,FootLeft_x,FootRight_x,FootLeft_y,FootRight_y,WristLeft_x,WristRight_x,WristLeft_z,WristRight_z,KneeLeft_x,KneeRight_x,KneeLeft_y,KneeRight_y,ElbowLeft_x,ElbowRight_x,ElbowLeft_y,ElbowRight_y,Spine_y,AnkleLeft_y,AnkleRight_y
64275308, -0.04639604, 0.1036066, -0.6306643, -0.763413, -0.2678393, 0.2377647, 3.216712, 2.840244, -0.06241605, 0.1044687, -0.2472315, -0.287124, -0.2404875, 0.2489565, 0.4143705, 0.3920289, 0.04181701, -0.5842898, -0.6947898
 64275338, -0.04238199, 0.1012906, -0.6317659, -0.7677811, -0.2694739, 0.2387705, 3.240942, 2.83836, -0.06182045, 0.1045602, -0.2478621, -0.2852701, -0.2311954, 0.2582889, 0.4173867, 0.3933195, 0.04725223, -0.5851117, -0.6952015
 64275372, -0.02636431, 0.1030203, -0.6750935, -0.7650231, -0.2768452, 0.2488268, 3.300587, 2.810176, -0.06534559, 0.1034522, -0.2567162, -0.2852334, -0.2276314, 0.286356, 0.4250655, 0.3738706, 0.05360468, -0.5890244, -0.69593
 64275404, -0.04298821, 0.09820437, -0.6685356, -0.760998, -0.2702262, 0.2029317, 3.332945, 2.802565, -0.06876105, 0.1025198, -0.2555459, -0.2862481, -0.2263493, 0.2909988, 0.4330157, 0.3724264, 0.06103066, -0.5855231, -0.6891526
 64275437, -0.06186625, 0.08737197, -0.678716, -0.7459772, -0.2678577, 0.2009114, 3.36751, 2.809957, -0.07449855, 0.09960715, -0.252035, -0.2831148, -0.2209106, 0.2964278, 0.4576992, 0.35954, 0.06571156, -0.5933855, -0.6656679
 64275473, -0.09736173, 0.08432187, -0.6875458, -0.7353853, -0.2625821, 0.155597, 3.37853, 2.755835, -0.07820559, 0.0936877, -0.2481204, -0.2735253, -0.2254208, 0.2792069, 0.4663567, 0.4088693, 0.06645877, -0.603089, -0.6530463
 64275505, -0.1211614, 0.08337018, -0.7031937, -0.7307687, -0.2810943, 0.1534914, 3.431796, 2.799599, -0.08543685, 0.09222984, -0.2388408, -0.2682397, -0.2299228, 0.2713355, 0.4745541, 0.406412, 0.06496207, -0.6112599, -0.6466655
 64275535, -0.1372244, 0.08313353, -0.7099973, -0.7310708, -0.2930546, 0.1345907, 3.417489, 2.754711, -0.09159403, 0.08863895, -0.2351439, -0.2644036, -0.2318433, 0.2656743, 0.4811979, 0.4040756, 0.06208603, -0.6157553, -0.6419048
 64275570, -0.150493, 0.08284947, -0.7139686, -0.7295982, -0.3080459, 0.1608479, 3.432634, 2.80053, -0.1021081, 0.08264088, -0.2341717, -0.2623684, -0.2389275, 0.2630129, 0.4843886, 0.4050874, 0.05667872, -0.6281755, -0.6393685
 64275602, -0.1682686, 0.08285023, -0.7249257, -0.7295989, -0.3341532, 0.1608725, 3.410348, 2.798894, -0.1171555, 0.079887, -0.2361479, -0.2624088, -0.2561483, 0.2479395, 0.4845876, 0.4167909, 0.05168948, -0.6317671, -0.6386641
 64275634, -0.1763672, 0.08268995, -0.7211105, -0.7290025, -0.3476813, 0.1311484, 3.399717, 2.723055, -0.1267562, 0.07739726, -0.2375521, -0.2616383, -0.2658536, 0.224264, 0.4774262, 0.4274943, 0.03874386, -0.6306245, -0.636373
