TimeStamp,FootLeft_x,FootRight_x,FootLeft_y,FootRight_y,WristLeft_x,WristRight_x,WristLeft_z,WristRight_z,KneeLeft_x,KneeRight_x,KneeLeft_y,KneeRight_y,ElbowLeft_x,ElbowRight_x,ElbowLeft_y,ElbowRight_y,Spine_y,AnkleLeft_y,AnkleRight_y
64383459, -0.3688136, 0.005359203, -0.7128043, -0.7258112, -0.3633407, 0.1642635, 3.243022, 3.15192, -0.2581534, 0.007997405, -0.2465019, -0.2418641, -0.3585988, 0.1226561, 0.3905444, 0.4245647, -0.037887, -0.6183203, -0.6136498
 64383501, -0.3678015, 0.007132395, -0.7136821, -0.7161866, -0.3515242, 0.1666595, 3.24582, 3.268971, -0.256372, 0.01259562, -0.2477542, -0.2418893, -0.3500556, 0.1300349, 0.3907349, 0.3985765, -0.03358332, -0.6203997, -0.6030046
 64383529, -0.3661426, 0.009560565, -0.7127119, -0.7150057, -0.3465528, 0.1688939, 3.250715, 3.283303, -0.2542481, 0.01563388, -0.2450462, -0.2420871, -0.3416469, 0.1470072, 0.3894976, 0.3633477, -0.0274456, -0.6228242, -0.6025723
 64383559, -0.3664506, 0.008501599, -0.7126574, -0.7168412, -0.3420457, 0.1725051, 3.251453, 3.316316, -0.2542947, 0.01803357, -0.2455088, -0.2422611, -0.3295069, 0.1455444, 0.3950098, 0.3303354, -0.01964605, -0.6252322, -0.6047057
 64383597, -0.3676307, 0.008494183, -0.7107041, -0.7169874, -0.3397941, 0.1742699, 3.25107, 3.335717, -0.2547948, 0.01785779, -0.2448014, -0.2433433, -0.325152, 0.1472428, 0.3984348, 0.3273967, -0.01544663, -0.6241478, -0.604841
 64383628, -0.3674461, 0.009028436, -0.7073219, -0.7146861, -0.3404178, 0.1824797, 3.254581, 3.360224, -0.2544542, 0.01978079, -0.2421096, -0.2434635, -0.3216502, 0.1577708, 0.3983984, 0.321757, -0.01198218, -0.6233493, -0.6045884
 64383655, -0.3674679, 0.008638349, -0.7072589, -0.7152652, -0.3413824, 0.1852743, 3.261409, 3.365319, -0.2563956, 0.02159335, -0.2333131, -0.2454677, -0.318707, 0.1633428, 0.4005671, 0.3202277, -0.007460798, -0.6224004, -0.604976
 64383689, -0.3688645, 0.007478535, -0.7065731, -0.7131808, -0.345429, 0.1873012, 3.270933, 3.37494, -0.261565, 0.02162931, -0.2248999, -0.2453592, -0.318139, 0.1670703, 0.4020168, 0.3182869, -0.003689535, -0.6198322, -0.6032234
 64383724, -0.3711711, 0.008307224, -0.7043762, -0.7126728, -0.3498052, 0.1881116, 3.276984, 3.378754, -0.2628576, 0.02063442, -0.2243099, -0.2462044, -0.3177655, 0.171652, 0.4035746, 0.3237874, -0.002853811, -0.6191578, -0.6031429
 64383758, -0.377338, 0.008229027, -0.709501, -0.7081047, -0.3581665, 0.1875972, 3.292766, 3.381258, -0.2664524, 0.01915078, -0.2296058, -0.2451911, -0.3173574, 0.1757725, 0.403354, 0.3301523, -0.002540258, -0.6198254, -0.5971961
 64383808, -0.3774414, 0.007850732, -0.7088183, -0.7086644, -0.3614315, 0.1878883, 3.304084, 3.380506, -0.2682978, 0.01864323, -0.230495, -0.2459502, -0.3200805, 0.1787678, 0.4026638, 0.3360249, -0.003866044, -0.6215672, -0.5978323
 64383858, -0.389865, 0.006518892, -0.7133874, -0.7105392, -0.3787104, 0.1883979, 3.328394, 3.359726, -0.2797362, 0.01791903, -0.2440401, -0.2456713, -0.3307283, 0.1784014, 0.3954521, 0.3358325, -0.006576237, -0.6222807, -0.5994742
 64383892, -0.3995335, 0.005881433, -0.7255512, -0.7110448, -0.3914312, 0.188958, 3.334574, 3.354708, -0.2841121, 0.01700316, -0.24888, -0.2455728, -0.3390212, 0.1721771, 0.3930952, 0.3352147, -0.0170476, -0.6259131, -0.5998635
 64383924, -0.390231, 0.007687029, -0.7264534, -0.7101507, -0.3928597, 0.1875112, 3.335351, 3.344746, -0.2852174, 0.0154732, -0.2550929, -0.2444007, -0.343375, 0.1671931, 0.3915008, 0.3336842, -0.02669161, -0.6262018, -0.5991422
 64383957, -0.3919264, 0.006689632, -0.7280822, -0.7118644, -0.3997256, 0.184631, 3.323396, 3.329488, -0.2868833, 0.01173837, -0.2605366, -0.2452586, -0.3547978, 0.1589987, 0.3837081, 0.3350832, -0.03038675, -0.6267912, -0.6013553
 64383991, -0.3903809, 0.006586056, -0.7233309, -0.7176267, -0.4061334, 0.1761711, 3.31753, 3.321928, -0.2932977, 0.0006687199, -0.2606955, -0.2432711, -0.3600084, 0.141735, 0.3840514, 0.3377401, -0.05515757, -0.6212819, -0.6066679
 64384039, -0.3889811, 0.005054379, -0.7209435, -0.7167439, -0.4094675, 0.1684214, 3.309319, 3.308404, -0.2974937, -0.004228412, -0.2595931, -0.2394848, -0.3707759, 0.1306253, 0.3769376, 0.3486663, -0.06615171, -0.6195202, -0.6064169
 64384070, -0.3903465, 0.004797019, -0.7206904, -0.7172683, -0.4189057, 0.1608404, 3.288046, 3.308951, -0.3058334, -0.007218927, -0.2625512, -0.2390546, -0.3823737, 0.1250237, 0.3718147, 0.3491702, -0.07107473, -0.6207275, -0.6065682
 64384097, -0.3892991, 0.004526913, -0.7123449, -0.720283, -0.4216462, 0.1451899, 3.282326, 3.301624, -0.3084937, -0.01500538, -0.2613459, -0.2422504, -0.399092, 0.1149923, 0.3832055, 0.3476982, -0.08004761, -0.6123597, -0.609508
 64384122, -0.3888331, 0.0030496, -0.710851, -0.7211113, -0.4243745, 0.129762, 3.270641, 3.307116, -0.3132689, -0.02291967, -0.2597262, -0.2452998, -0.4061111, 0.09876548, 0.3847004, 0.3458408, -0.1027345, -0.6122067, -0.60948
 64384156, -0.3887718, 0.001806995, -0.7082608, -0.7205338, -0.4274753, 0.1096994, 3.261967, 3.288425, -0.3184454, -0.0260457, -0.259196, -0.2466706, -0.4168796, 0.0867712, 0.3883834, 0.3549216, -0.1169792, -0.6092753, -0.6072691
 64384188, -0.3936377, 0.003808926, -0.7136623, -0.7251046, -0.432097, 0.1009754, 3.253268, 3.292272, -0.3270258, -0.03366886, -0.254164, -0.2487147, -0.4258424, 0.07552339, 0.3906682, 0.3684815, -0.1291155, -0.6087546, -0.6125959
 64384220, -0.3921429, 0.001882312, -0.7098219, -0.7222153, -0.4371431, 0.09484903, 3.246166, 3.293069, -0.33508, -0.03661262, -0.2529299, -0.248991, -0.4326924, 0.0708696, 0.3945129, 0.3700475, -0.1384657, -0.6072232, -0.6108486
 64384252, -0.3937603, 0.001395462, -0.7094935, -0.7217484, -0.4478208, 0.07730658, 3.239673, 3.290108, -0.3435528, -0.04921066, -0.253666, -0.2463502, -0.4487778, 0.05995962, 0.398698, 0.3696649, -0.1568745, -0.6071334, -0.6127158
 64384286, -0.3955486, 0.001123836, -0.7129751, -0.7212732, -0.4518332, 0.06971469, 3.236528, 3.291548, -0.347544, -0.05365595, -0.2535255, -0.2465255, -0.4600323, 0.0519923, 0.3960693, 0.37185, -0.1742957, -0.6120125, -0.6161655
 64384315, -0.3957136, 0.001126455, -0.7105717, -0.7211795, -0.4648249, 0.06447712, 3.233985, 3.291984, -0.3506864, -0.0652982, -0.2506733, -0.2446348, -0.4709564, 0.04414277, 0.3959987, 0.3716603, -0.1763837, -0.6089661, -0.6191207
 64384359, -0.3967091, 0.001877114, -0.7118658, -0.7217654, -0.4722173, 0.0476153, 3.232252, 3.292248, -0.3545511, -0.07250273, -0.2503003, -0.2433335, -0.4820522, 0.02137272, 0.3927585, 0.3776324, -0.1847627, -0.6096866, -0.6289794
 64384387, -0.3967232, -0.009422147, -0.7107587, -0.6775517, -0.4833676, 0.03861257, 3.229656, 3.289841, -0.3583959, -0.07631189, -0.2472936, -0.2450334, -0.4921451, 0.01192954, 0.3914958, 0.3709126, -0.1990954, -0.6092904, -0.6327243
 64384417, -0.3965198, -0.01254253, -0.7112305, -0.6819741, -0.4990874, 0.03300743, 3.225215, 3.291912, -0.3615524, -0.08040474, -0.2449978, -0.2458349, -0.5033716, 0.001356077, 0.389217, 0.3666262, -0.2022377, -0.6095499, -0.6368336
 64384457, -0.3986315, -0.01303254, -0.7100316, -0.683889, -0.5102041, 0.02613941, 3.228472, 3.291963, -0.3646596, -0.08110137, -0.2459469, -0.2466176, -0.5121331, -0.004427406, 0.3895332, 0.3712487, -0.2127069, -0.6095461, -0.6385075
 64384485, -0.3978343, -0.0184227, -0.7091346, -0.6863782, -0.5149623, 0.01973461, 3.23359, 3.290814, -0.365877, -0.08103229, -0.245262, -0.2438398, -0.5496641, -0.00846177, 0.4102471, 0.3770809, -0.2158712, -0.6085682, -0.6403171
 64384517, -0.3978114, -0.01670254, -0.7113394, -0.7275375, -0.521276, 0.0006445769, 3.25763, 3.309753, -0.3664967, -0.07908547, -0.2445975, -0.2442586, -0.5559654, -0.01205918, 0.4198334, 0.3981051, -0.2180289, -0.6095462, -0.6425856
 64384554, -0.397105, -0.02856753, -0.7114752, -0.7291445, -0.525435, -0.008815526, 3.282334, 3.297322, -0.366734, -0.07885105, -0.2409474, -0.2436939, -0.5738596, -0.01364821, 0.4553031, 0.4211328, -0.2190612, -0.6096061, -0.6409903
 64384592, -0.3975596, -0.03847843, -0.7142599, -0.7286401, -0.4786982, -0.03756018, 3.249138, 3.304288, -0.3666155, -0.07786607, -0.2407801, -0.2430458, -0.5717008, -0.01857508, 0.462581, 0.4291211, -0.2170856, -0.6108096, -0.6367594
 64384624, -0.3965186, -0.04358513, -0.7292988, -0.7311179, -0.4976441, -0.0260717, 3.274548, 3.285979, -0.3603518, -0.07833274, -0.2386408, -0.2419644, -0.5579407, -0.02089628, 0.4569976, 0.4337944, -0.2158383, -0.6280216, -0.6385576
 64384653, -0.3931139, -0.05075784, -0.7242147, -0.7332651, -0.4933239, -0.026, 3.265435, 3.288569, -0.3544523, -0.07768676, -0.2401777, -0.2442841, -0.530694, -0.02747084, 0.4384547, 0.429346, -0.2137948, -0.6276553, -0.64101
