TimeStamp,FootLeft_x,FootRight_x,FootLeft_y,FootRight_y,WristLeft_x,WristRight_x,WristLeft_z,WristRight_z,KneeLeft_x,KneeRight_x,KneeLeft_y,KneeRight_y,ElbowLeft_x,ElbowRight_x,ElbowLeft_y,ElbowRight_y,Head_y,AnkleLeft_y,AnkleRight_y
63968828, 0.1649426, 0.2620289, -0.6077648, -0.3311201, 0.2670859, 0.3267767, 2.905787, 3.183253, 0.09746371, 0.2141223, -0.1586181, 0.05712316, 0.1523139, 0.45476, 0.6888776, 0.8999174, 0.2221359, -0.5589293, -0.2531046
 63968855, 0.1529069, 0.260362, -0.559691, -0.3053238, 0.2893733, 0.2946403, 2.885006, 3.188868, 0.09710293, 0.2155569, -0.1320068, 0.06407379, 0.1746013, 0.4196273, 0.6252922, 0.9077946, 0.2202346, -0.5113936, -0.2291487
 63968887, 0.1481287, 0.2506298, -0.56112, -0.2797331, 0.2732659, 0.2848517, 2.955078, 3.17584, 0.09599984, 0.217333, -0.1394124, 0.0945768, 0.1584938, 0.4096591, 0.5479312, 0.9135969, 0.2153722, -0.51173, -0.2016127
 63968921, 0.1447078, 0.2503853, -0.56232, -0.2759471, 0.2756337, 0.2882626, 2.96301, 3.168895, 0.09580376, 0.2186742, -0.1382983, 0.09253938, 0.1558044, 0.4129895, 0.4723052, 0.9087602, 0.2171537, -0.512023, -0.2023897
 63968959, 0.1456213, 0.2457462, -0.5616161, -0.3039383, 0.2497381, 0.2873787, 2.959069, 3.172079, 0.09602897, 0.2208476, -0.1379701, 0.08136737, 0.134966, 0.4120845, 0.4686946, 0.9089394, 0.2167407, -0.512058, -0.2251558
 63968992, 0.1502521, 0.2468391, -0.5733432, -0.3534845, 0.2297161, 0.3439554, 2.955421, 3.158582, 0.09625597, 0.2287778, -0.1384244, 0.05166305, 0.1149441, 0.4800354, 0.4405252, 0.8897182, 0.2259253, -0.5250919, -0.2887407
 63969028, 0.1524263, 0.2514943, -0.5661759, -0.4249747, 0.09366112, 0.3368787, 2.851853, 3.129039, 0.0993619, 0.2419134, -0.1383488, -0.00268471, 0.107369, 0.4712148, 0.4386113, 0.8623242, 0.2338915, -0.5180117, -0.362442
 63969056, 0.1535402, 0.2594946, -0.5630788, -0.511557, 0.08678994, 0.3476493, 2.855242, 3.11544, 0.1021034, 0.2502537, -0.1365324, -0.0523253, -0.0804277, 0.4782377, 0.5018195, 0.8311724, 0.237837, -0.5155984, -0.439529
 63969087, 0.1483407, 0.2592117, -0.560658, -0.5707386, 0.2113105, 0.3727636, 2.812742, 3.147775, 0.1041588, 0.2562433, -0.1388876, -0.1118068, 0.01548425, 0.5367682, 0.5544869, 0.8267862, 0.2374649, -0.5142539, -0.4878869
 63969119, 0.1432392, 0.2740937, -0.558874, -0.6188405, 0.07111557, 0.3933859, 2.879869, 3.131786, 0.1048291, 0.263408, -0.1403473, -0.1430926, 0.006822746, 0.540857, 0.6355922, 0.8200765, 0.2251391, -0.5128006, -0.5318965
 63969151, 0.139646, 0.2829309, -0.563602, -0.605697, 0.1107072, 0.405347, 2.729958, 3.113876, 0.1062261, 0.2774314, -0.1408932, -0.1483712, -0.05428416, 0.547613, 0.6283633, 0.7950066, 0.2243051, -0.518507, -0.5325509
 63969181, 0.1416026, 0.328126, -0.5617302, -0.5854843, 0.04303098, 0.4022099, 2.735758, 3.11245, 0.1076494, 0.289751, -0.1420739, -0.1524868, -0.06755234, 0.5586265, 0.654457, 0.7853408, 0.2235312, -0.5175967, -0.5413507
 63969216, 0.1414721, 0.3270112, -0.5699389, -0.589996, -0.01239244, 0.3733219, 2.729343, 3.068246, 0.116733, 0.2939238, -0.1533827, -0.1615046, -0.07393909, 0.5646363, 0.6814384, 0.7450904, 0.2259658, -0.5259882, -0.5460453
 63969250, 0.1303028, 0.3168779, -0.5661262, -0.590887, 0.05461271, 0.3764284, 2.957463, 3.066703, 0.1311246, 0.3046642, -0.1578398, -0.1571684, -0.09268104, 0.5915533, 0.7032977, 0.7207066, 0.2225548, -0.5221935, -0.5469542
 63969284, 0.1160771, 0.3066576, -0.5957202, -0.5938683, 0.03427288, 0.3809022, 2.855865, 3.0553, 0.1391635, 0.3137312, -0.1679874, -0.1523601, -0.1086168, 0.5668386, 0.7107114, 0.6705448, 0.218889, -0.551877, -0.550025
 63969317, 0.1007671, 0.2927207, -0.6013891, -0.5962673, 0.03072023, 0.4016464, 2.997274, 2.961709, 0.1331499, 0.3283088, -0.179365, -0.1566027, -0.09833734, 0.5257614, 0.7144797, 0.6480891, 0.2156509, -0.5578083, -0.5526865
