TimeStamp,FootLeft_x,FootRight_x,FootLeft_y,FootRight_y,WristLeft_x,WristRight_x,WristLeft_z,WristRight_z,KneeLeft_x,KneeRight_x,KneeLeft_y,KneeRight_y,ElbowLeft_x,ElbowRight_x,ElbowLeft_y,ElbowRight_y,Head_y,AnkleLeft_y,AnkleRight_y
64240413, 0.159766, 0.3673584, -0.624025, -0.5964715, 0.1616109, 0.489249, 2.996199, 2.959696, 0.2128593, 0.3997948, -0.1923856, -0.1895552, 0.1428775, 0.5684232, 0.554029, 0.5265611, 0.3356593, -0.5546298, -0.5517288
 64240450, 0.1240638, 0.2937566, -0.5795205, -0.6255621, 0.1504727, 0.4560686, 2.99932, 2.93801, 0.1951693, 0.3566107, -0.1900031, -0.184158, 0.1329596, 0.5589519, 0.5407132, 0.5235043, 0.3147022, -0.5347853, -0.5562269
 64240478, 0.1017831, 0.3080893, -0.5716793, -0.6032365, 0.1255802, 0.4529248, 3.045048, 2.940764, 0.1699193, 0.3303813, -0.1920819, -0.1892183, 0.1113104, 0.5478789, 0.4938437, 0.507877, 0.3057461, -0.5265821, -0.5581393
 64240508, 0.07776482, 0.2967803, -0.5537863, -0.6020576, 0.1183767, 0.4623363, 3.030556, 2.913686, 0.1585222, 0.3038874, -0.1884139, -0.2141414, 0.09129431, 0.5337921, 0.4490967, 0.4673553, 0.283251, -0.5089309, -0.5572022
 64240537, 0.0715306, 0.285467, -0.5536615, -0.5977355, 0.09554031, 0.4609107, 3.047978, 2.923005, 0.1567388, 0.2881487, -0.1878329, -0.2223042, 0.08153841, 0.5182784, 0.4290788, 0.4207187, 0.272188, -0.5088101, -0.5528841
 64240569, 0.0771862, 0.2819572, -0.5726753, -0.5976292, 0.09168941, 0.4628708, 3.04669, 2.934024, 0.1533819, 0.2863934, -0.1912723, -0.2239841, 0.08075486, 0.5105297, 0.4195882, 0.4092745, 0.2672343, -0.5267682, -0.5517222
 64240600, 0.07604161, 0.2804603, -0.5757463, -0.5986863, 0.08692893, 0.4571871, 3.02611, 2.942403, 0.1520638, 0.3032892, -0.1925352, -0.2129346, 0.08634789, 0.5110277, 0.425288, 0.4162641, 0.2576676, -0.5295957, -0.5525357
 64240636, 0.08008824, 0.2823417, -0.5789323, -0.5974786, 0.1001796, 0.4372072, 3.00527, 2.948894, 0.1562302, 0.3489287, -0.1874216, -0.1751612, 0.1038957, 0.5053544, 0.46121, 0.4257242, 0.2498808, -0.5324741, -0.5510203
 64240668, 0.09706565, 0.3111485, -0.5808454, -0.5943939, 0.1132429, 0.4389082, 3.02094, 2.953409, 0.1747939, 0.3649553, -0.1777573, -0.1695096, 0.1086243, 0.5020609, 0.5002798, 0.4473112, 0.249686, -0.534059, -0.5476075
 64240700, 0.1319127, 0.3331359, -0.6258587, -0.6011288, 0.1093177, 0.4427083, 3.026853, 2.970367, 0.1868516, 0.3786941, -0.1849836, -0.1714723, 0.1142879, 0.5468708, 0.5309835, 0.526073, 0.2507406, -0.5578012, -0.5544555
