TimeStamp,FootLeft_x,FootRight_x,FootLeft_y,FootRight_y,WristLeft_x,WristRight_x,WristLeft_z,WristRight_z,KneeLeft_x,KneeRight_x,KneeLeft_y,KneeRight_y,ElbowLeft_x,ElbowRight_x,ElbowLeft_y,ElbowRight_y,Head_y,AnkleLeft_y,AnkleRight_y
66185487, 0.03702438, 0.2853501, -0.8930245, -0.9538183, -0.3520355, 0.6680506, 3.49679, 3.71483, 0.04690859, 0.2846625, -0.5018662, -0.5121483, -0.1629754, 0.4761509, 0.2486292, 0.2256316, 0.1813655, -0.8538423, -0.8836623
 66185518, -0.02417013, 0.3269736, -0.9329531, -0.9450934, -0.3730738, 0.6671013, 3.492378, 3.68786, 0.0368712, 0.2876331, -0.4946617, -0.5073915, -0.2169692, 0.4831875, 0.3174566, 0.2901076, 0.171468, -0.8542235, -0.8852749
 66185554, -0.04923458, 0.344661, -0.9235491, -0.9574646, -0.3702089, 0.6964586, 3.508675, 3.698157, 0.01939028, 0.2985531, -0.4758617, -0.4901337, -0.2210357, 0.5313666, 0.363146, 0.3460612, 0.1667989, -0.8491263, -0.8841587
 66185586, -0.07657696, 0.3691252, -0.9224639, -0.9215149, -0.3359566, 0.7081813, 3.527253, 3.714935, 0.01225126, 0.3287395, -0.4764704, -0.4678181, -0.2200253, 0.5534465, 0.4115165, 0.4061018, 0.1655181, -0.8503084, -0.8706185
 66185618, -0.0997735, 0.4530186, -0.9301154, -0.9322954, -0.2947658, 0.6492001, 3.550265, 3.741007, -0.001181178, 0.3322031, -0.479903, -0.4679007, -0.2131313, 0.5301616, 0.4368984, 0.4403735, 0.1622605, -0.8610577, -0.8573735
 66185655, -0.1334977, 0.4573008, -0.9421842, -0.954591, -0.2574171, 0.6069912, 3.557029, 3.706503, -0.01788061, 0.3452576, -0.4835085, -0.4771153, -0.2289602, 0.536778, 0.5461704, 0.4968577, 0.1517897, -0.8714979, -0.8679502
 66185687, -0.1515021, 0.4507948, -0.9485798, -0.8883337, -0.1958817, 0.537873, 3.568247, 3.683245, -0.02256184, 0.3538213, -0.4944837, -0.4844344, -0.2246503, 0.5173755, 0.5654455, 0.5394254, 0.1541261, -0.8740067, -0.8241349
 66185723, -0.153534, 0.454017, -0.9467382, -0.9395471, -0.1194444, 0.4597572, 3.613569, 3.668869, -0.02398679, 0.3580089, -0.499497, -0.4934995, -0.1773836, 0.4981266, 0.5603087, 0.5415965, 0.1514756, -0.8716441, -0.8641838
 66185754, -0.1789882, 0.4537483, -0.9192144, -0.9359807, -0.07101168, 0.3904258, 3.62018, 3.664725, -0.02035759, 0.3596798, -0.5032161, -0.5026289, -0.1422792, 0.4621139, 0.5321945, 0.5318199, 0.1398576, -0.8717095, -0.8598729
 66185786, -0.1659636, 0.4476921, -0.8945553, -0.9409429, -0.06997049, 0.4325394, 3.621808, 3.633663, -0.01932068, 0.3559864, -0.5033373, -0.5078956, -0.1411601, 0.4558656, 0.5302853, 0.5311118, 0.1408734, -0.8463183, -0.8640431
 66185822, -0.1709362, 0.4441482, -0.9037733, -0.9360128, -0.1204043, 0.4485158, 3.594506, 3.633557, -0.02324857, 0.347605, -0.4974257, -0.499192, -0.1630996, 0.4706194, 0.5436031, 0.5370402, 0.1444135, -0.8576068, -0.8615592
