TimeStamp,FootLeft_x,FootRight_x,FootLeft_y,FootRight_y,WristLeft_x,WristRight_x,WristLeft_z,WristRight_z,KneeLeft_x,KneeRight_x,KneeLeft_y,KneeRight_y,ElbowLeft_x,ElbowRight_x,ElbowLeft_y,ElbowRight_y,Head_y,AnkleLeft_y,AnkleRight_y
65849337, -0.06572494, 0.0847591, -0.9526404, -0.9601285, -0.1560756, 0.2352147, 3.421076, 3.628036, -0.02322847, 0.09734941, -0.5186867, -0.539798, -0.2473215, 0.181182, 0.1083934, 0.1326447, -0.01002361, -0.8905292, -0.8922683
 65849375, -0.07450612, 0.08508143, -0.9446299, -0.9634068, -0.2273148, 0.2242, 3.463427, 3.655437, -0.03907718, 0.09008792, -0.5232174, -0.5456589, -0.2480696, 0.1974517, 0.1094303, 0.1620019, -0.01161835, -0.8850119, -0.8952579
 65849403, -0.08104143, 0.1040661, -0.9458119, -0.9376072, -0.2180146, 0.251023, 3.428554, 3.645359, -0.05598607, 0.08863075, -0.5180342, -0.5423708, -0.2512023, 0.2063304, 0.1026475, 0.1699058, -0.0118725, -0.8820547, -0.8954276
 65849440, -0.0826143, 0.1024987, -0.9462234, -0.9364415, -0.218845, 0.2607517, 3.435569, 3.652527, -0.07016439, 0.08767468, -0.5172052, -0.5431891, -0.2463609, 0.2093706, 0.08804825, 0.1716016, -0.01159288, -0.8791248, -0.8944952
 65849475, -0.08377314, 0.1067039, -0.9465601, -0.9373699, -0.2304547, 0.2833794, 3.443829, 3.615825, -0.07393882, 0.0835463, -0.5254355, -0.5419946, -0.2455515, 0.2104437, 0.07255246, 0.1709056, -0.01111021, -0.8786461, -0.8948999
 65849503, -0.08579422, 0.1078016, -0.947042, -0.9363412, -0.2410446, 0.2844121, 3.454709, 3.614536, -0.07983053, 0.07826467, -0.5276564, -0.5358164, -0.2439168, 0.2026114, 0.06609705, 0.1586904, -0.01134039, -0.8774137, -0.8946232
 65849538, -0.08661418, 0.1087106, -0.9471291, -0.9350979, -0.2490233, 0.2840262, 3.457737, 3.613376, -0.0900892, 0.07246172, -0.5274093, -0.5408183, -0.245277, 0.1882572, 0.06119201, 0.1311852, -0.007674561, -0.8756937, -0.8946536
 65849569, -0.08825862, 0.08292755, -0.9462252, -0.9651075, -0.2684126, 0.2709918, 3.464792, 3.604588, -0.09465033, 0.06801367, -0.5240335, -0.5298439, -0.2519826, 0.1754273, 0.05653058, 0.1277065, -0.006497535, -0.8740556, -0.889302
 65849601, -0.08941422, 0.08180157, -0.9452038, -0.9497795, -0.2702233, 0.2684421, 3.466691, 3.60098, -0.09869651, 0.06706958, -0.5218106, -0.5296878, -0.2604712, 0.1611789, 0.05825812, 0.1127088, -0.007166501, -0.8731406, -0.8602363
 65849643, -0.09254128, 0.08036004, -0.9429131, -0.9609619, -0.2760728, 0.2360067, 3.468525, 3.585578, -0.1034464, 0.06539416, -0.5192629, -0.5339143, -0.2649177, 0.1583436, 0.06165403, 0.1096285, -0.007958146, -0.8675174, -0.8967199
