TimeStamp,FootLeft_x,FootRight_x,FootLeft_y,FootRight_y,WristLeft_x,WristRight_x,WristLeft_z,WristRight_z,KneeLeft_x,KneeRight_x,KneeLeft_y,KneeRight_y,ElbowLeft_x,ElbowRight_x,ElbowLeft_y,ElbowRight_y,Head_y,AnkleLeft_y,AnkleRight_y
65319934, -0.1830323, 0.3678949, -0.850675, -0.891781, -0.1518629, 0.3995429, 3.129184, 3.16206, -0.09120099, 0.3523205, -0.3903622, -0.5162928, -0.2419754, 0.4345166, 0.6358135, 0.647855, 0.1143012, -0.7793892, -0.8220114
 65319969, -0.1148722, 0.3584436, -0.9092578, -0.899178, -0.02218714, 0.2598287, 3.1586, 3.180225, -0.1325737, 0.3531647, -0.4950345, -0.5228657, -0.2137193, 0.4101292, 0.6317163, 0.6384467, 0.1208675, -0.8630985, -0.8263096
 65319999, -0.09321794, 0.2911783, -0.9405358, -0.9189271, -0.0654376, 0.1798676, 3.130659, 3.175191, -0.1576499, 0.3531781, -0.5518916, -0.5541379, -0.1739867, 0.3449001, 0.5728837, 0.6131997, 0.1090989, -0.9052477, -0.8804041
 65320025, -0.1211521, 0.2977067, -0.9330356, -0.9177405, -0.06830914, 0.1533756, 3.123013, 3.215334, -0.1565288, 0.3522542, -0.5516941, -0.5534205, -0.179509, 0.3458104, 0.5736235, 0.611571, 0.1034973, -0.9031451, -0.8792632
 65320055, -0.1706548, 0.3030928, -0.9399545, -0.9152197, -0.1251667, 0.2917893, 3.11118, 3.142503, -0.165476, 0.3541579, -0.5426356, -0.5568212, -0.2283826, 0.4114312, 0.5818315, 0.5479884, 0.1050927, -0.8971684, -0.8770928
 65320087, -0.2175531, 0.3906689, -0.9190795, -0.8251566, -0.2334495, 0.4398544, 3.062117, 3.121077, -0.196876, 0.3488157, -0.5432145, -0.540634, -0.2826038, 0.4547963, 0.5644666, 0.5127899, 0.1097692, -0.8694019, -0.8241624
 65320119, -0.2261364, 0.3724105, -0.9225651, -0.7705884, -0.3746934, 0.570885, 3.020019, 3.11653, -0.2109354, 0.2902618, -0.5586541, -0.4351659, -0.3344489, 0.4836212, 0.5467995, 0.4898879, 0.1027282, -0.8761715, -0.7631181
 65320155, -0.1989549, 0.3758929, -0.9106994, -0.7659363, -0.492337, 0.6615762, 2.96848, 3.104717, -0.1962629, 0.2941157, -0.546203, -0.408212, -0.351738, 0.4984699, 0.4838839, 0.4682627, 0.1026582, -0.8642812, -0.7560745
 65320187, -0.1921947, 0.3526799, -0.8972634, -0.7698358, -0.5150371, 0.6760492, 2.987277, 3.089928, -0.1564252, 0.2617849, -0.5355079, -0.4617161, -0.3498724, 0.4819507, 0.4207366, 0.3898141, 0.09958437, -0.8457222, -0.7632172
 65320223, -0.1824424, 0.3379366, -0.878569, -0.7443634, -0.5102112, 0.6207176, 2.992114, 3.105613, -0.1259653, 0.2262901, -0.533702, -0.3868675, -0.3116255, 0.4090871, 0.3485373, 0.3357283, 0.09375958, -0.8167883, -0.7328061
