TimeStamp,FootLeft_x,FootRight_x,FootLeft_y,FootRight_y,WristLeft_x,WristRight_x,WristLeft_z,WristRight_z,KneeLeft_x,KneeRight_x,KneeLeft_y,KneeRight_y,ElbowLeft_x,ElbowRight_x,ElbowLeft_y,ElbowRight_y,Spine_y,AnkleLeft_y,AnkleRight_y
64484959, -0.1980537, 0.005889214, -0.7274145, -0.7271345, -0.3318898, 0.1667607, 3.005148, 3.030787, -0.1948004, 0.02414571, -0.2393224, -0.244709, -0.3148645, 0.1275385, 0.4951076, 0.5099969, -0.07019907, -0.6333457, -0.6261078
 64484988, -0.1753252, 0.00331866, -0.7084685, -0.7283604, -0.3238108, 0.1577143, 2.961308, 3.043452, -0.1944516, 0.02303741, -0.2392601, -0.2448934, -0.3052201, 0.1292952, 0.4921855, 0.5129208, -0.06826978, -0.6214219, -0.6287622
 64485024, -0.1752923, -0.004725575, -0.7148998, -0.7289833, -0.2959924, 0.1596548, 2.93001, 3.048503, -0.1917686, 0.01414212, -0.2417624, -0.2504929, -0.2870122, 0.1324755, 0.4585183, 0.5111639, -0.06579075, -0.6271725, -0.6349307
 64485057, -0.1709037, -0.003407102, -0.6773904, -0.6857319, -0.300797, 0.1648926, 2.938101, 3.038757, -0.1872345, 0.009202059, -0.24784, -0.2573146, -0.2917722, 0.1341414, 0.4459428, 0.4647199, -0.06464773, -0.6321632, -0.6405047
 64485092, -0.1657728, -0.00623053, -0.6803943, -0.689324, -0.312887, 0.15084, 2.958246, 3.084913, -0.1844804, 0.001995947, -0.2542459, -0.2613282, -0.3038195, 0.1340148, 0.3968848, 0.4116926, -0.06344497, -0.6356335, -0.6445632
 64485125, -0.1647492, -0.009889271, -0.6802887, -0.6915311, -0.3294814, 0.1585553, 3.059027, 3.102706, -0.1840799, 0.0007751946, -0.2592857, -0.2655171, -0.3186475, 0.1343122, 0.4372482, 0.4114218, -0.07000053, -0.6358188, -0.6470612
 64485157, -0.1647249, -0.01044342, -0.6814269, -0.6946093, -0.3224103, 0.1514688, 3.050543, 3.092507, -0.1840155, -0.001207473, -0.2607754, -0.2688689, -0.3133434, 0.1311175, 0.4351566, 0.4095474, -0.06991091, -0.6369808, -0.6501632
 64485194, -0.1620739, -0.009360282, -0.6825048, -0.6946707, -0.2995048, 0.1614104, 2.966657, 3.088821, -0.1838155, 0.0007092144, -0.2608963, -0.2702455, -0.301293, 0.1244378, 0.3771071, 0.4085594, -0.06406328, -0.6379907, -0.6501566
 64485225, -0.1562187, -0.001585279, -0.679858, -0.6860921, -0.2447625, 0.1322651, 2.941261, 3.085159, -0.1823968, 0.005328588, -0.256982, -0.2625558, -0.3338093, 0.1069753, 0.4623432, 0.4494222, -0.06367718, -0.6356108, -0.6418449
 64485257, -0.1675972, 0.0002833121, -0.718509, -0.6783813, -0.2568604, 0.1321801, 2.976953, 3.041601, -0.1812773, 0.01036416, -0.2485767, -0.2522688, -0.3336835, 0.1092203, 0.4866833, 0.4871468, -0.06576269, -0.6300741, -0.6339709
 64485294, -0.1600025, -0.01158726, -0.7130276, -0.7235113, -0.2775678, 0.1324492, 3.035006, 3.044822, -0.180706, 0.01144744, -0.2459329, -0.2508779, -0.3553534, 0.1111998, 0.5072122, 0.5054314, -0.06497245, -0.6281052, -0.635033
 64485326, -0.1590745, -0.01114552, -0.7068887, -0.7170143, -0.2625209, 0.1284738, 3.006803, 3.055801, -0.1798004, 0.01145674, -0.2427358, -0.2483571, -0.3446429, 0.1132557, 0.5141494, 0.5114191, -0.06532279, -0.623458, -0.6295947
 64485360, -0.1442053, -0.01234738, -0.7066367, -0.72084, -0.2794574, 0.1283409, 3.052097, 3.0556, -0.1782548, 0.01098511, -0.2415519, -0.2487212, -0.3583518, 0.1144266, 0.5248491, 0.515355, -0.06601588, -0.6224514, -0.6296155
 64485395, -0.1384923, -0.01447906, -0.7099403, -0.71881, -0.2602035, 0.127607, 3.001318, 3.050583, -0.1771931, 0.006700617, -0.2428888, -0.2508498, -0.3405904, 0.09942845, 0.5093615, 0.4904792, -0.06706944, -0.6244106, -0.6307914
 64485425, -0.1348706, -0.01789318, -0.7298232, -0.7492388, -0.2822782, 0.1280944, 3.003764, 3.04018, -0.1756184, 0.002204962, -0.2462125, -0.2549363, -0.345858, 0.1355329, 0.4571183, 0.5068724, -0.07114406, -0.6447086, -0.6643638
 64485455, -0.1244962, -0.02296297, -0.7314343, -0.7520418, -0.2984767, 0.1433452, 3.027638, 3.076458, -0.1702543, -0.001400326, -0.2534213, -0.2649618, -0.375433, 0.1237528, 0.4279019, 0.4421006, -0.07526685, -0.6474818, -0.6657218
 64485490, -0.1248426, -0.02401504, -0.7351764, -0.753695, -0.3179074, 0.15869, 2.970434, 3.049375, -0.1701912, -0.003266556, -0.25822, -0.2703447, -0.2974128, 0.1270959, 0.3704074, 0.4154934, -0.0743149, -0.6502566, -0.6668688
 64485523, -0.1276076, -0.02594293, -0.7343873, -0.7052487, -0.3401817, 0.157853, 3.024294, 3.107064, -0.1704671, -0.003346147, -0.2589567, -0.2708473, -0.3104692, 0.1244939, 0.4093928, 0.4056045, -0.07747899, -0.6494164, -0.6611915
 64485556, -0.1290031, -0.01881421, -0.7341376, -0.7035463, -0.3734755, 0.1608264, 2.993842, 3.104846, -0.1704618, -0.001556457, -0.2596456, -0.270086, -0.3102238, 0.1241208, 0.4103513, 0.4056416, -0.07762494, -0.6487067, -0.6595441
 64485591, -0.1292712, -0.02256457, -0.7315761, -0.7466804, -0.3531857, 0.1735267, 3.026527, 3.059055, -0.170616, 0.001126894, -0.2593935, -0.2685009, -0.307946, 0.1189999, 0.4234306, 0.4147434, -0.08045118, -0.6461346, -0.6585194
 64485624, -0.1295439, -0.0205212, -0.7304044, -0.7419621, -0.3615061, 0.1698997, 3.025791, 3.091496, -0.1705872, 0.007471274, -0.2587484, -0.261941, -0.3093655, 0.1135293, 0.4310261, 0.4544265, -0.08584712, -0.645197, -0.6540309
 64485655, -0.1299003, -0.00992333, -0.7206078, -0.7190108, -0.3631656, 0.1576973, 3.034256, 3.114145, -0.1675597, 0.01986685, -0.2567283, -0.2572523, -0.3120974, 0.1150157, 0.455783, 0.467816, -0.08599541, -0.6350293, -0.634872
 64485692, -0.1313804, -0.005800071, -0.715724, -0.7202712, -0.3738865, 0.1738939, 3.052472, 3.073724, -0.1666188, 0.02577751, -0.2556201, -0.2563746, -0.3194681, 0.1147857, 0.4694337, 0.469712, -0.08218077, -0.6304515, -0.6334528
 64485724, -0.1325603, -0.001758809, -0.7128504, -0.7213835, -0.337929, 0.1688458, 3.048389, 3.049533, -0.1653046, 0.02635526, -0.2546607, -0.2559502, -0.3227614, 0.1142963, 0.4746155, 0.4696716, -0.08238223, -0.6267852, -0.6349725
 64485755, -0.1337915, 0.01061951, -0.7127437, -0.7128379, -0.3553753, 0.1613695, 3.049777, 3.095268, -0.1648257, 0.02943222, -0.2541593, -0.2539651, -0.3243651, 0.1165778, 0.4720505, 0.4698696, -0.08263532, -0.6255908, -0.6301584
 64485793, -0.1358632, 0.04048161, -0.7117657, -0.7299832, -0.3175744, 0.1887634, 3.032238, 3.025241, -0.1627293, 0.03353804, -0.2531343, -0.2578777, -0.3196216, 0.1230961, 0.4539326, 0.4618601, -0.08333478, -0.6255033, -0.6367734
 64485832, -0.1363482, 0.04059857, -0.7135417, -0.7308234, -0.3317589, 0.1786594, 3.009366, 3.080524, -0.1606016, 0.03842199, -0.2545508, -0.26275, -0.313971, 0.1294976, 0.4318891, 0.4502778, -0.07630028, -0.6267656, -0.6423032
 64485860, -0.1335288, 0.03980269, -0.7173877, -0.734541, -0.3352069, 0.1624838, 3.014346, 3.115502, -0.1586086, 0.04298078, -0.2554536, -0.2697251, -0.3117685, 0.1334623, 0.427758, 0.4217876, -0.07302785, -0.6267747, -0.6493326
 64485894, -0.1336519, 0.04011428, -0.7174197, -0.7351872, -0.3407336, 0.1874889, 3.010634, 3.081023, -0.1585015, 0.05243289, -0.2557237, -0.2691304, -0.3081714, 0.1222632, 0.4208883, 0.3892471, -0.06864503, -0.6267406, -0.6519818
 64485925, -0.1334518, 0.03972021, -0.718002, -0.7345233, -0.3108495, 0.1985453, 3.023544, 3.066883, -0.1567508, 0.05701457, -0.2552102, -0.2694678, -0.3005111, 0.1227267, 0.4192792, 0.3885373, -0.06719252, -0.6274897, -0.6450002
 64485957, -0.1346329, 0.04419073, -0.7179668, -0.7283563, -0.3398613, 0.1988967, 2.977906, 3.075771, -0.1524275, 0.06838894, -0.2527808, -0.2630691, -0.2971087, 0.1213906, 0.3917717, 0.3853475, -0.06322804, -0.6280857, -0.6429603
