TimeStamp, FootLeft_x, FootRight_x, FootLeft_y, FootRight_y, WristLeft_x, WristRight_x,WristLeft_z, WristRight_z,KneeLeft_x, KneeRight_x,KneeLeft_y, KneeRight_y,ElbowLeft_x, ElbowRight_x,ElbowLeft_y, ElbowRight_y,Spine_y,AnkleLeft_y, AnkleRight_y
71145901, -0.2231416, -0.1143743, -0.3046009, -0.2963105, -0.7203217, 0.3556176, 3.172724, 3.233946, -0.2423652, -0.1262621, 0.1192606, 0.1262631, -0.5731205, 0.1896915, 0.9013098, 0.9084036, -0.1805678, -0.2241727, -0.2232456
 71145934, -0.2107584, -0.1141678, -0.267674, -0.2968253, -0.7377119, 0.3606095, 3.179578, 3.239623, -0.2433508, -0.1256587, 0.1228134, 0.1263314, -0.5753868, 0.1972295, 0.855517, 0.8910145, -0.18055, -0.2160511, -0.2230675
 71145964, -0.2484107, -0.1077455, -0.3050373, -0.2944791, -0.7253762, 0.3648659, 3.210194, 3.27261, -0.2423073, -0.125967, 0.1195617, 0.1258979, -0.5737979, 0.1968651, 0.8372898, 0.86086, -0.1811396, -0.2179665, -0.2256474
 71146000, -0.2486191, -0.1825371, -0.3049805, -0.2996535, -0.7288148, 0.3706933, 3.26869, 3.324871, -0.2432054, -0.1260472, 0.1185422, 0.1259389, -0.5688505, 0.1905171, 0.8144476, 0.8338682, -0.180963, -0.2191496, -0.2257004
 71146034, -0.2112863, -0.09554345, -0.2710994, -0.2829343, -0.7333491, 0.3571294, 3.339142, 3.386877, -0.2422579, -0.1263973, 0.1227567, 0.1257132, -0.5618065, 0.1819423, 0.7961926, 0.8241173, -0.1802088, -0.2193936, -0.226063
 71146063, -0.2132258, -0.1025776, -0.268929, -0.2869615, -0.717632, 0.3395784, 3.427809, 3.463512, -0.2435205, -0.1240482, 0.1232632, 0.1296677, -0.5450906, 0.1792803, 0.7992153, 0.8215176, -0.1799125, -0.2172208, -0.2255103
 71146097, -0.2136323, -0.1028042, -0.2698936, -0.287163, -0.7131953, 0.3283792, 3.482973, 3.522662, -0.2439725, -0.1229692, 0.1235818, 0.1300279, -0.5416263, 0.1738934, 0.8047534, 0.8218206, -0.1794712, -0.2181481, -0.2254557
 71146130, -0.216657, -0.1042825, -0.2732413, -0.2893925, -0.7377299, 0.3432883, 3.476922, 3.522586, -0.2433524, -0.1242672, 0.1206918, 0.1236031, -0.5551583, 0.1812396, 0.8145933, 0.8338718, -0.1791528, -0.2214853, -0.2266284
 71146163, -0.2139556, -0.1878416, -0.2757042, -0.300106, -0.7724515, 0.3630671, 3.463073, 3.532812, -0.2435684, -0.1245917, 0.11882, 0.1235193, -0.5833981, 0.1848046, 0.8333172, 0.8369876, -0.1792941, -0.2239415, -0.2272632
 71146198, -0.2132097, -0.1052927, -0.2743911, -0.2915136, -0.7910668, 0.4056721, 3.451183, 3.523674, -0.2452998, -0.1248355, 0.1207214, 0.1262513, -0.5928905, 0.2152385, 0.8539631, 0.8727574, -0.1793793, -0.2226802, -0.2268323
 71146229, -0.2138337, -0.1101083, -0.2740575, -0.2941309, -0.8115655, 0.4222108, 3.403282, 3.510558, -0.244717, -0.124506, 0.1257458, 0.1267861, -0.6135814, 0.2224659, 0.8874779, 0.8974206, -0.1799778, -0.2223485, -0.2260917
 71146262, -0.165554, -0.1131494, -0.2902662, -0.2990681, -0.8128437, 0.4504182, 3.35394, 3.468047, -0.2452048, -0.1233789, 0.1261651, 0.126664, -0.6189677, 0.2419319, 0.9081818, 0.9266009, -0.1802289, -0.222779, -0.2260571
 71146298, -0.1644809, -0.1123985, -0.2970713, -0.2984602, -0.8209026, 0.4575053, 3.337698, 3.41959, -0.2418417, -0.1237176, 0.1170715, 0.1266516, -0.6236675, 0.2534771, 0.9267994, 0.9508741, -0.1806874, -0.2337998, -0.2264323
 71146330, -0.2186745, -0.08405233, -0.2811497, -0.2728744, -0.8292646, 0.4537877, 3.295233, 3.388021, -0.2439349, -0.1233147, 0.1216941, 0.1264555, -0.6357925, 0.2519499, 0.9474914, 0.9631064, -0.181448, -0.2293946, -0.2253016
 71146364, -0.2182053, -0.09745099, -0.2822902, -0.2904824, -0.7725397, 0.4260363, 3.245165, 3.306648, -0.2472062, -0.1238249, 0.1187737, 0.126799, -0.5884002, 0.241112, 0.9503465, 0.9712037, -0.1822908, -0.2304893, -0.2255322
 71146399, -0.2174738, -0.09690742, -0.2789163, -0.2881145, -0.7581772, 0.4035752, 3.200455, 3.270021, -0.2475609, -0.1237016, 0.1219037, 0.1278366, -0.5839116, 0.2327171, 0.9345176, 0.9687037, -0.1824081, -0.2272733, -0.225071
 71146432, -0.2173886, -0.09783225, -0.2783281, -0.2883748, -0.7343199, 0.389606, 3.161093, 3.232283, -0.2463724, -0.12408, 0.1233202, 0.1270552, -0.5869715, 0.2089572, 0.9162943, 0.9263362, -0.1830542, -0.2267717, -0.2248738
 71146466, -0.2582082, -0.1014408, -0.3025471, -0.2912506, -0.7298481, 0.3755059, 3.15631, 3.212307, -0.2472637, -0.1245271, 0.1209657, 0.1267921, -0.57586, 0.2066253, 0.8687116, 0.9062613, -0.1831772, -0.2275434, -0.2254441
 71146505, -0.2586489, -0.1011264, -0.3022277, -0.2879207, -0.7149848, 0.3791469, 3.184166, 3.229333, -0.2477234, -0.1239118, 0.1235772, 0.1276755, -0.5700198, 0.2154851, 0.819715, 0.8552201, -0.1832098, -0.2273958, -0.224643
 71146537, -0.2172697, -0.09922413, -0.2804109, -0.2864389, -0.7212068, 0.3685818, 3.249957, 3.296546, -0.2447058, -0.1240684, 0.1150003, 0.1258179, -0.5696514, 0.1985989, 0.7768103, 0.8216247, -0.1829856, -0.2287208, -0.2249711
 71146565, -0.2153117, -0.09908465, -0.2800404, -0.2860254, -0.6955852, 0.3586091, 3.35108, 3.399769, -0.2450847, -0.1240029, 0.1161264, 0.1261988, -0.5436842, 0.1883906, 0.7814046, 0.8147097, -0.1827207, -0.2282084, -0.2246099
 71146600, -0.1783096, -0.09945638, -0.2998379, -0.2865366, -0.6890941, 0.3483331, 3.491677, 3.457097, -0.2436587, -0.1235341, 0.1222307, 0.1276391, -0.536957, 0.1763989, 0.7953722, 0.819236, -0.1824369, -0.2271449, -0.2243053
 71146632, -0.1766792, -0.0891486, -0.300939, -0.2772204, -0.7466622, 0.3510217, 3.511777, 3.539516, -0.2453533, -0.126429, 0.1209347, 0.1268992, -0.5551696, 0.1837419, 0.8054104, 0.8374235, -0.1822808, -0.2290183, -0.2246141
 71146665, -0.177841, -0.1877972, -0.304884, -0.2982391, -0.7642213, 0.3742274, 3.524223, 3.585208, -0.2466023, -0.1293343, 0.1189591, 0.1250485, -0.577291, 0.197678, 0.8371198, 0.8698472, -0.1821442, -0.2339575, -0.2250183
 71146700, -0.1783112, -0.08905018, -0.3013544, -0.2840902, -0.7874935, 0.3997057, 3.524194, 3.57817, -0.2489204, -0.1244016, 0.1198959, 0.1254873, -0.5912861, 0.2104189, 0.8698569, 0.9029357, -0.1821881, -0.2290844, -0.2247302
 71146733, -0.2174535, -0.09109055, -0.2808089, -0.2857672, -0.8104584, 0.4164515, 3.494025, 3.565923, -0.248852, -0.1247776, 0.1188145, 0.1252797, -0.609876, 0.2207578, 0.9075266, 0.9330344, -0.1821645, -0.2289914, -0.2248413
 71146765, -0.1662162, -0.1075149, -0.2925397, -0.2944282, -0.8105713, 0.4296457, 3.434094, 3.529786, -0.2491542, -0.1252617, 0.1206806, 0.125582, -0.6088737, 0.228394, 0.9421108, 0.9620032, -0.1823027, -0.2270265, -0.2245892
 71146801, -0.2133621, -0.1056785, -0.277238, -0.2936438, -0.78756, 0.4419425, 3.385695, 3.46289, -0.2489127, -0.1239205, 0.1211797, 0.1261661, -0.5852898, 0.2404876, 0.9494712, 0.9803552, -0.1822816, -0.2253885, -0.2244803
 71146832, -0.2141712, -0.1046486, -0.2795348, -0.2924752, -0.7722896, 0.4507436, 3.355022, 3.409107, -0.2507443, -0.1241928, 0.1173137, 0.1260304, -0.5717462, 0.2448579, 0.9576904, 0.9958447, -0.1825315, -0.227691, -0.2244849
 71146864, -0.2106101, -0.1032265, -0.2764544, -0.291749, -0.7620609, 0.4395801, 3.322043, 3.332739, -0.2517087, -0.1241795, 0.1235956, 0.1260409, -0.5663073, 0.2410901, 0.9280465, 0.9854375, -0.1813666, -0.2249813, -0.2236754
 71146900, -0.2106144, -0.1247128, -0.1766262, -0.2372354, -0.699672, 0.4203962, 3.346924, 3.266859, -0.2717618, -0.133534, 0.1355276, 0.1277793, -0.4995635, 0.2400839, 0.8252788, 0.9525138, -0.1552571, -0.1249408, -0.1638409
 71146931, -0.1164129, -0.101199, -0.05068996, -0.03837682, -0.3604443, 0.4379256, 3.292103, 3.171386, -0.0970151, -0.1492893, 0.1242371, 0.1383007, -0.1871113, 0.2733089, 0.6426848, 0.8841116, -0.07421148, -0.1554205, -0.151774
 71147731, -0.2119261, -0.1056676, -0.2726165, -0.2947251, -0.7141913, 0.3178215, 3.372036, 3.403632, -0.241604, -0.1217166, 0.1283741, 0.127783, -0.5433857, 0.1555298, 0.7738457, 0.8095695, -0.1881253, -0.2187006, -0.2208221
 71147770, -0.1434676, -0.1132816, -0.2697219, -0.2851985, -0.7124152, 0.3179685, 3.454396, 3.423429, -0.2450754, -0.1226321, 0.1269526, 0.1280502, -0.5435425, 0.1578864, 0.7784144, 0.81486, -0.1881714, -0.2194557, -0.222388
 71147803, -0.1457623, -0.1186182, -0.2705049, -0.2950805, -0.7286094, 0.3397601, 3.450241, 3.462883, -0.248548, -0.1300978, 0.1179706, 0.1206916, -0.5517155, 0.1710481, 0.7898614, 0.8271063, -0.1881038, -0.2210066, -0.2247071
 71147836, -0.2127966, -0.113258, -0.2706943, -0.2948526, -0.7708278, 0.3718586, 3.447232, 3.502116, -0.2502603, -0.128905, 0.1206841, 0.1224119, -0.5809262, 0.1878308, 0.8113621, 0.8350732, -0.1874088, -0.2206641, -0.2249949
 71147871, -0.2469383, -0.1133585, -0.3043517, -0.289482, -0.7912009, 0.4052196, 3.453187, 3.523533, -0.2509664, -0.1298289, 0.1163059, 0.1216412, -0.5876338, 0.2080882, 0.8255972, 0.8580158, -0.1878762, -0.2239844, -0.2248623
 71147902, -0.1502559, -0.111954, -0.2682855, -0.2882207, -0.831811, 0.4400658, 3.456216, 3.53798, -0.2530212, -0.1287616, 0.1224841, 0.1224407, -0.6206532, 0.2329425, 0.8610411, 0.8995754, -0.1879018, -0.2240315, -0.2241237
 71147934, -0.1542563, -0.1197487, -0.2766791, -0.2945623, -0.8370711, 0.4595947, 3.423729, 3.521601, -0.2532668, -0.1286006, 0.1233333, 0.1225965, -0.6166646, 0.2401198, 0.8670138, 0.9155105, -0.1876772, -0.2229647, -0.2242674
 71147971, -0.2488948, -0.1166729, -0.3055618, -0.2888436, -0.8379518, 0.471275, 3.380589, 3.48976, -0.2530916, -0.1282678, 0.1207922, 0.1225608, -0.6171408, 0.2482994, 0.8873341, 0.9476961, -0.1875615, -0.222973, -0.2251441
 71148003, -0.2097674, -0.1183926, -0.2712857, -0.293968, -0.8392198, 0.4689509, 3.348222, 3.432791, -0.2527373, -0.1289134, 0.1218047, 0.1227502, -0.6211523, 0.2476187, 0.9012442, 0.9551422, -0.1876956, -0.222775, -0.22556
 71148034, -0.2084958, -0.114871, -0.2716157, -0.2923709, -0.8375204, 0.4671493, 3.329979, 3.429688, -0.2522525, -0.1292406, 0.123087, 0.1223366, -0.6244848, 0.2447369, 0.9059318, 0.9661667, -0.1870239, -0.2227717, -0.2245097
 71148069, -0.1455547, -0.129604, -0.2905913, -0.3000902, -0.83384, 0.4561524, 3.309688, 3.38292, -0.2531564, -0.1309912, 0.1238539, 0.1192626, -0.6199314, 0.2377121, 0.9200878, 0.9698272, -0.1868561, -0.2230968, -0.2262037
