TimeStamp,FootLeft_x,FootRight_x,FootLeft_y,FootRight_y, WristLeft_x, WristRight_x,WristLeft_z, WristRight_z,KneeLeft_x, KneeRight_x,KneeLeft_y, KneeRight_y,ElbowLeft_x, ElbowRight_x,ElbowLeft_y, ElbowRight_y,Spine_y,AnkleLeft_y, AnkleRight_y
70841425,-0.1231139,0.006598201,-1.048209,-1.093742,-0.1153365,-0.06735727,3.274346,3.354681,-0.17319,0.04030934,-0.6511567,-0.643026,-0.3263166,0.2010345,0.004598159,0.002216741,-0.05008007,-1.015504,-1.01491
70841460,-0.1229184,0.004567642,-1.049915,-1.091904,-0.1124573,0.0475095,3.277768,3.302342,-0.1740886,0.04012382,-0.6508182,-0.642565,-0.3262635,0.1998472,0.00504851,0.000837803,-0.05153698,-1.01679,-1.014576
70841488,-0.1226846,0.006134165,-1.050091,-1.095117,-0.1502239,0.04804418,3.259859,3.305701,-0.1741347,0.03965763,-0.6507006,-0.6437835,-0.3270649,0.194814,0.00605542,0.000276938,-0.05177587,-1.017122,-1.01649
70841521,-0.1204251,0.005164796,-1.050176,-1.0965,-0.1717488,0.1485707,3.257217,3.355129,-0.1747368,0.03971577,-0.6507966,-0.6453409,-0.3271921,0.1913192,0.005443417,0.0167966,-0.05324128,-1.017214,-1.018698
70841551,-0.1214543,0.003250832,-1.049745,-1.095055,-0.1756654,0.1511713,3.270531,3.37013,-0.1747363,0.03956788,-0.6509477,-0.6457677,-0.326957,0.1877546,0.004713948,0.01710798,-0.05792701,-1.016984,-1.019593
70841584,-0.122994,0.000577739,-1.050008,-1.094009,-0.2488988,0.1132672,3.309335,3.313133,-0.1751711,0.03986118,-0.6506555,-0.6467319,-0.3191777,0.1859378,0.006784441,0.01070704,-0.07315003,-1.016932,-1.020522
70841618,-0.124172,-0.001148228,-1.050931,-1.098706,-0.2421922,0.1402663,3.275928,3.329646,-0.1749853,0.03982345,-0.6526732,-0.6471594,-0.317851,0.1864172,0.001361419,0.00795556,-0.07104546,-1.01696,-1.025378
70841653,-0.1228759,-0.0025598,-1.050892,-1.09929,-0.273935,0.1356853,3.300268,3.316216,-0.1750755,0.03958233,-0.6521683,-0.6476878,-0.3178013,0.1861854,-0.003850806,0.004192201,-0.07068551,-1.01684,-1.024202
70841682,-0.1222426,0.006253824,-1.046745,-1.101756,-0.2908468,0.1705824,3.331294,3.370648,-0.1741365,0.03838596,-0.6468652,-0.646781,-0.313836,0.1856701,-0.01349876,0.001423086,-0.07099696,-1.012516,-1.022904
70841718,-0.1208479,0.003257183,-1.048611,-1.099468,-0.3092769,0.181951,3.349207,3.368286,-0.1730285,0.03809255,-0.6477572,-0.6447383,-0.3116776,0.1861461,-0.01932687,-0.01380257,-0.0715001,-1.013501,-1.021112
70841751,-0.1188036,0.002757316,-1.054458,-1.1001,-0.3277946,0.1916677,3.366424,3.367446,-0.174668,0.03555236,-0.6483737,-0.6463652,-0.3067845,0.19347,-0.0445582,-0.06397772,-0.07233051,-1.017641,-1.023483
70841790,-0.1160838,0.004804039,-1.059487,-1.103863,-0.3448536,0.206502,3.369927,3.382865,-0.1737465,0.03043126,-0.6422614,-0.6482774,-0.30101,0.1933683,-0.0604237,-0.06526306,-0.0721777,-1.01782,-1.0265
70841820,-0.1214106,0.04694597,-1.080311,-1.064174,-0.3994836,0.2560285,3.376779,3.383917,-0.1778425,0.02187835,-0.6488799,-0.6426721,-0.301827,0.1966917,-0.06632595,-0.07209082,-0.06979583,-1.030495,-1.01323
70841849,-0.1226957,0.03834818,-1.075444,-1.079276,-0.4945913,0.3336967,3.377123,3.374832,-0.1828974,0.01954636,-0.6460884,-0.6441459,-0.3462449,0.2168106,-0.07747248,-0.09817979,-0.06829027,-1.028486,-1.019459
70841885,-0.1178208,0.03695316,-1.064853,-1.078998,-0.6107672,0.4442325,3.376699,3.365776,-0.2008044,0.02137835,-0.6609159,-0.6521202,-0.3831237,0.2570702,-0.06584179,-0.115289,-0.07226369,-1.015234,-1.022225
70841916,-0.1315332,0.03688657,-1.053856,-1.057852,-0.7045524,0.5264254,3.381179,3.359943,-0.2069441,0.02415291,-0.6652254,-0.6469504,-0.4566134,0.3171223,-0.04539105,-0.09701434,-0.07700279,-1.005302,-1.004627
70841952,-0.142015,0.03794094,-1.058887,-1.060829,-0.753588,0.6372235,3.383247,3.372643,-0.2137271,0.03715106,-0.6657227,-0.6553968,-0.5035031,0.3682956,0.01664639,-0.01909332,-0.07773978,-1.011832,-1.00871
70841991,-0.1825483,0.04896095,-1.066487,-1.057551,-0.794054,0.5956339,3.383046,3.398543,-0.2209478,0.05883684,-0.6361625,-0.6233309,-0.5689126,0.3910646,0.09280431,0.07761332,-0.07056736,-1.020652,-1.011456
70842021,-0.1935823,0.07055799,-1.113514,-1.0586,-0.8187588,0.6614675,3.38822,3.407586,-0.2201674,0.0685236,-0.6353722,-0.6158781,-0.6022747,0.4572454,0.194686,0.2070402,-0.07248974,-1.033951,-1.014769
70842049,-0.2741584,0.09050821,-1.0328,-1.051289,-0.8173978,0.6914218,3.470145,3.40378,-0.2280983,0.08517109,-0.5805458,-0.5834982,-0.5961362,0.4816814,0.3233579,0.3653026,-0.06566175,-1.000236,-1.018882
70842092,-0.3711369,0.1739217,-1.020125,-1.003592,-0.8080799,0.6796117,3.515257,3.471483,-0.2390874,0.1119136,-0.5286866,-0.5320611,-0.5806953,0.470245,0.4710525,0.4854954,-0.06114262,-0.9968621,-0.9798179
70842126,-0.4081808,0.2563897,-0.8755293,-1.001012,-0.6866403,0.6319954,3.575712,3.492232,-0.264743,0.139089,-0.4679183,-0.4723524,-0.5708562,0.4226264,0.5445524,0.5848337,-0.05887397,-0.8514032,-0.9295306
70842157,-0.5115892,0.3295677,-0.9383222,-0.9432821,-0.6398249,0.6069387,3.60712,3.522902,-0.2903467,0.1623909,-0.4106979,-0.4247836,-0.4811644,0.3975585,0.7544435,0.7080722,-0.06152096,-0.8698832,-0.8535772
70842189,-0.5084105,0.3195607,-0.7653726,-0.7856069,-0.596121,0.4612505,3.623563,3.674181,-0.3047101,0.1745291,-0.3636451,-0.3751352,-0.4567664,0.3319049,0.8106745,0.793113,-0.05523158,-0.7337297,-0.7598302
70842220,-0.5458519,0.3773565,-0.7173716,-0.7460965,-0.456047,0.380503,3.670874,3.646333,-0.3069907,0.1825014,-0.330707,-0.3509887,-0.4106205,0.3089912,0.8548408,0.8028024,-0.05435502,-0.6859547,-0.7191397
70842247,-0.5408663,0.3843914,-0.7068196,-0.7205547,-0.3783938,0.2282084,3.656804,3.6865,-0.3043323,0.1853663,-0.3183197,-0.3273938,-0.360677,0.2683817,0.8935229,0.8968983,-0.03606427,-0.676228,-0.6940491
70842283,-0.5053061,0.3811138,-0.7072095,-0.7118715,-0.3214419,0.2092353,3.65116,3.679163,-0.2987563,0.1845054,-0.3059011,-0.3153285,-0.3037249,0.2494086,0.8884547,0.9048756,-0.03811952,-0.6738501,-0.6849246
