TimeStamp, FootLeft_x, FootRight_x, FootLeft_y, FootRight_y, WristLeft_x, WristRight_x,WristLeft_z, WristRight_z,KneeLeft_x, KneeRight_x,KneeLeft_y, KneeRight_y,ElbowLeft_x, ElbowRight_x,ElbowLeft_y, ElbowRight_y,Spine_y,AnkleLeft_y, AnkleRight_y
70872821, -0.5698971, 0.2123484, -1.090755, -1.063637, -0.3898328, -0.1700646, 3.851215, 3.706372, -0.4342773, -0.05010921, -0.5792639, -0.5517849, -0.595146, -0.005590856, 0.5591942, 0.6606332, -0.2799404, -1.046333, -1.028992
 70872852, -0.5939128, 0.2218481, -1.114246, -1.068358, -0.4072805, -0.1490854, 3.867878, 3.725308, -0.430412, -0.009166896, -0.6068423, -0.6002117, -0.6033811, 0.04676318, 0.6738087, 0.5723263, -0.2728255, -1.061627, -1.029073
 70872880, -0.5307609, 0.1558473, -1.14198, -1.090929, -0.6913124, -0.112298, 3.829494, 3.691699, -0.4270456, -0.004253939, -0.6125946, -0.5981583, -0.6311063, 0.1060551, 0.6328779, 0.6192227, -0.2458933, -1.063205, -1.024521
 70872916, -0.519832, 0.1149928, -1.076007, -1.100093, -0.7637591, -0.06969135, 3.834502, 3.672858, -0.4173627, -0.004722446, -0.6115124, -0.5966848, -0.6829811, 0.1486654, 0.6269287, 0.5616914, -0.2439968, -1.041296, -1.026948
 70872949, -0.4509656, 0.02519685, -1.06706, -1.091671, -0.8518054, 0.3130887, 3.776361, 3.630992, -0.398424, -0.03417844, -0.6085544, -0.5916961, -0.6401657, 0.2086788, 0.5928185, 0.5196492, -0.2404271, -1.033082, -1.023
 70872982, -0.3931575, -0.05712984, -1.113304, -1.090617, -0.9131352, 0.3574974, 3.79851, 3.560231, -0.369893, -0.07881419, -0.6098173, -0.5987693, -0.7178885, 0.2049503, 0.4404048, 0.4470461, -0.2342546, -1.041386, -1.020263
 70873016, -0.3430844, -0.1364075, -1.091868, -1.088241, -0.9329774, 0.4048742, 3.796954, 3.544625, -0.347944, -0.1238202, -0.6119813, -0.6057527, -0.7068895, 0.2160567, 0.3581012, 0.3603814, -0.2352059, -1.017079, -1.012801
 70873047, -0.2732317, -0.2295329, -1.13243, -1.128029, -0.9053448, 0.4101842, 3.766721, 3.508251, -0.2912852, -0.1659056, -0.6200476, -0.6169397, -0.7308561, 0.2070346, 0.2421798, 0.2582279, -0.2274733, -1.066149, -1.06491
 70873080, -0.2350135, -0.2602701, -1.12412, -1.112487, -0.9001415, 0.4113002, 3.724968, 3.459075, -0.243509, -0.1709183, -0.6360372, -0.6373444, -0.6555706, 0.2005296, 0.1910013, 0.1672189, -0.2134905, -1.069279, -1.052149
 70873121, -0.2362537, -0.2365853, -1.13079, -1.053044, -0.8797003, 0.3194353, 3.668182, 3.45065, -0.2436588, -0.1477423, -0.6526564, -0.581774, -0.6427414, 0.09278232, 0.09052178, 0.05325159, -0.2050843, -1.069785, -0.9820279
 70873150, -0.3125152, -0.2726653, -1.128137, -1.097953, -0.8009232, 0.2762912, 3.630092, 3.432761, -0.2511125, -0.1435986, -0.6599067, -0.5818957, -0.5723237, 0.09898999, -0.02106184, -0.02964588, -0.2193325, -1.074129, -0.9993732
 70873180, -0.2736717, -0.2749192, -1.142326, -1.11144, -0.6905415, 0.1729798, 3.61652, 3.434815, -0.2575512, -0.1766853, -0.6695064, -0.6732991, -0.5304837, 0.09182061, -0.1007808, -0.06978196, -0.2142456, -1.066067, -1.040424
