TimeStamp, FootLeft_x, FootRight_x, FootLeft_y, FootRight_y, WristLeft_x, WristRight_x,WristLeft_z, WristRight_z,KneeLeft_x,KneeRight_x,KneeLeft_y,KneeRight_y,ElbowLeft_x, ElbowRight_x,ElbowLeft_y, ElbowRight_y,Spine_y,AnkleLeft_y, AnkleRight_y
72481512,-0.4156637,-0.2940063,-1.176988,-1.21245,-0.6057261,-0.1192307,3.130153,3.198288,-0.4427475,-0.3081371,-0.8306091,-0.820241,-0.6057608,-0.1944265,-0.2966978,-0.3122553,-0.3888696,-1.153097,-1.148516
72481546,-0.4155263,-0.2829797,-1.175483,-1.172525,-0.6064272,-0.1328653,3.132585,3.201986,-0.4430959,-0.3076397,-0.8294191,-0.8214436,-0.6055877,-0.1970876,-0.2974169,-0.3133351,-0.389144,-1.151587,-1.148629
72481576,-0.4156535,-0.2946506,-1.169863,-1.216057,-0.605746,-0.1518486,3.132956,3.208558,-0.4435952,-0.3073973,-0.8297816,-0.8244678,-0.6051911,-0.2002948,-0.2982943,-0.3158233,-0.389261,-1.14599,-1.149411
72481610,-0.4170995,-0.2915925,-1.174677,-1.215737,-0.6055083,-0.1539551,3.132931,3.208707,-0.4435846,-0.3070844,-0.8297135,-0.8261178,-0.6053137,-0.2049699,-0.2981769,-0.3178658,-0.3895362,-1.150819,-1.15028
72481640,-0.417219,-0.2874233,-1.179869,-1.229649,-0.6033895,-0.1563369,3.133668,3.206859,-0.4433253,-0.3078029,-0.8326117,-0.8333901,-0.604901,-0.2070834,-0.2983135,-0.3193027,-0.3897016,-1.155962,-1.167226
72481667,-0.4168581,-0.2915261,-1.178267,-1.208698,-0.6030573,-0.157062,3.133251,3.206506,-0.4428686,-0.3074429,-0.8312621,-0.8332755,-0.6042603,-0.2066566,-0.2989653,-0.3199632,-0.3898919,-1.154446,-1.144044
72481702,-0.4149694,-0.2913611,-1.179086,-1.207311,-0.6025579,-0.1578943,3.131746,3.206165,-0.4429086,-0.3073661,-0.8311893,-0.8328508,-0.6027523,-0.2061337,-0.3005952,-0.3197844,-0.3900844,-1.155283,-1.144212
72481734,-0.4134414,-0.2911381,-1.178559,-1.215911,-0.6006745,-0.1561257,3.126131,3.201228,-0.4418445,-0.3071919,-0.8311065,-0.8331989,-0.6012571,-0.2043014,-0.3058368,-0.3211386,-0.3903546,-1.154759,-1.157183
72481764,-0.4121592,-0.2919484,-1.178431,-1.217008,-0.599189,-0.1534122,3.124555,3.19346,-0.4418006,-0.3072348,-0.8304205,-0.8321822,-0.6002501,-0.2032069,-0.3073024,-0.3182555,-0.3904146,-1.154643,-1.155244
72481798,-0.4112147,-0.2931616,-1.175508,-1.21598,-0.5955756,-0.1474013,3.120723,3.186664,-0.4419167,-0.3071312,-0.8297561,-0.8316245,-0.5999038,-0.2009356,-0.3071654,-0.3176738,-0.389722,-1.151742,-1.152697
72481833,-0.4001878,-0.2923391,-1.184055,-1.219841,-0.594572,-0.1471486,3.118798,3.186973,-0.4412123,-0.3068644,-0.8294346,-0.8314899,-0.5971414,-0.1992379,-0.3063963,-0.3159804,-0.3884735,-1.160276,-1.154427
72481866,-0.4035306,-0.291177,-1.182319,-1.220152,-0.5924578,-0.1421852,3.116308,3.186833,-0.4410152,-0.3064555,-0.8282698,-0.8317076,-0.5960887,-0.1962135,-0.305429,-0.3146903,-0.3878323,-1.158475,-1.154503
72481900,-0.4027395,-0.2833232,-1.182312,-1.177611,-0.5912176,-0.1406863,3.116399,3.187445,-0.4404762,-0.3060352,-0.8284785,-0.8317237,-0.5954398,-0.1943552,-0.303827,-0.3146408,-0.3872158,-1.158446,-1.153745
72481929,-0.4028655,-0.2815847,-1.18136,-1.173672,-0.5894188,-0.130623,3.118466,3.180896,-0.4392736,-0.3038832,-0.8278465,-0.8295888,-0.5921706,-0.1933493,-0.2955976,-0.3143469,-0.386293,-1.157579,-1.149891
72481966,-0.402386,-0.2837288,-1.18124,-1.171854,-0.5863951,-0.1234135,3.11562,3.176496,-0.4385238,-0.3004331,-0.8274847,-0.8306899,-0.5907639,-0.1913831,-0.2942013,-0.3135929,-0.3844693,-1.157502,-1.148116
72481997,-0.4040999,-0.2851873,-1.177437,-1.170787,-0.5814079,-0.1207571,3.10853,3.174312,-0.4383846,-0.3000513,-0.8278984,-0.8305122,-0.5897543,-0.1899728,-0.2900117,-0.3140981,-0.3824499,-1.153714,-1.147064
72482029,-0.4044074,-0.2857863,-1.180917,-1.173036,-0.5799757,-0.1159994,3.107608,3.1784,-0.4334227,-0.295849,-0.8271431,-0.8306327,-0.5886264,-0.1883553,-0.2901762,-0.3133157,-0.3795069,-1.157209,-1.149328
72482064,-0.4048755,-0.2777899,-1.171511,-1.166727,-0.5713084,-0.1159477,3.100939,3.18163,-0.4328017,-0.2915539,-0.8263641,-0.8290583,-0.5832684,-0.1865774,-0.290278,-0.3140804,-0.3758918,-1.147682,-1.142898
72482097,-0.4057598,-0.273729,-1.172714,-1.164098,-0.5675503,-0.1166625,3.094401,3.180841,-0.433021,-0.2864822,-0.8253652,-0.8191767,-0.5740457,-0.1836206,-0.2977715,-0.3141484,-0.3746426,-1.148809,-1.140193
72482131,-0.4053953,-0.275449,-1.17282,-1.165255,-0.5648466,-0.1111325,3.088569,3.195966,-0.4239869,-0.2807727,-0.8236575,-0.8187785,-0.5737467,-0.1812395,-0.2973607,-0.3139705,-0.3684841,-1.148755,-1.14119
72482169,-0.4024885,-0.2708924,-1.178932,-1.16729,-0.5633488,-0.1053352,3.081842,3.194797,-0.41558,-0.2746319,-0.8272027,-0.8199059,-0.5679392,-0.1789865,-0.3013486,-0.3155701,-0.3644521,-1.154911,-1.143268
72482202,-0.3990789,-0.2673028,-1.180132,-1.168151,-0.5698184,-0.08076786,3.073667,3.192327,-0.4096166,-0.270974,-0.8191936,-0.8181015,-0.5549859,-0.1706585,-0.2985511,-0.3222402,-0.3598222,-1.156072,-1.144092
72482234,-0.3871777,-0.2580668,-1.168311,-1.164914,-0.5942435,-0.06035268,3.067954,3.194756,-0.3904648,-0.2641694,-0.8014074,-0.8127139,-0.5515394,-0.1635721,-0.2995823,-0.3290392,-0.3527275,-1.144222,-1.140825
72482265,-0.3862062,-0.25183,-1.164989,-1.161743,-0.6169352,-0.007784441,3.052975,3.21505,-0.3922936,-0.2558285,-0.7965164,-0.8099694,-0.5427213,-0.1524231,-0.3054041,-0.3293422,-0.349986,-1.140833,-1.137587
72482297,-0.4195114,-0.2502207,-1.221125,-1.159452,-0.6558166,0.01350811,3.048864,3.203068,-0.3838738,-0.2512595,-0.7941022,-0.8078465,-0.54077,-0.1286898,-0.3065093,-0.3304731,-0.3403695,-1.148763,-1.135363
72482328,-0.4105035,-0.2516735,-1.192267,-1.16134,-0.6744559,0.04767472,3.061887,3.198319,-0.3790257,-0.2445082,-0.7624406,-0.8065946,-0.5327382,-0.1158835,-0.3200178,-0.3299698,-0.3341459,-1.117843,-1.137286
72482365,-0.4021081,-0.2529441,-1.138124,-1.163596,-0.7014053,0.07619891,3.102371,3.208831,-0.372604,-0.2428102,-0.7160103,-0.805935,-0.528815,-0.1085807,-0.319336,-0.3264045,-0.3265977,-1.068871,-1.139565
72482397,-0.385127,-0.2543467,-1.065656,-1.162043,-0.6892954,0.09103379,3.156623,3.213465,-0.376967,-0.2409351,-0.6795036,-0.8050213,-0.5326746,-0.09895872,-0.3132592,-0.3163536,-0.3254157,-1.002773,-1.138164
72482430,-0.3753089,-0.2560661,-1.008774,-1.145698,-0.6968008,0.1046381,3.172554,3.227467,-0.3821177,-0.2414772,-0.616317,-0.7905042,-0.5341598,-0.08993216,-0.2919801,-0.2857639,-0.3230602,-0.9378424,-1.122012
72482465,-0.3675667,-0.2595421,-0.9502338,-1.144996,-0.7100674,0.1099864,3.185371,3.229597,-0.3825217,-0.2434094,-0.5503349,-0.7935822,-0.5352975,-0.08247568,-0.2615606,-0.2570517,-0.3232134,-0.870606,-1.121809
72482498,-0.3486027,-0.264534,-0.9015284,-1.151232,-0.7160017,0.1110715,3.197167,3.237049,-0.3791496,-0.2477757,-0.5380552,-0.7897553,-0.5492004,-0.0724919,-0.2144046,-0.2135076,-0.3187571,-0.8264648,-1.128043
72482530,-0.3389129,-0.2684298,-0.8637651,-1.154211,-0.7257783,0.1098541,3.210758,3.250367,-0.3822765,-0.2505623,-0.4873016,-0.7922779,-0.5426337,-0.07862558,-0.1864553,-0.1973308,-0.3192621,-0.7861765,-1.130918
72482573,-0.3306972,-0.2684177,-0.8402073,-1.155254,-0.7217788,0.1040264,3.212432,3.251813,-0.3807355,-0.2504376,-0.4666168,-0.7918029,-0.5467701,-0.08079865,-0.1793135,-0.1806499,-0.3136659,-0.7755653,-1.131989
72482601,-0.3246298,-0.2706972,-0.8203626,-1.167591,-0.7140287,0.1044372,3.216299,3.264313,-0.3796418,-0.2515093,-0.4617629,-0.7865353,-0.5493141,-0.08153026,-0.1768584,-0.1760823,-0.3109316,-0.749142,-1.144329
72482635,-0.3228595,-0.2671123,-0.8140001,-1.155527,-0.7059473,0.1031268,3.218208,3.265019,-0.3787249,-0.2505122,-0.458616,-0.7673347,-0.5513422,-0.08255014,-0.1861601,-0.1773503,-0.3109723,-0.7470902,-1.132374
