TimeStamp, FootLeft_x, FootRight_x, FootLeft_y, FootRight_y, WristLeft_x, WristRight_x,WristLeft_z, WristRight_z,KneeLeft_x, KneeRight_x,KneeLeft_y,KneeRight_y,ElbowLeft_x, ElbowRight_x,ElbowLeft_y, ElbowRight_y,Spine_y,AnkleLeft_y, AnkleRight_y
72511235,-0.2248906,-0.1486569,-0.8882287,-1.214177,-0.5232111,0.1445986,3.563855,3.571257,-0.2631482,-0.1366424,-0.5289594,-0.8366612,-0.4348674,0.05479363,-0.1670636,-0.1869541,-0.1701562,-0.8147708,-1.191945
72511264,-0.2174007,-0.1365118,-0.9103523,-1.203483,-0.5292563,0.1658501,3.55772,3.561325,-0.2475387,-0.1541127,-0.5730169,-0.8080048,-0.4360169,0.05853973,-0.17152,-0.2185774,-0.1721935,-0.8535129,-1.181244
72511295,-0.2121855,-0.1104963,-0.9303214,-1.185437,-0.5326152,0.1481469,3.545673,3.52224,-0.2475748,-0.1156063,-0.5736802,-0.8123186,-0.4368663,0.05788693,-0.2349563,-0.2284459,-0.1735753,-0.8601145,-1.163061
72511331,-0.2062108,-0.1087619,-0.9693546,-1.188717,-0.5534325,0.1495687,3.512854,3.502737,-0.2487428,-0.1122378,-0.5854656,-0.8184319,-0.4336734,0.02601632,-0.2520362,-0.3063504,-0.1730434,-0.8996508,-1.166423
72511363,-0.2026311,-0.1139734,-0.9846569,-1.190029,-0.5568848,0.1553849,3.511345,3.49032,-0.2475195,-0.109714,-0.6198403,-0.822714,-0.4393007,0.02948664,-0.2568461,-0.3162664,-0.160505,-0.9029273,-1.167919
72511394,-0.2025021,-0.1115874,-0.9878181,-1.211144,-0.5615187,0.1719566,3.510575,3.489108,-0.2477571,-0.1044197,-0.6238512,-0.8379974,-0.4467265,0.04336547,-0.2568115,-0.3226913,-0.1589355,-0.9049502,-1.189057
72511430,-0.2007585,-0.1162002,-0.9905147,-1.22207,-0.5657793,0.2065364,3.52448,3.504263,-0.2488266,-0.1045861,-0.6231703,-0.8405064,-0.4458113,0.06616051,-0.2575117,-0.2993668,-0.1612228,-0.9115744,-1.199998
72511464,-0.1984214,-0.1058962,-0.9898571,-1.206714,-0.5614086,0.1916465,3.593699,3.536684,-0.2490835,-0.1042479,-0.6182278,-0.835312,-0.4540189,0.06590667,-0.2160085,-0.2849528,-0.1728872,-0.9078201,-1.184444
72511496,-0.1956776,-0.1203293,-0.9516851,-1.213971,-0.5667145,0.1624375,3.598957,3.536909,-0.2492731,-0.1060433,-0.6055806,-0.8348527,-0.4258866,0.06603293,-0.2396882,-0.2728041,-0.1611473,-0.8799248,-1.191703
72511531,-0.1917173,-0.1216658,-0.9202684,-1.21414,-0.5556781,0.1764057,3.57794,3.534443,-0.2602338,-0.107235,-0.5508828,-0.8354539,-0.4460298,0.03871345,-0.1708623,-0.2683596,-0.1643393,-0.8300248,-1.192034
72511563,-0.1866831,-0.1308425,-0.9172889,-1.215233,-0.5325463,0.1684272,3.53701,3.538112,-0.257042,-0.1099158,-0.5380365,-0.8327325,-0.4453079,0.07129069,-0.1692706,-0.1827165,-0.1621272,-0.8308411,-1.193161
72511595,-0.1830617,-0.1623823,-0.9083307,-1.244941,-0.5323625,0.1569512,3.558093,3.534812,-0.2546575,-0.1162607,-0.5297217,-0.8209872,-0.4443473,0.06007266,-0.1669902,-0.2007553,-0.1663468,-0.8303061,-1.1848
72511632,-0.1784052,-0.1332081,-0.9016499,-1.157526,-0.5162294,0.1583177,3.537911,3.52931,-0.254306,-0.1607702,-0.5280609,-0.76499,-0.4415869,0.06233884,-0.1619974,-0.2085278,-0.1658994,-0.8304847,-1.135428
72511666,-0.2058626,-0.156712,-0.8269597,-1.209613,-0.5407723,0.1836357,3.524734,3.506822,-0.254767,-0.1673307,-0.5294437,-0.7648271,-0.437785,0.04263272,-0.169316,-0.2454218,-0.1620844,-0.8047081,-1.133161
72511699,-0.1961328,-0.134533,-0.882529,-1.152645,-0.5509403,0.180585,3.468148,3.497749,-0.239862,-0.1682461,-0.5878594,-0.7619214,-0.434685,0.05105332,-0.1816566,-0.2526269,-0.1637046,-0.860175,-1.130291
72511732,-0.18605,-0.1304299,-0.991017,-1.153443,-0.5389041,0.1901189,3.444977,3.422591,-0.2442593,-0.1679882,-0.6031666,-0.763787,-0.4217502,0.06578643,-0.2411795,-0.2653984,-0.1692052,-0.9135138,-1.130795
72511764,-0.1849113,-0.1380265,-0.9964768,-1.153031,-0.5365905,0.1958587,3.380245,3.411001,-0.234574,-0.1691137,-0.6318052,-0.7641796,-0.4218485,0.06526706,-0.246771,-0.2724656,-0.1650531,-0.9178488,-1.129977
72511795,-0.1871032,-0.1444707,-0.9929855,-1.128013,-0.5330316,0.1982878,3.388652,3.405345,-0.2340371,-0.1867356,-0.6340991,-0.7461975,-0.4229057,0.0705705,-0.2623981,-0.2942591,-0.1600862,-0.9082412,-1.105484
72511830,-0.1895137,-0.1439372,-0.9992567,-1.130237,-0.5310481,0.1953068,3.39664,3.412174,-0.2344996,-0.1866609,-0.6370784,-0.7488713,-0.4191661,0.07114334,-0.2707956,-0.2958029,-0.1605774,-0.9155803,-1.107746
72511863,-0.1967264,-0.1424233,-0.9958264,-1.128529,-0.5353352,0.1852509,3.394358,3.42191,-0.2393486,-0.1870743,-0.631557,-0.7475679,-0.420741,0.07092479,-0.2665763,-0.295585,-0.1609085,-0.914142,-1.105999
72511895,-0.2067824,-0.1390256,-0.9866636,-1.12464,-0.5307131,0.1819052,3.396005,3.482722,-0.2423773,-0.1879876,-0.6204568,-0.7438921,-0.4374881,0.06761377,-0.2319405,-0.2664319,-0.1693346,-0.9055988,-1.102273
72511931,-0.2084797,-0.1421732,-0.968549,-1.118546,-0.5334439,0.1910101,3.484299,3.493452,-0.2466899,-0.1912654,-0.5797927,-0.735371,-0.4338527,0.0695372,-0.1891993,-0.2287494,-0.1659247,-0.8997352,-1.096361
72511967,-0.2150701,-0.1398288,-0.9192761,-1.113762,-0.5355535,0.1840406,3.476042,3.498387,-0.2437821,-0.191868,-0.5788159,-0.7278498,-0.4294092,0.05981365,-0.17069,-0.1997075,-0.1722728,-0.8554635,-1.091675
72512000,-0.2103154,-0.1382863,-0.9192754,-1.146344,-0.5165613,0.1787852,3.473741,3.497725,-0.2474809,-0.183943,-0.5346138,-0.7577738,-0.4270716,0.07390767,-0.1691635,-0.1777315,-0.1700561,-0.8388931,-1.124188
72512031,-0.2066096,-0.1372155,-0.9057395,-1.210621,-0.5142735,0.1697573,3.473357,3.496029,-0.2543123,-0.1546111,-0.500134,-0.7802523,-0.4243085,0.07891257,-0.1688611,-0.1804869,-0.1684306,-0.8277317,-1.155786
72512064,-0.2060025,-0.1329884,-0.9046059,-1.179281,-0.4995143,0.1685122,3.459407,3.496927,-0.2438103,-0.1538608,-0.5647724,-0.7815188,-0.414169,0.06625205,-0.1847642,-0.2012086,-0.1670343,-0.8411978,-1.157021
72512096,-0.2058292,-0.1245362,-0.9238075,-1.180354,-0.4916221,0.1793137,3.456828,3.479852,-0.2438575,-0.1523094,-0.5649172,-0.7826566,-0.4082648,0.07290592,-0.2007458,-0.1922516,-0.1675791,-0.8427655,-1.15789
72512132,-0.2055796,-0.1211713,-0.9437683,-1.179533,-0.4863788,0.1883941,3.439209,3.452938,-0.2443391,-0.1186182,-0.5690473,-0.8117471,-0.38273,0.07884224,-0.2526374,-0.2095652,-0.1651455,-0.8664562,-1.157071
72512163,-0.2066683,-0.1116246,-0.9693762,-1.19436,-0.5125943,0.1890873,3.412183,3.403802,-0.2449282,-0.1162777,-0.584421,-0.8120986,-0.3804334,0.06035585,-0.2637348,-0.2643932,-0.1610043,-0.888206,-1.171638
72512195,-0.2076175,-0.1173561,-0.9816353,-1.198673,-0.4913984,0.1922371,3.413428,3.388988,-0.2376531,-0.1081481,-0.6120527,-0.8114834,-0.3697629,0.0670736,-0.2818395,-0.280968,-0.1588783,-0.8972704,-1.176264
