TimeStamp, FootLeft_x, FootRight_x, FootLeft_y, FootRight_y, WristLeft_x, WristRight_x,WristLeft_z, WristRight_z,KneeLeft_x, KneeRight_x,KneeLeft_y, KneeRight_y,ElbowLeft_x, ElbowRight_x,ElbowLeft_y, ElbowRight_y,Spine_y,AnkleLeft_y, AnkleRight_y
72611374, -0.1377868, -0.04282558, -1.246003, -1.204341, -0.3976598, 0.04280709, 3.333301, 3.333574, -0.2013652, -0.07002872, -0.8243005, -0.8466576, -0.3579099, 0.04149844, -0.3409287, -0.3353759, -0.1523032, -1.187569, -1.183242
 72611406, -0.1421947, -0.0429014, -1.244805, -1.204549, -0.4082802, 0.04456899, 3.32044, 3.331458, -0.2024966, -0.06964298, -0.822168, -0.8462632, -0.3565004, 0.03753823, -0.3440293, -0.3197144, -0.1535637, -1.184422, -1.183383
 72611442, -0.1414291, -0.04632041, -1.245221, -1.205749, -0.4180037, 0.05410993, 3.284886, 3.332424, -0.2023155, -0.06755043, -0.8219134, -0.8454057, -0.3576422, 0.02807602, -0.345248, -0.3432338, -0.1534286, -1.182991, -1.184573
 72611473, -0.1650859, -0.05218364, -1.204326, -1.206408, -0.4300932, 0.059271, 3.277553, 3.336985, -0.2045703, -0.06618441, -0.8208513, -0.8437222, -0.3626603, 0.02950838, -0.354816, -0.3389969, -0.1549004, -1.183135, -1.185217
 72611503, -0.164249, -0.05258225, -1.194195, -1.204004, -0.4619703, 0.07470864, 3.245094, 3.340635, -0.2074393, -0.06142166, -0.8225568, -0.8174328, -0.3672049, 0.02977331, -0.3513008, -0.3387115, -0.1600814, -1.173036, -1.182845
 72611538, -0.1695435, -0.03958204, -1.193901, -1.242242, -0.4775545, 0.1350851, 3.242252, 3.333434, -0.2136694, -0.06011957, -0.8259273, -0.8171825, -0.3705542, 0.03118333, -0.3466264, -0.3477937, -0.1642916, -1.172726, -1.177382
 72611570, -0.1727497, -0.04267425, -1.186117, -1.227396, -0.5065207, 0.1492046, 3.223264, 3.327528, -0.2249692, -0.05101881, -0.8266243, -0.7996677, -0.3999661, 0.03714717, -0.347929, -0.3560762, -0.1712593, -1.164878, -1.157107
 72611599, -0.1731457, -0.04201749, -1.193492, -1.189422, -0.529368, 0.1781642, 3.21853, 3.343462, -0.2296916, -0.04547818, -0.8356795, -0.7861159, -0.3996928, 0.03771996, -0.3380653, -0.3531192, -0.1726742, -1.172262, -1.125286
 72611636, -0.1745478, -0.05527615, -1.181432, -1.147078, -0.5505865, 0.198727, 3.21757, 3.357658, -0.2324566, -0.0456976, -0.83351, -0.7400572, -0.4021535, 0.03953503, -0.3233862, -0.3437314, -0.1746867, -1.160221, -1.058334
 72611674, -0.1727477, -0.0496311, -1.181093, -1.081663, -0.570817, 0.2194943, 3.233596, 3.378444, -0.2320242, -0.04549586, -0.8281845, -0.72866, -0.40528, 0.0454055, -0.3205918, -0.3348764, -0.1779474, -1.159924, -1.011689
 72611708, -0.1713575, -0.06283475, -1.184359, -1.043816, -0.5722959, 0.2339784, 3.247127, 3.408844, -0.2283737, -0.04799179, -0.8207918, -0.6763418, -0.4042595, 0.05543843, -0.2886845, -0.2937247, -0.1822145, -1.163382, -0.9594526
 72611741, -0.1659313, -0.06848279, -1.183461, -0.9753314, -0.5729921, 0.2455615, 3.305919, 3.44623, -0.2260405, -0.04614371, -0.8160817, -0.605787, -0.3563143, 0.04648609, -0.2897334, -0.2665629, -0.1800516, -1.162608, -0.893005
 72611772, -0.1699022, -0.07548789, -1.181608, -0.9580129, -0.5837045, 0.2635168, 3.321148, 3.475199, -0.2216662, -0.04519487, -0.8150855, -0.5956187, -0.3645888, 0.06106623, -0.2646565, -0.2422511, -0.1782432, -1.16064, -0.88399
 72611808, -0.1745511, -0.0773928, -1.1801, -0.941637, -0.5909603, 0.2406884, 3.338267, 3.478858, -0.2205364, -0.04992099, -0.8088205, -0.5592515, -0.3657979, 0.0441311, -0.2376291, -0.197564, -0.1763737, -1.159144, -0.8676166
 72611841, -0.1831996, -0.08072995, -1.174494, -0.9247094, -0.6696027, 0.252384, 3.301374, 3.492823, -0.2197371, -0.04637546, -0.8047822, -0.5207756, -0.485846, 0.04963087, -0.1589131, -0.1883622, -0.1749426, -1.153442, -0.8551984
 72611869, -0.1857764, -0.08586179, -1.175013, -0.9072936, -0.6570616, 0.2379254, 3.326353, 3.521003, -0.2188987, -0.04949293, -0.8025092, -0.5193813, -0.4699048, 0.0494045, -0.1626026, -0.1850177, -0.1732019, -1.153816, -0.8450001
