TimeStamp, FootLeft_x, FootRight_x, FootLeft_y, FootRight_y, WristLeft_x, WristRight_x,WristLeft_z, WristRight_z,KneeLeft_x, KneeRight_x,KneeLeft_y, KneeRight_y,ElbowLeft_x, ElbowRight_x,ElbowLeft_y, ElbowRight_y,Spine_y,AnkleLeft_y, AnkleRight_y
72012311, -0.651818, -0.4717378, -0.7106719, -0.7118629, -0.7733811, -0.292028, 3.119391, 3.132583, -0.6742675, -0.4566061, -0.2814331, -0.2728355, -0.8495483, -0.2547334, 0.4593355, 0.4038976, -0.5383502, -0.662753, -0.663944
 72012346, -0.6754532, -0.4572152, -0.7220769, -0.6919898, -0.7723349, -0.2863827, 3.112929, 3.152388, -0.6698607, -0.4590396, -0.2078272, -0.220616, -0.8469589, -0.2505028, 0.5266035, 0.5163633, -0.5399715, -0.6494937, -0.64491
 72012374, -0.6673018, -0.4888393, -0.6336953, -0.664858, -0.7989381, -0.2698812, 3.138473, 3.156673, -0.6658118, -0.4599701, -0.1526271, -0.1669278, -0.8728448, -0.2311726, 0.6346005, 0.5992594, -0.5408776, -0.5277884, -0.5902626
 72012406, -0.6347174, -0.5506599, -0.4754416, -0.5462784, -0.8157803, -0.2457421, 3.165039, 3.182166, -0.6602075, -0.4452248, -0.09405978, -0.1043072, -0.874899, -0.2250921, 0.6427658, 0.6459806, -0.543734, -0.42654, -0.4378984
 72012441, -0.6143906, -0.5338995, -0.3521456, -0.3486661, -0.8282146, -0.2267236, 3.169265, 3.185011, -0.6403926, -0.4309169, 0.004770054, -0.009293662, -0.8753924, -0.2315712, 0.648419, 0.6495311, -0.5367401, -0.3016089, -0.2981294
 72012474, -0.6261439, -0.5873123, -0.2482458, -0.2571092, -0.8521357, -0.1949209, 3.178844, 3.179956, -0.6288747, -0.4244057, 0.05665672, 0.06362897, -0.8764052, -0.2394335, 0.6540644, 0.6411062, -0.5351661, -0.1962765, -0.1652642
 72012507, -0.6196382, -0.5479413, -0.2294948, -0.1310331, -0.8797153, -0.1772324, 3.179062, 3.185174, -0.623759, -0.4049466, 0.07693326, 0.09180832, -0.8750086, -0.2493662, 0.6387843, 0.6189026, -0.5344135, -0.176001, -0.07753928
 72012542, -0.5976445, -0.5461786, -0.1932934, -0.1515205, -0.8917781, -0.1724263, 3.164869, 3.197735, -0.6119612, -0.4052725, 0.08632374, 0.09227663, -0.857072, -0.2590752, 0.6007735, 0.5656942, -0.5317644, -0.1369577, -0.09518479
 72012574, -0.5883872, -0.5925536, -0.231081, -0.2414249, -0.9039869, -0.1742066, 3.165723, 3.233029, -0.6075804, -0.4039316, 0.08280599, 0.08111465, -0.8507458, -0.2705645, 0.5903299, 0.5235694, -0.5210574, -0.1721365, -0.1449551
 72012609, -0.604847, -0.5423318, -0.3715902, -0.3361179, -0.9024485, -0.1799106, 3.164792, 3.250628, -0.6023763, -0.4026679, 0.04896039, 0.0326636, -0.8416762, -0.2750665, 0.5778598, 0.4847138, -0.5218593, -0.282818, -0.2355139
 72012644, -0.5989186, -0.4949065, -0.4831881, -0.5039042, -0.8932365, -0.2207925, 3.171233, 3.266659, -0.5981833, -0.4001893, -0.04288507, -0.05570765, -0.8338051, -0.2864748, 0.5701677, 0.483108, -0.5232495, -0.4072337, -0.4217686
 72012676, -0.591044, -0.4506341, -0.5846599, -0.6224055, -0.8763071, -0.2448585, 3.161478, 3.283297, -0.5991217, -0.4072099, -0.1479064, -0.1696515, -0.8421032, -0.318309, 0.5085099, 0.4457059, -0.5163809, -0.5168588, -0.5564842
 72012712, -0.5968304, -0.4281739, -0.681191, -0.7057869, -0.84496, -0.2769122, 3.132617, 3.28491, -0.5977023, -0.4181776, -0.2311089, -0.2640268, -0.8441758, -0.3271194, 0.5014983, 0.431954, -0.5167195, -0.6034787, -0.6333807
 72012744, -0.579896, -0.4054476, -0.7355864, -0.7066642, -0.8155231, -0.3027306, 3.107895, 3.305198, -0.6040773, -0.4215302, -0.2993955, -0.2829308, -0.8394194, -0.3397932, 0.4609875, 0.3531669, -0.5223869, -0.6810439, -0.6521217
 72012775, -0.5766618, -0.4419534, -0.7376866, -0.7742901, -0.8082248, -0.3147489, 3.107488, 3.309271, -0.6015512, -0.423999, -0.306367, -0.3044493, -0.8376545, -0.3398292, 0.3831721, 0.329967, -0.5111343, -0.6828953, -0.6982118
 72012811, -0.5864509, -0.434469, -0.7616878, -0.7645442, -0.785005, -0.3168708, 3.098819, 3.318642, -0.5726129, -0.3958183, -0.3505667, -0.3321824, -0.825107, -0.3427961, 0.2753673, 0.2224683, -0.499256, -0.6873815, -0.6961786
 72012844, -0.587523, -0.4410965, -0.771061, -0.7686296, -0.791852, -0.3159973, 3.092389, 3.31716, -0.5691997, -0.384483, -0.3539829, -0.3407211, -0.7924492, -0.3404796, 0.1961548, 0.1423787, -0.4893881, -0.6948593, -0.6974504
 72012879, -0.5875428, -0.4493585, -0.7712249, -0.7661307, -0.7879591, -0.3242302, 3.068614, 3.295841, -0.5691835, -0.377001, -0.3544337, -0.3487404, -0.7510749, -0.3428096, 0.1165877, 0.108515, -0.4884642, -0.6949329, -0.6962843
 72012915, -0.5889969, -0.4543077, -0.7717137, -0.7681216, -0.7468232, -0.3259839, 3.007115, 3.291945, -0.5696322, -0.3730305, -0.3530144, -0.3658333, -0.7277297, -0.3453225, 0.1000501, 0.1064453, -0.491764, -0.6952606, -0.6962954
 72012948, -0.5876768, -0.459547, -0.7721168, -0.7683803, -0.7109376, -0.2887, 2.968608, 3.180748, -0.5696312, -0.3679669, -0.3535304, -0.3668627, -0.7224455, -0.3444937, 0.1051027, 0.1133717, -0.491254, -0.695348, -0.6958695
 72012980, -0.5885329, -0.4617564, -0.7718164, -0.7623115, -0.6826057, -0.2969923, 2.943382, 3.191415, -0.5684716, -0.3677123, -0.3515982, -0.347345, -0.7383479, -0.331869, 0.1827533, 0.1471593, -0.481567, -0.6962999, -0.6868789
 72013017, -0.5883583, -0.4604565, -0.7712238, -0.7631412, -0.6568438, -0.2780267, 2.944759, 3.167678, -0.5669736, -0.3671748, -0.347682, -0.3427742, -0.7321125, -0.3279983, 0.1942569, 0.1608226, -0.4778743, -0.6973909, -0.6871407
 72013046, -0.5893526, -0.4595432, -0.769435, -0.7634542, -0.6289602, -0.2621862, 2.933804, 3.159183, -0.5652661, -0.3651575, -0.3436524, -0.3395093, -0.7395649, -0.3150481, 0.231755, 0.2041337, -0.4748967, -0.6942511, -0.6850337
 72013079, -0.5884191, -0.4264457, -0.7696099, -0.7349924, -0.6004558, -0.2422586, 2.903511, 3.142891, -0.5676507, -0.363654, -0.3459721, -0.3363372, -0.7358427, -0.3118651, 0.2496854, 0.2227824, -0.4732649, -0.6947644, -0.6841949
 72013116, -0.5887887, -0.4277112, -0.76961, -0.7345181, -0.5651872, -0.2285746, 2.887347, 3.136051, -0.5692085, -0.3634202, -0.3455575, -0.3331189, -0.7319238, -0.3069353, 0.2636349, 0.2325232, -0.4715335, -0.6951277, -0.6842282
 72013147, -0.5884253, -0.4263122, -0.7684333, -0.7349793, -0.5665181, -0.2083876, 2.877818, 3.137677, -0.5695502, -0.3632627, -0.3440204, -0.3325974, -0.7324757, -0.2835345, 0.2736419, 0.2717702, -0.4683913, -0.6951558, -0.6856948
 72013173, -0.5880714, -0.4595009, -0.7681794, -0.7657673, -0.5413871, -0.2076014, 2.855286, 3.131097, -0.5701262, -0.3650111, -0.3434489, -0.3310243, -0.7164593, -0.2837359, 0.2731408, 0.2750144, -0.4678162, -0.6950991, -0.6859345
 72013211, -0.5883411, -0.4542935, -0.7645652, -0.7629067, -0.5348047, -0.2056889, 2.851649, 3.133267, -0.5695607, -0.3668191, -0.3365149, -0.3308775, -0.7104467, -0.281673, 0.2765087, 0.2776054, -0.4660808, -0.6900587, -0.6898907
 72013243, -0.5879124, -0.4533376, -0.7665568, -0.7605911, -0.5304592, -0.2028531, 2.847339, 3.137948, -0.5643253, -0.3701287, -0.3370882, -0.3306008, -0.702639, -0.2831478, 0.2780007, 0.2823507, -0.4618251, -0.6912946, -0.6900615
 72013284, -0.5867441, -0.4530299, -0.7677756, -0.7609605, -0.5370748, -0.2058158, 2.835721, 3.1401, -0.5591449, -0.3735788, -0.3373324, -0.3302637, -0.6998134, -0.2846691, 0.2823407, 0.2831316, -0.4585011, -0.6919385, -0.6906719
 72013327, -0.5865501, -0.4521167, -0.768181, -0.7606698, -0.5386534, -0.2214856, 2.830356, 3.147187, -0.5440046, -0.3749071, -0.3383974, -0.3309445, -0.6920705, -0.2906179, 0.2923913, 0.2772902, -0.4533066, -0.6922731, -0.691687
 72013373, -0.5855196, -0.453216, -0.7685161, -0.762482, -0.593048, -0.2499532, 2.85326, 3.175289, -0.5283504, -0.3749332, -0.3399442, -0.3333251, -0.6825099, -0.2967726, 0.2950225, 0.2730888, -0.4401289, -0.6926451, -0.6919703
 72013407, -0.5866461, -0.4545981, -0.7647308, -0.7574244, -0.6075122, -0.2669915, 2.87405, 3.225338, -0.5197998, -0.37491, -0.3332233, -0.3334382, -0.674489, -0.3013487, 0.2996245, 0.269076, -0.4373758, -0.6885706, -0.6925634
 72013440, -0.5867514, -0.4521253, -0.7670801, -0.7593983, -0.6305801, -0.2871483, 2.887731, 3.272749, -0.5132794, -0.3743772, -0.3348035, -0.3344865, -0.6749396, -0.3027413, 0.300497, 0.2704279, -0.4361372, -0.6906621, -0.6937102
 72013472, -0.5883217, -0.4417458, -0.7676442, -0.7540979, -0.6652016, -0.2877646, 2.914221, 3.273584, -0.5064051, -0.373713, -0.3322476, -0.3341846, -0.677063, -0.3041702, 0.2976517, 0.2715884, -0.4331375, -0.6912326, -0.6942781
 72013508, -0.5884003, -0.4502931, -0.7712545, -0.7487643, -0.7098231, -0.2890192, 2.937747, 3.275723, -0.5035954, -0.3731396, -0.3340237, -0.3347104, -0.6835561, -0.3065544, 0.2916141, 0.2782106, -0.4269319, -0.6946762, -0.6942947
