TimeStamp,FootLeft_x,FootRight_x,FootLeft_y,FootRight_y,WristLeft_x,WristRight_x,WristLeft_z,WristRight_z,KneeLeft_x,KneeRight_x,KneeLeft_y,KneeRight_y,ElbowLeft_x,ElbowRight_x,ElbowLeft_y,ElbowRight_y,Spine_y,AnkleLeft_y,AnkleRight_y
63899522, -0.6514319, 0.2798636, -0.7384949, -0.6626824, -0.7352794, 0.4015754, 3.440585, 3.571687, -0.4415023, 0.1133745, -0.2071439, -0.225022, -0.6339889, 0.3118093, 0.811062, 0.8620892, -0.126792, -0.6571367, -0.6227415
 63899558, -0.6607556, 0.290867, -0.7395605, -0.7094605, -0.5559507, 0.2735757, 3.4364, 3.551704, -0.4407996, 0.1116206, -0.2418947, -0.2647271, -0.6092569, 0.2626518, 0.9039888, 0.8655454, -0.1308831, -0.6589707, -0.6293094
 63899596, -0.6653024, 0.29696, -0.741981, -0.7166842, -0.4253103, 0.1568296, 3.428749, 3.532299, -0.4384215, 0.1002077, -0.2777545, -0.2729138, -0.5609548, 0.2408042, 0.8907126, 0.8976982, -0.1348504, -0.6753214, -0.6362723
 63899650, -0.6684089, 0.3060448, -0.7458265, -0.7244793, -0.4226087, 0.09059628, 3.442794, 3.526979, -0.4252064, 0.1404567, -0.2856725, -0.3086866, -0.5177617, 0.2105396, 0.8705617, 0.8827977, -0.1380272, -0.6741117, -0.6425418
 63899684, -0.6691456, 0.3065243, -0.7460249, -0.7234378, -0.4396002, 0.1568732, 3.446631, 3.525199, -0.4245707, 0.1411268, -0.2850374, -0.307658, -0.5364432, 0.2383551, 0.860874, 0.85562, -0.1396956, -0.6733884, -0.6417372
 63899714, -0.6695853, 0.3054652, -0.7462645, -0.7224327, -0.540972, 0.2550638, 3.453221, 3.535208, -0.4398178, 0.09274879, -0.2822693, -0.2764608, -0.5815175, 0.2575525, 0.7991158, 0.8273481, -0.1367327, -0.6807613, -0.6411152
 63899751, -0.6480897, 0.2924244, -0.7415337, -0.7137907, -0.7067494, 0.3534806, 3.370842, 3.525334, -0.4429008, 0.09992868, -0.2634453, -0.2712006, -0.6286473, 0.3091743, 0.7767539, 0.7707019, -0.1312201, -0.6489472, -0.6359681
 63899783, -0.6048542, 0.2420527, -0.7482387, -0.7011535, -0.8106772, 0.3930034, 3.368563, 3.515448, -0.4309749, 0.09351838, -0.2541019, -0.2591985, -0.6224257, 0.2988605, 0.7516832, 0.7222776, -0.1205193, -0.6576219, -0.6261714
 63899813, -0.5125366, 0.165664, -0.7400239, -0.7038457, -0.823187, 0.512456, 3.415296, 3.542506, -0.4047633, 0.06738617, -0.2473619, -0.250724, -0.6129783, 0.2899512, 0.7006429, 0.6998668, -0.1199905, -0.6623797, -0.6282015
 63899850, -0.4360218, 0.08928122, -0.7266208, -0.7261366, -0.7920305, 0.489664, 3.422487, 3.527828, -0.3598765, 0.02901086, -0.2431116, -0.2486847, -0.6032636, 0.25894, 0.6412238, 0.6412039, -0.1219226, -0.6476154, -0.6349951
 63899881, -0.3498601, -0.01475955, -0.7183966, -0.717723, -0.7200588, 0.4082521, 3.45, 3.518138, -0.3222388, 0.002959222, -0.2455697, -0.2516003, -0.5512164, 0.2065381, 0.5787015, 0.5941397, -0.12223, -0.6429245, -0.6470832
 63899913, -0.2333606, -0.08523955, -0.742969, -0.7347816, -0.6320965, 0.3670447, 3.468518, 3.522241, -0.2960013, -0.02759784, -0.2472261, -0.2546633, -0.4825433, 0.1783831, 0.5248662, 0.5129054, -0.121699, -0.6619311, -0.6588486
 63899947, -0.2371041, -0.09531452, -0.7540647, -0.764519, -0.493696, 0.2449464, 3.494462, 3.54366, -0.2815955, -0.06084979, -0.254964, -0.2656378, -0.4362964, 0.1158816, 0.4975311, 0.4766052, -0.1214476, -0.6780905, -0.687512
 63899978, -0.2326081, -0.1104789, -0.7504433, -0.7245961, -0.4285131, 0.1382267, 3.51658, 3.570483, -0.2523092, -0.07526658, -0.303616, -0.2922024, -0.4261263, 0.08837315, 0.4892739, 0.4060779, -0.1189527, -0.6731788, -0.6840426
 63900012, -0.2263506, -0.1370444, -0.7365986, -0.7321442, -0.4191302, 0.0797922, 3.548257, 3.570839, -0.2534232, -0.07894499, -0.3084792, -0.297345, -0.4145571, 0.04733345, 0.3938582, 0.3805912, -0.1156757, -0.6647119, -0.662235
 63900046, -0.2204938, -0.1382132, -0.7402143, -0.7331204, -0.4461687, 0.08222146, 3.548905, 3.570918, -0.2542688, -0.07986332, -0.3120334, -0.3006155, -0.4127672, 0.04782987, 0.3618184, 0.3807284, -0.1224213, -0.667931, -0.6623893
 63900078, -0.22088, -0.1331204, -0.7403642, -0.7360602, -0.5182313, 0.1530559, 3.517553, 3.550956, -0.2607968, -0.06965009, -0.3017374, -0.2972961, -0.4291333, 0.07104586, 0.374843, 0.3577833, -0.1218126, -0.6669915, -0.6629068
 63900109, -0.2359987, -0.1157427, -0.7378818, -0.7209094, -0.5853902, 0.2357144, 3.510277, 3.518852, -0.270244, -0.06284975, -0.2750467, -0.2790242, -0.4661598, 0.08913074, 0.4410056, 0.431054, -0.1242798, -0.6603985, -0.6405086
 63900145, -0.2496485, -0.08837498, -0.7301537, -0.7287849, -0.6649154, 0.3215857, 3.484259, 3.478384, -0.2844948, -0.04408042, -0.2731819, -0.2658764, -0.5053393, 0.1362531, 0.506898, 0.4846457, -0.133343, -0.646661, -0.6466308
 63900177, -0.30819, -0.03518467, -0.7158778, -0.7098637, -0.744369, 0.4013462, 3.445866, 3.473857, -0.3088434, -0.02416082, -0.2152318, -0.2079931, -0.5553669, 0.1938099, 0.56967, 0.5362568, -0.1291447, -0.6304404, -0.6281196
 63900210, -0.3659651, 0.0341075, -0.7142802, -0.7073396, -0.8129125, 0.474927, 3.370074, 3.445747, -0.3342116, 0.005693503, -0.2188945, -0.2412499, -0.5919321, 0.2468144, 0.6259231, 0.603266, -0.1317537, -0.6245094, -0.6228049
 63900245, -0.447453, 0.1074926, -0.6981604, -0.7046556, -0.8241903, 0.4842028, 3.355072, 3.477904, -0.3639691, 0.01678871, -0.2096051, -0.2328244, -0.6188744, 0.2526286, 0.6880897, 0.6777477, -0.1329796, -0.6148767, -0.6256692
 63900277, -0.4969199, 0.1530943, -0.7018, -0.7016847, -0.8177866, 0.4798582, 3.340774, 3.51947, -0.3961838, 0.05224451, -0.2162914, -0.2236121, -0.6218361, 0.2596023, 0.7449726, 0.7447801, -0.1443699, -0.6336178, -0.6009571
 63900310, -0.5641668, 0.2077982, -0.6997325, -0.7014537, -0.7929464, 0.4813628, 3.356869, 3.525608, -0.4140066, 0.05687411, -0.2198409, -0.2226871, -0.6360677, 0.2722206, 0.7891147, 0.7822146, -0.1547475, -0.6223912, -0.6253989
