TimeStamp,FootLeft_x,FootRight_x,FootLeft_y,FootRight_y,WristLeft_x,WristRight_x,WristLeft_z,WristRight_z,KneeLeft_x,KneeRight_x,KneeLeft_y,KneeRight_y,ElbowLeft_x,ElbowRight_x,ElbowLeft_y,ElbowRight_y,Spine_y,AnkleLeft_y,AnkleRight_y
63964982, -0.2866988, -0.04674365, -0.7352804, -0.7279502, -0.3035732, 0.0433144, 3.292997, 3.491777, -0.2697116, -0.03598698, -0.2504743, -0.2459214, -0.4074084, 0.2645332, 0.7354257, 0.7468747, -0.1095539, -0.6428978, -0.6357809
 63965012, -0.2863254, -0.048315, -0.7358536, -0.7270662, -0.2380231, 0.04627348, 3.262486, 3.515179, -0.2588485, -0.03441832, -0.2519126, -0.2464316, -0.3722739, 0.3071771, 0.7775338, 0.7484296, -0.1023088, -0.6501601, -0.6353511
 63965043, -0.2856814, -0.05024645, -0.7368566, -0.7269228, -0.2426271, 0.04815667, 3.317142, 3.519659, -0.2523356, -0.0332482, -0.2512428, -0.2475678, -0.354578, 0.3079451, 0.7905751, 0.7676803, -0.09270923, -0.6518313, -0.6353714
 63965078, -0.285739, -0.05068179, -0.736931, -0.7246214, -0.204615, 0.0721935, 3.281033, 3.523223, -0.2395317, -0.02584272, -0.2559811, -0.2534231, -0.3154125, 0.314293, 0.8080391, 0.8191789, -0.08329385, -0.6522076, -0.6346554
 63965113, -0.2850506, -0.05073121, -0.7364432, -0.7247455, -0.2049889, 0.02078298, 3.279079, 3.529914, -0.2290551, -0.02254367, -0.2641551, -0.2529376, -0.3168036, 0.3023138, 0.8098251, 0.84131, -0.07092167, -0.6587532, -0.6347222
 63965145, -0.2849001, -0.0541297, -0.7352971, -0.7189641, -0.2014333, 0.05625965, 3.282759, 3.508934, -0.2185226, -0.01841387, -0.2607765, -0.2448284, -0.3165581, 0.3048754, 0.8082955, 0.8282863, -0.06169724, -0.6596838, -0.6330435
 63965180, -0.2898815, -0.05273857, -0.7303336, -0.729337, -0.2127974, 0.07153256, 3.304213, 3.488284, -0.2072394, -0.01112227, -0.2500567, -0.2495724, -0.3185212, 0.2873191, 0.8043506, 0.8153305, -0.06577833, -0.651579, -0.6366308
 63965211, -0.2887911, -0.05440223, -0.7338669, -0.7223364, -0.2222387, 0.05016564, 3.317975, 3.443234, -0.2007701, -0.009561325, -0.2236459, -0.2483269, -0.3389096, 0.2530999, 0.7970566, 0.8155124, -0.05699369, -0.6510561, -0.6272246
 63965243, -0.2523196, -0.05193876, -0.7056145, -0.7295711, -0.225612, 0.07635868, 3.331296, 3.426393, -0.1986177, -0.009551195, -0.2000171, -0.2495371, -0.3644424, 0.2396773, 0.7987366, 0.7833308, -0.05705393, -0.6254777, -0.633673
 63965279, -0.2087498, -0.05188791, -0.6453564, -0.7284778, -0.2122168, 0.1025909, 3.343657, 3.350065, -0.1813211, -0.01216114, -0.1363354, -0.255353, -0.3940776, 0.2401058, 0.8224554, 0.7487624, -0.05593561, -0.5671274, -0.6343284
 63965311, -0.1723581, -0.05871026, -0.509888, -0.7327722, -0.2220814, 0.08552821, 3.381151, 3.313935, -0.1554317, -0.01748003, -0.07325092, -0.2590615, -0.4136775, 0.1924285, 0.8434867, 0.7183396, -0.05752122, -0.434285, -0.6353089
 63965343, -0.1524059, -0.05828371, -0.4095916, -0.7368471, -0.2310186, 0.02397573, 3.367959, 3.249378, -0.1546341, -0.01868774, 0.07706825, -0.2579398, -0.4495011, 0.1590013, 0.8461298, 0.6955853, -0.05996852, -0.3163655, -0.6362823
 63965380, -0.1206877, -0.05808311, -0.2728611, -0.7355773, -0.236701, -0.01597464, 3.408234, 3.21538, -0.1350807, -0.01741171, 0.1670586, -0.2582832, -0.4569203, 0.1095128, 0.8528624, 0.6801451, -0.06876192, -0.1798067, -0.6357593
 63965414, -0.09915135, -0.05500946, -0.1124357, -0.7290711, -0.2542739, 0.01690965, 3.462169, 3.289448, -0.1247738, -0.02264985, 0.280013, -0.2739919, -0.4770545, 0.03854828, 0.8713976, 0.7021853, -0.0821934, -0.05466303, -0.6334546
 63965448, -0.09759243, -0.06129901, -0.06046664, -0.7296917, -0.2616596, -0.01999733, 3.479074, 3.240202, -0.1232149, -0.03558224, 0.331982, -0.2674472, -0.4785911, -0.003286384, 0.8632579, 0.6452923, -0.09584899, -0.002687573, -0.6301229
 63965484, -0.1785643, -0.05996212, -0.3829895, -0.7315338, -0.2452053, -0.2372364, 3.552739, 3.196059, -0.1247013, -0.03702274, -0.004421115, -0.2574574, -0.4692045, -0.03912397, 0.8450325, 0.6420025, -0.09798622, -0.3390847, -0.6303804
 63965517, -0.180917, -0.05774071, -0.3777092, -0.7342954, -0.1821828, -0.2402978, 3.566626, 3.147596, -0.1260846, -0.03741648, -0.0005357563, -0.259126, -0.4222671, -0.02714176, 0.8442683, 0.5392249, -0.09150282, -0.3351934, -0.6344854
 63965549, -0.1936125, -0.05663829, -0.3739834, -0.7332546, -0.2153127, -0.1652812, 3.57184, 3.013459, -0.1378659, -0.03527487, 0.002705961, -0.24832, -0.4332831, -0.03140376, 0.8630718, 0.5421662, -0.09187643, -0.3319462, -0.6348659
 63965586, -0.1112368, -0.06208656, -0.1457327, -0.7332539, -0.2164662, -0.08391473, 3.568189, 3.112317, -0.1269555, -0.02941732, 0.2947543, -0.2337981, -0.416427, 0.006732181, 0.889653, 0.5575324, -0.093429, -0.03989297, -0.6314664
 63965618, -0.2331128, -0.06050045, -0.1185438, -0.7347121, -0.2677355, -0.107217, 3.52332, 3.059925, -0.1542087, -0.02719459, 0.2768787, -0.2390236, -0.4746277, 0.009464845, 0.8045877, 0.6378078, -0.1069883, -0.07678995, -0.6315791
 63965650, -0.1946844, -0.055457, -0.2806974, -0.7354485, -0.2743044, -0.08692454, 3.495832, 3.101928, -0.20675, -0.01996191, 0.1993192, -0.2585098, -0.4948895, 0.04184936, 0.8178732, 0.7029412, -0.1133369, -0.1867725, -0.6337792
 63965686, -0.2451798, -0.05377848, -0.381449, -0.7353833, -0.279725, -0.07053946, 3.479427, 3.114578, -0.2234725, -0.01941532, 0.09782363, -0.2505507, -0.4947143, 0.05189363, 0.8032197, 0.6873195, -0.1096196, -0.2774806, -0.6359071
 63965724, -0.2648236, -0.04909757, -0.4950846, -0.7315355, -0.2845597, -0.01998229, 3.460501, 3.12902, -0.2428372, -0.01626085, 0.001724305, -0.2279563, -0.4885457, 0.102708, 0.7872745, 0.7536697, -0.09778499, -0.4186935, -0.635531
