TimeStamp,FootLeft_x,FootRight_x,FootLeft_y,FootRight_y,WristLeft_x,WristRight_x,WristLeft_z,WristRight_z,KneeLeft_x,KneeRight_x,KneeLeft_y,KneeRight_y,ElbowLeft_x,ElbowRight_x,ElbowLeft_y,ElbowRight_y,Spine_y,AnkleLeft_y,AnkleRight_y
64084303, 0.3796714, 0.4219626, -0.5925887, -0.7451099, -0.1425118, 0.4264431, 2.910575, 3.06106, 0.07072963, 0.2934332, -0.2024909, -0.3168228, -0.1722201, 0.3303842, 0.3836271, 0.3398717, 0.1366513, -0.4852044, -0.6757389
 64084334, 0.378536, 0.4324901, -0.5789903, -0.752741, -0.1140555, 0.4583726, 2.901417, 3.077006, 0.1294948, 0.3079331, -0.2634454, -0.3239412, -0.1352591, 0.3311574, 0.3293345, 0.3351793, 0.147826, -0.4803249, -0.6797794
 64084366, 0.386242, 0.4308762, -0.5834439, -0.7550603, -0.1101597, 0.476887, 2.884485, 3.072111, 0.154201, 0.2871533, -0.2908044, -0.3081808, -0.1185308, 0.3538137, 0.2746224, 0.2974043, 0.1589864, -0.4909845, -0.6765937
 64084402, 0.3563954, 0.4282061, -0.5505587, -0.7550315, -0.1057964, 0.4960999, 2.858886, 3.069939, 0.1529183, 0.2886027, -0.3008671, -0.3097384, -0.1179465, 0.3744102, 0.2734661, 0.2528533, 0.150063, -0.5003994, -0.6767892
 64084435, 0.4071983, 0.4189287, -0.6005095, -0.7446996, -0.07498617, 0.5320898, 2.796619, 3.035351, 0.187995, 0.292379, -0.3031411, -0.3096953, -0.1433356, 0.3864506, 0.3084709, 0.278885, 0.1512086, -0.5504612, -0.6782438
 64084466, 0.3929275, 0.4392585, -0.590955, -0.751505, -0.07329033, 0.5275665, 2.759216, 3.011533, 0.1258193, 0.3040775, -0.2435081, -0.323606, -0.1467415, 0.3806055, 0.3713277, 0.3509801, 0.1570853, -0.4861751, -0.6753982
 64084502, 0.259656, 0.444072, -0.602568, -0.7371851, -0.1513422, 0.5206219, 2.864194, 2.998377, 0.08284047, 0.2533119, -0.2185092, -0.3057173, -0.2251399, 0.3809559, 0.511129, 0.4253648, 0.1558702, -0.5255807, -0.658501
 64084535, 0.2344237, 0.4388914, -0.5994698, -0.7080772, -0.114707, 0.4809642, 2.780939, 2.993623, 0.05379668, 0.2236536, -0.2103684, -0.2919962, -0.2074026, 0.3578276, 0.5158272, 0.4903775, 0.1598334, -0.5221325, -0.6488001
 64084569, 0.1316081, 0.394881, -0.567435, -0.6967731, -0.1153106, 0.4606903, 2.723889, 2.978688, 0.01616794, 0.1608465, -0.1836354, -0.2569791, -0.1895511, 0.3508332, 0.5364352, 0.5089934, 0.1413653, -0.4944827, -0.646915
 64084605, 0.1577991, 0.2087886, -0.663579, -0.716437, -0.1964833, 0.4407018, 2.813762, 2.972705, -0.02965099, 0.1047774, -0.1410942, -0.2360564, -0.2671504, 0.3238507, 0.5631331, 0.5277274, 0.1216076, -0.5670046, -0.6426988
 64084636, 0.0439549, 0.1053671, -0.6923726, -0.6905383, -0.2758166, 0.4071054, 2.925556, 2.957379, -0.03319007, 0.08072637, -0.1442154, -0.1561469, -0.3138029, 0.2879214, 0.6531508, 0.5483402, 0.07636359, -0.5797874, -0.5898585
