TimeStamp,FootLeft_x,FootRight_x,FootLeft_y,FootRight_y,WristLeft_x,WristRight_x,WristLeft_z,WristRight_z,KneeLeft_x,KneeRight_x,KneeLeft_y,KneeRight_y,ElbowLeft_x,ElbowRight_x,ElbowLeft_y,ElbowRight_y,Spine_y,AnkleLeft_y,AnkleRight_y
64209704, -0.1585794, 0.09479904, -0.7336961, -0.7133638, -0.2978192, 0.2328082, 3.215292, 3.323606, -0.1524913, 0.0997066, -0.2432692, -0.241763, -0.3059927, 0.2014975, 0.4655023, 0.4280085, -0.00308935, -0.6322029, -0.6187395
 64209737, -0.1578479, 0.09431861, -0.7347258, -0.7142523, -0.2999811, 0.2296939, 3.224082, 3.332345, -0.1582859, 0.0982236, -0.2496337, -0.2413736, -0.308353, 0.1914355, 0.4667255, 0.4249624, -0.00393619, -0.6326227, -0.6169841
 64209769, -0.157363, 0.09284109, -0.733944, -0.7146321, -0.3026361, 0.2151533, 3.244624, 3.368879, -0.1597948, 0.09508784, -0.2471421, -0.2402666, -0.3118854, 0.1883086, 0.4514455, 0.4203007, -0.004552469, -0.6323531, -0.6151252
 64209799, -0.1579144, 0.08570194, -0.7341738, -0.7218904, -0.2842666, 0.1961192, 3.267557, 3.366686, -0.1610426, 0.09013056, -0.2480303, -0.2441516, -0.3151153, 0.1849833, 0.4411704, 0.4124609, -0.01040229, -0.631473, -0.6320515
 64209834, -0.1578973, 0.07840787, -0.7343641, -0.7239897, -0.2924755, 0.1928269, 3.297369, 3.368005, -0.1616416, 0.08340982, -0.2482783, -0.247719, -0.3087006, 0.1843938, 0.4342432, 0.4131877, -0.01209982, -0.6319765, -0.6347612
 64209866, -0.1581265, 0.07654438, -0.7347093, -0.7275232, -0.2854857, 0.1920828, 3.316828, 3.371062, -0.1618876, 0.07849932, -0.248834, -0.2500534, -0.3047156, 0.1867799, 0.4326788, 0.4150285, -0.01301633, -0.6322362, -0.6391306
 64209898, -0.1579646, 0.07257679, -0.734648, -0.7350147, -0.274386, 0.1934306, 3.322435, 3.368685, -0.1618368, 0.07832129, -0.2487952, -0.2477379, -0.3019449, 0.187245, 0.4312155, 0.4129819, -0.01496092, -0.6315553, -0.6483119
 64209933, -0.1581968, 0.07204307, -0.7348763, -0.7385635, -0.2707387, 0.1921874, 3.336007, 3.367043, -0.1606158, 0.07697763, -0.2500829, -0.2486219, -0.294068, 0.190693, 0.4299981, 0.4145024, -0.01530327, -0.6322581, -0.6505581
 64209967, -0.1572867, 0.07229938, -0.7339979, -0.7405656, -0.2646013, 0.1954231, 3.33958, 3.356808, -0.1519095, 0.07917982, -0.2495707, -0.2512845, -0.2880583, 0.1942477, 0.4311455, 0.4147847, -0.008919884, -0.6324106, -0.6494334
 64209998, -0.1591926, 0.07194004, -0.7343632, -0.7407193, -0.2792724, 0.1909536, 3.361546, 3.340069, -0.1546533, 0.07751776, -0.2463432, -0.2514504, -0.2838307, 0.2029871, 0.4406978, 0.4073001, -0.00680823, -0.6343691, -0.6461226
 64210033, -0.160184, 0.07042184, -0.7338169, -0.7330921, -0.2617649, 0.188541, 3.343585, 3.326957, -0.1559954, 0.07410911, -0.2448055, -0.2523956, -0.2819422, 0.213206, 0.4397068, 0.4123994, -0.005575216, -0.6371543, -0.6350091
 64210065, -0.1692653, 0.07037447, -0.7289336, -0.7285249, -0.2580705, 0.192375, 3.328682, 3.304614, -0.1660075, 0.07486026, -0.2449362, -0.2491318, -0.27151, 0.221258, 0.4366996, 0.4167342, -0.00385556, -0.6374131, -0.6301685
 64210104, -0.1905352, 0.07028495, -0.7253402, -0.7284909, -0.2308791, 0.188717, 3.308181, 3.293534, -0.187786, 0.07875722, -0.2468812, -0.2422006, -0.2706743, 0.2310239, 0.4372698, 0.4291895, 0.002299179, -0.6365908, -0.6294782
 64210137, -0.2380599, 0.07015485, -0.7254556, -0.7270191, -0.2305857, 0.1803524, 3.306069, 3.27243, -0.1939096, 0.07961185, -0.244752, -0.243045, -0.2684762, 0.2328877, 0.4406926, 0.4299338, 0.001693495, -0.6378015, -0.6279132
 64210169, -0.2600157, 0.06985801, -0.7254179, -0.7261016, -0.2100484, 0.1346041, 3.28199, 3.228517, -0.1980654, 0.07898118, -0.2459933, -0.2442546, -0.2674837, 0.229814, 0.4430597, 0.4358307, -0.0002451995, -0.6350393, -0.6258688
 64210205, -0.2862171, 0.06954385, -0.7248164, -0.7258931, -0.1978399, 0.1405483, 3.266756, 3.223454, -0.2116909, 0.07774404, -0.2528417, -0.2450184, -0.270672, 0.2310037, 0.4426863, 0.436912, -0.0008081941, -0.6334113, -0.6251911
 64210237, -0.3009526, 0.0692624, -0.7162861, -0.7250267, -0.1782564, 0.1416739, 3.260352, 3.223273, -0.2214449, 0.07651283, -0.2564474, -0.2454271, -0.274941, 0.2318641, 0.4415662, 0.4359512, -0.002780246, -0.6257932, -0.6239437
 64210268, -0.3062509, 0.06911483, -0.7132685, -0.7240763, -0.1608823, 0.1343706, 3.253028, 3.219121, -0.2251416, 0.07541019, -0.2567063, -0.2461, -0.2814693, 0.2242317, 0.4434149, 0.4356197, -0.005802663, -0.6226032, -0.6233081
 64210302, -0.3140516, 0.0690144, -0.7044546, -0.7241889, -0.164701, 0.105247, 3.219207, 3.231918, -0.2367037, 0.06940979, -0.2601833, -0.2499458, -0.2879104, 0.2213765, 0.4421069, 0.4359346, -0.01015646, -0.6141229, -0.623322
 64210334, -0.3195226, 0.06867845, -0.700495, -0.7225581, -0.1692717, 0.08631514, 3.218997, 3.191535, -0.240851, 0.06720801, -0.2554903, -0.2507804, -0.3079873, 0.2123295, 0.4444652, 0.4385179, -0.0139831, -0.6132745, -0.6238399
 64210366, -0.323169, 0.06853025, -0.7020084, -0.7239231, -0.1606505, 0.08262677, 3.210629, 3.191335, -0.2417762, 0.06172733, -0.2533877, -0.2520022, -0.3107723, 0.2016708, 0.437007, 0.4359213, -0.02764237, -0.6139372, -0.6248315
 64210403, -0.3298535, 0.06867403, -0.7117447, -0.7356548, -0.1753308, 0.07549089, 3.192171, 3.190197, -0.2477788, 0.05524, -0.2560931, -0.2535096, -0.3262184, 0.1923919, 0.4255598, 0.4341058, -0.03390392, -0.6132597, -0.6340159
 64210434, -0.3332897, 0.06828142, -0.7140744, -0.7367954, -0.1753662, 0.07828066, 3.19149, 3.182616, -0.2509308, 0.05175975, -0.2547359, -0.2522065, -0.3428797, 0.1704262, 0.417783, 0.412151, -0.03895804, -0.6163276, -0.6345044
 64210466, -0.3330263, 0.06794565, -0.7219338, -0.7383332, -0.1939472, 0.09066781, 3.183127, 3.168251, -0.2563656, 0.0492763, -0.2535557, -0.2543239, -0.3540379, 0.1669838, 0.3970447, 0.4059712, -0.04386519, -0.61588, -0.636932
 64210501, -0.3368779, 0.06534596, -0.7281365, -0.7353588, -0.247512, 0.1066176, 3.195436, 3.195437, -0.2647435, 0.04632239, -0.2550818, -0.256346, -0.3600987, 0.1578964, 0.3874729, 0.3907349, -0.05195729, -0.6362928, -0.6342542
 64210533, -0.3384996, 0.05092001, -0.7296348, -0.7276942, -0.31426, 0.1101578, 3.235322, 3.227309, -0.2782471, 0.04377864, -0.2605121, -0.2573771, -0.3651367, 0.1350879, 0.3378049, 0.3263997, -0.06136195, -0.6376784, -0.6347414
 64210566, -0.3388019, 0.05050811, -0.7295107, -0.7277772, -0.3329374, 0.1184242, 3.258383, 3.205569, -0.2807825, 0.041862, -0.2655008, -0.2760139, -0.3692279, 0.1259824, 0.2627955, 0.2649496, -0.07272013, -0.6360524, -0.6325083
 64210603, -0.3388648, 0.04841816, -0.7294832, -0.7292791, -0.3897789, 0.1302114, 3.274169, 3.29956, -0.2920858, 0.04346959, -0.2927968, -0.3095444, -0.3656953, 0.1204362, 0.2011724, 0.2012283, -0.07830986, -0.6367298, -0.6335608
 64210634, -0.3404295, 0.04483716, -0.7334572, -0.7297915, -0.4112192, 0.1414451, 3.353225, 3.361278, -0.3054662, 0.05821217, -0.3052253, -0.3301474, -0.3696355, 0.1257254, 0.1782682, 0.1458229, -0.08130149, -0.6372725, -0.6290119
 64210666, -0.340845, 0.04179129, -0.7345324, -0.7326955, -0.4632404, 0.1862152, 3.426521, 3.433577, -0.3112461, 0.07934214, -0.3490975, -0.3601292, -0.3892759, 0.1403473, 0.1213083, 0.1077792, -0.08323412, -0.6409041, -0.6323584
 64210703, -0.3386582, -0.01463512, -0.731674, -0.7479786, -0.4976545, 0.2114425, 3.545238, 3.541199, -0.3131903, 0.07722517, -0.3628963, -0.3870102, -0.412365, 0.1547762, 0.09642816, 0.09681217, -0.08242214, -0.640613, -0.7254996
 64210734, -0.3391492, -0.01456705, -0.7338366, -0.7249504, -0.4999692, 0.2203929, 3.601759, 3.594265, -0.3263547, 0.07611656, -0.3859197, -0.4047631, -0.4145373, 0.1613444, 0.1295735, 0.0726819, -0.08270834, -0.6421784, -0.7403499
 64210766, -0.2913788, 0.04935285, -0.7584658, -0.7268038, -0.4707164, 0.2407898, 3.657458, 3.686594, -0.33457, 0.0428837, -0.398069, -0.3302731, -0.355167, 0.1641848, 0.0939898, 0.07709155, -0.083544, -0.7253329, -0.6399419
 64210806, -0.3114691, 0.04739723, -0.7327778, -0.7302954, -0.4688027, 0.2499487, 3.595301, 3.751848, -0.3711967, 0.04503603, -0.4158325, -0.3422938, -0.3966057, 0.1604311, 0.06144699, 0.06372327, -0.09198973, -0.7370885, -0.6439655
 64210840, -0.3148163, 0.03650436, -0.7350005, -0.7378853, -0.5211564, 0.2349395, 3.60749, 3.745521, -0.3713576, 0.04880934, -0.4104943, -0.3675888, -0.4489595, 0.1492294, 0.07631402, 0.02289219, -0.09752169, -0.7316524, -0.6442781
 64210870, -0.2993215, 0.03675478, -0.7632084, -0.7377313, -0.3859789, 0.2335941, 3.503318, 3.750525, -0.3561952, 0.0516359, -0.4040512, -0.37479, -0.4464772, 0.1488288, 0.06207087, 0.01667289, -0.09751803, -0.716854, -0.6452717
 64210906, -0.3691621, 0.03933137, -0.8556386, -0.7372464, -0.3981903, 0.2245383, 3.532119, 3.746238, -0.3560385, 0.06515238, -0.43934, -0.3957286, -0.4559631, 0.1415634, 0.05734235, -0.03484935, -0.1009716, -0.7594972, -0.6489809
 64210937, -0.3386801, 0.03923614, -0.7463396, -0.739576, -0.4925548, 0.2267135, 3.653083, 3.745884, -0.3114433, 0.06044982, -0.375962, -0.362822, -0.5510554, 0.1437655, 0.1453955, -0.03838066, -0.1342384, -0.6629356, -0.6443914
 64210970, -0.3408183, 0.03905729, -0.6799808, -0.7395527, -0.4939685, 0.2283732, 4.139729, 3.756721, -0.3222079, 0.06443432, -0.428147, -0.3902149, -0.5524691, 0.1436033, 0.2622601, -0.0393613, -0.1992594, -0.7471517, -0.6443888
 64211005, -0.3378411, 0.02987309, -0.7444714, -0.743504, -0.3427196, 0.2219436, 3.465882, 3.734941, -0.3159984, 0.06394663, -0.3714395, -0.3927846, -0.4747432, 0.1391599, 0.03044864, -0.09645101, -0.1007085, -0.6617998, -0.6504474
 64211036, -0.3186135, 0.04075129, -0.7393832, -0.7418938, -0.3113967, 0.2224806, 3.353595, 3.729556, -0.3490295, 0.05601761, -0.4173594, -0.431033, -0.4434206, 0.1394499, -0.0115713, -0.09524061, -0.102834, -0.7284629, -0.65267
