TimeStamp,FootLeft_x,FootRight_x,FootLeft_y,FootRight_y,WristLeft_x,WristRight_x,WristLeft_z,WristRight_z,KneeLeft_x,KneeRight_x,KneeLeft_y,KneeRight_y,ElbowLeft_x,ElbowRight_x,ElbowLeft_y,ElbowRight_y,Spine_y,AnkleLeft_y,AnkleRight_y
74824537, -0.4334508, -0.3234758, -0.2946951, -0.7388301, -0.7508972, -0.3266333, 3.591952, 3.046937, -0.455533, -0.2602142, 0.04498224, -0.3082651, -0.5902092, -0.2610622, 0.3681475, 0.5137578, -0.3846222, -0.2330702, -0.7005805
 74824569, -0.4889161, -0.2842911, -0.1927275, -0.7923386, -0.7132814, -0.3452875, 3.588107, 3.075778, -0.4637454, -0.2592359, 0.1316701, -0.2981251, -0.5286514, -0.3077501, 0.443663, 0.4951914, -0.3854275, -0.1556413, -0.6981871
 74824603, -0.4259149, -0.2789503, -0.1791004, -0.7878737, -0.6829191, -0.3651139, 3.6313, 3.071776, -0.4743428, -0.2559877, 0.1756121, -0.2916949, -0.5280564, -0.3287724, 0.4300385, 0.476396, -0.3994053, -0.1116969, -0.6959967
 74824637, -0.4274213, -0.2780922, -0.1728961, -0.786108, -0.6695729, -0.3561574, 3.682358, 3.083443, -0.4762729, -0.2507681, 0.1854191, -0.2912096, -0.5351697, -0.3287126, 0.4055569, 0.4632368, -0.3981218, -0.1018877, -0.6943842
 74824669, -0.4297295, -0.2756395, -0.1282301, -0.7800474, -0.6468552, -0.3713517, 3.671667, 3.082428, -0.4723966, -0.2468992, 0.2576202, -0.2928568, -0.5584197, -0.3500753, 0.3942366, 0.3901905, -0.40051, -0.02968445, -0.6939791
 74824706, -0.5358723, -0.2704729, -0.2888834, -0.8050072, -0.6501767, -0.374656, 3.673464, 3.080296, -0.5021889, -0.2414284, 0.05142645, -0.3380535, -0.5646412, -0.3593636, 0.3775801, 0.3677195, -0.4142583, -0.2482641, -0.7349716
 74824736, -0.4644034, -0.2990801, -0.3851855, -0.7825516, -0.5229618, -0.4532201, 3.660075, 3.02344, -0.4979759, -0.2411753, 0.002749763, -0.3479228, -0.5339774, -0.3794662, 0.3618229, 0.333691, -0.4052445, -0.306725, -0.74412
 74824773, -0.4704608, -0.3016571, -0.4554825, -0.7804458, -0.4476249, -0.3931218, 3.638595, 3.038933, -0.4951415, -0.2415497, -0.06636573, -0.3405175, -0.5114366, -0.3525534, 0.2037674, 0.3217863, -0.4184295, -0.3817841, -0.7363768
 74824805, -0.483555, -0.3003293, -0.5697832, -0.7659273, -0.4389481, -0.3409947, 3.611295, 3.049951, -0.5103266, -0.2455189, -0.1307594, -0.3453279, -0.5027583, -0.3024385, 0.2067444, 0.3264349, -0.4186065, -0.4967514, -0.7225063
 74824836, -0.4883679, -0.294848, -0.632364, -0.7531328, -0.434011, -0.3318505, 3.594075, 3.049751, -0.5127971, -0.250667, -0.1946057, -0.3453145, -0.4978202, -0.2794567, 0.2264442, 0.4004495, -0.4220005, -0.5516426, -0.7116761
